"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	10	"AWI"	10	-43	402	106	0	0	102	1	1	3	0	303	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	146	446	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	15	"AWI"	15	15	470	190	0	0	99	2	0	1	0	284	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	61	552	0	0	0	0	1	0	0	0	0	4	4	0	0	0	0	0	1
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	20	"AWI"	20	48	577	269	0	0	105	2	0	2	0	324	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	0	82	487	0	20	0	0	2	0	0	0	0	1	3	0	0	0	0	0	1
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	25	"AWI"	25	116	632	351	0	0	78	2	2	6	0	271	0	0	1	1	0	0	0	1	2	3	0	0	0	0	1	0	6	0	0	51	596	0	53	0	0	2	0	0	0	1	2	8	0	0	0	0	0	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	30	"AWI"	30	157	725	431	0	0	78	0	0	3	0	354	0	0	0	1	0	0	0	1	2	6	0	0	0	0	0	1	3	0	2	80	483	0	36	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	35	"AWI"	35	252	768	510	0	0	77	0	0	1	0	344	1	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	1	0	0	40	535	0	11	0	0	2	0	0	0	1	1	2	0	0	0	0	1	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	40	"AWI"	40	303	845	592	0	0	43	1	0	3	0	322	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	103	527	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	45	"AWI"	45	444	886	665	0	0	60	1	0	0	0	358	0	3	1	0	0	0	0	1	4	4	0	0	0	0	0	0	0	0	1	49	523	0	18	1	0	3	0	0	0	1	4	2	0	0	0	0	1	1
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	50	"AWI"	50	520	960	741	0	0	37	0	0	1	0	295	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	108	553	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	55	"AWI"	55	667	1029	820	0	0	42	0	0	2	0	276	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	77	600	0	9	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	60	"AWI"	60	715	1143	900	0	0	54	0	0	3	0	282	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	1	95	549	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	65	"AWI"	65	776	1220	982	0	0	41	0	0	3	0	319	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	51	581	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	1	0
3178	4134	"Kaartlamminsuo"	60.737178	24.216752	70	"AWI"	70	808	1365	1056	0	0	29	0	1	2	0	455	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	94	410	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
