"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Iridaceae"	"Juglans"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26561	46447	"Poteryanny Zub"	68.82667	35.32822	1	"AWI"	1	-85	147	11	2	0	0	0	1	314	0	0	11	0	22	0	22	0	0	0	0	10	0	2	0	0	17	1	0	2	0	0	2	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	2	"AWI"	2	-68	296	60	4	1	0	2	0	293	0	0	11	0	14	0	15	0	0	0	0	17	0	2	0	0	21	0	0	1	0	0	1	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	4	"AWI"	4	-45	615	157	0	3	1	0	0	263	0	0	22	0	17	0	13	0	0	0	0	17	0	9	0	0	22	0	0	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	6	"AWI"	6	23	816	284	3	0	0	2	0	301	0	0	14	0	27	0	12	3	0	0	0	16	0	5	0	0	15	1	0	0	0	0	0	0	0	0	0	1
26561	46447	"Poteryanny Zub"	68.82667	35.32822	8	"AWI"	8	75	940	437	0	0	1	0	0	277	0	0	11	0	0	0	13	0	0	0	0	17	0	4	0	0	26	0	0	0	0	3	3	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	10	"AWI"	10	117	1175	575	1	1	0	0	4	291	0	0	6	0	29	0	19	0	0	0	1	19	0	5	0	0	15	0	0	0	0	0	2	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	12	"AWI"	12	246	1235	697	0	0	0	1	2	283	1	0	6	0	19	0	15	0	0	0	0	15	0	4	0	0	27	0	0	0	0	0	1	0	0	1	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	14	"AWI"	14	321	1341	831	1	2	0	2	2	296	0	0	7	0	15	0	15	0	0	0	0	20	0	3	0	0	21	0	0	0	0	0	1	0	0	1	1	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	16	"AWI"	16	433	1447	956	1	1	0	0	1	284	0	1	10	0	14	0	15	0	0	0	0	39	0	2	0	0	40	0	0	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	18	"AWI"	18	547	1522	1087	1	1	0	2	0	301	0	0	9	0	22	0	14	0	0	0	0	19	0	3	0	0	16	0	0	0	0	0	0	0	0	1	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	20	"AWI"	20	629	1640	1217	1	0	0	2	3	275	0	0	5	0	0	0	19	11	0	0	0	19	0	1	0	0	22	0	0	0	0	0	0	0	0	0	0	2
26561	46447	"Poteryanny Zub"	68.82667	35.32822	22	"AWI"	22	851	1694	1332	3	0	0	2	0	297	0	0	8	0	19	0	9	4	0	0	1	20	0	6	0	0	11	0	0	0	0	0	1	0	0	0	0	1
26561	46447	"Poteryanny Zub"	68.82667	35.32822	24	"AWI"	24	1008	1762	1456	4	1	0	0	1	310	1	0	5	0	18	0	11	0	0	0	0	10	0	5	0	0	11	1	0	0	0	0	0	0	0	0	0	6
26561	46447	"Poteryanny Zub"	68.82667	35.32822	26	"AWI"	26	1252	1845	1579	3	0	0	3	2	262	0	0	6	0	31	0	10	0	0	0	1	33	0	2	0	0	20	0	0	0	0	0	1	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	28	"AWI"	28	1546	1975	1714	2	4	0	2	1	310	1	0	17	0	18	0	11	0	0	0	0	16	0	6	0	0	20	1	0	0	0	0	1	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	30	"AWI"	30	1617	2253	1849	2	1	0	2	0	289	0	0	7	0	16	0	10	4	0	0	0	19	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	1
26561	46447	"Poteryanny Zub"	68.82667	35.32822	32	"AWI"	32	1735	2554	2068	0	3	0	3	1	267	0	0	6	0	23	0	24	6	0	0	1	29	0	4	0	0	20	0	0	2	0	0	1	0	0	0	0	1
26561	46447	"Poteryanny Zub"	68.82667	35.32822	34	"AWI"	34	1804	3032	2265	2	1	0	4	1	253	0	0	6	0	15	0	13	0	0	0	0	10	0	3	0	0	19	0	0	2	0	0	0	0	0	0	1	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	36	"AWI"	36	1920	3388	2466	2	0	0	1	0	267	0	0	11	0	21	0	15	11	0	0	0	12	0	1	183	0	20	0	0	0	0	0	0	0	0	0	0	5
26561	46447	"Poteryanny Zub"	68.82667	35.32822	38	"AWI"	38	2024	3569	2701	3	0	0	3	2	251	0	0	7	0	28	0	12	0	0	0	0	5	0	3	211	0	18	0	1	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	40	"AWI"	40	2093	3911	2908	0	0	0	2	0	229	0	0	11	0	14	0	10	0	0	0	0	12	0	3	225	0	14	0	0	1	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	42	"AWI"	42	2285	4087	3128	1	0	0	1	1	225	0	0	2	0	11	0	11	0	0	0	0	9	0	1	244	0	10	0	0	0	0	0	0	1	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	44	"AWI"	44	2421	4343	3354	2	0	0	0	1	220	0	0	12	0	10	0	21	0	0	0	0	8	0	2	0	1	17	0	0	0	0	0	0	0	0	0	2	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	46	"AWI"	46	2625	4537	3585	6	0	0	0	1	219	0	0	3	0	13	0	24	0	0	0	0	12	0	0	232	0	26	0	0	0	0	0	1	1	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	48	"AWI"	48	2831	4679	3825	2	0	0	0	0	195	0	0	0	0	0	0	13	0	0	0	0	9	0	1	257	0	21	2	1	0	0	0	1	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	50	"AWI"	50	2975	4927	4060	8	1	0	0	0	194	0	0	2	0	14	0	7	0	0	0	0	9	0	1	269	0	14	0	0	0	0	0	3	0	0	0	1	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	52	"AWI"	52	3339	5007	4299	1	0	0	0	0	175	0	0	2	0	0	0	14	0	0	0	0	4	0	1	301	0	12	0	1	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	54	"AWI"	54	3585	5144	4564	1	0	0	0	0	175	0	0	2	0	0	0	14	0	0	0	0	4	0	1	301	0	12	0	1	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	56	"AWI"	56	3961	5302	4791	3	0	0	1	0	169	0	0	0	0	0	0	18	0	0	0	1	4	0	1	297	0	12	0	1	1	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	58	"AWI"	58	4538	5358	4984	4	0	0	2	0	163	0	0	0	0	0	0	22	0	0	0	1	3	0	0	293	0	12	0	0	1	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	60	"AWI"	60	4926	5458	5215	7	1	0	0	1	209	0	0	0	0	14	0	17	0	0	0	0	10	0	2	287	0	11	0	0	1	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	62	"AWI"	62	5001	5521	5296	3	0	0	1	0	195	0	0	7	0	0	0	17	0	0	0	0	5	0	0	256	0	13	0	0	0	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	64	"AWI"	64	5049	5614	5362	3	0	0	0	0	230	0	0	1	0	16	0	18	0	0	0	0	11	0	0	208	0	15	0	1	1	0	0	0	0	0	0	1	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	66	"AWI"	66	5110	5689	5421	5	1	0	0	0	244	0	0	1	0	4	0	12	0	0	0	1	6	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	68	"AWI"	68	5169	5743	5485	8	0	0	0	1	212	0	0	0	0	0	0	9	0	0	0	0	1	0	2	283	0	11	0	1	0	0	0	1	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	70	"AWI"	70	5208	5827	5549	6	0	0	0	0	207	0	0	2	0	11	0	17	0	0	0	0	6	0	0	263	0	5	0	0	1	0	0	0	0	0	0	0	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	72	"AWI"	72	5311	5856	5612	2	0	0	0	0	211	0	0	0	0	8	0	22	0	0	0	0	9	0	2	286	0	12	0	0	0	0	0	0	0	0	0	1	0
26561	46447	"Poteryanny Zub"	68.82667	35.32822	74	"AWI"	74	5361	5904	5677	6	0	0	0	1	181	0	0	0	0	3	0	19	0	0	0	0	3	0	1	280	0	4	0	0	0	0	0	1	0	0	0	0	0
