"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13390	20042	"Trettetjørn"	60.71667	7	0.2	"AWI"	0.2	-121.4	44	-42.4	3.16455696202532	0	0	0	0	0	0	0	0	0	1.89873417721519	1.89873417721519	19.620253164557	0	0	0	0	0.632911392405063	2.53164556962025	1.89873417721519	0	0	0.632911392405063	0	0.632911392405063	41.1392405063291	0	23.4177215189873	0	0	0	0	0	0	0	0	0	0	1.26582278481013	0	0	0	1.26582278481013	0
13390	20042	"Trettetjørn"	60.71667	7	4	"AWI"	4	-55	294	84	1.35135135135135	0.27027027027027	0.540540540540541	0	0	21.0810810810811	0	0	0.27027027027027	0	0.27027027027027	0	27.2972972972973	0	0	0	0	0.27027027027027	1.08108108108108	3.78378378378378	0	0	0	0	0.810810810810811	22.7027027027027	0	18.3783783783784	0	0	0	1.08108108108108	0	0	0	0	0	0	0.540540540540541	0.27027027027027	0	0	0	0
13390	20042	"Trettetjørn"	60.71667	7	8	"AWI"	8	-25	604	210	2.76923076923077	0	0.923076923076923	0.615384615384615	0	22.7692307692308	0	0	0	0	0.307692307692308	0	10.7692307692308	0	0	0	0	1.23076923076923	0.615384615384615	6.15384615384615	0	0	0.615384615384615	0	0.615384615384615	26.7692307692308	0	24.6153846153846	0	0	0	0.307692307692308	0	0	0	0	0	0	0	0	0.307692307692308	0	0.307692307692308	0.307692307692308
13390	20042	"Trettetjørn"	60.71667	7	12	"AWI"	12	87	800	368	3.07692307692308	0	1.92307692307692	0	0	0	0	0	0	0	0.384615384615385	1.15384615384615	28.0769230769231	0	0	0	0	1.53846153846154	0.384615384615385	6.15384615384615	0	1.53846153846154	0.769230769230769	0	0.384615384615385	30.3846153846154	0	21.1538461538462	0	0	0	1.53846153846154	0	0	0	0	0	0	0	0	0	0	1.53846153846154	0
13390	20042	"Trettetjørn"	60.71667	7	16	"AWI"	16	204	884	557	4.95626822157434	0	1.45772594752187	0	0	18.9504373177843	0.291545189504373	0	0.291545189504373	0	0.291545189504373	0.583090379008746	9.91253644314869	0	0	0	0	1.16618075801749	0.87463556851312	4.08163265306122	0	0.291545189504373	0.583090379008746	0	0.583090379008746	22.4489795918367	0	32.0699708454811	0.583090379008746	0	0	0.291545189504373	0	0	0	0	0	0	0	0	0	0.291545189504373	0	0
13390	20042	"Trettetjørn"	60.71667	7	20	"AWI"	20	276	1057	731	2.74914089347079	0	4.81099656357388	1.71821305841924	0	0	0.343642611683849	0	0.687285223367698	0	1.03092783505155	0.343642611683849	10.9965635738832	0	0	0	0	0.687285223367698	1.03092783505155	2.06185567010309	0	1.71821305841924	0	0	0	21.9931271477663	0	34.3642611683849	0	0	0	1.03092783505155	13.0584192439863	0	0	0	0	0	0.343642611683849	0	0.343642611683849	0	0	0.687285223367698
13390	20042	"Trettetjørn"	60.71667	7	24	"AWI"	24	599	1094	863	1.51515151515152	0	3.33333333333333	0.606060606060606	0	16.3636363636364	0	0	0.303030303030303	0	0.606060606060606	1.51515151515152	10	0	0	0	0	1.21212121212121	1.21212121212121	3.63636363636364	0	1.81818181818182	0.303030303030303	0	0	17.8787878787879	0	39.0909090909091	0	0	0	0.303030303030303	0	0	0	0	0	0	0	0	0	0	0	0.303030303030303
13390	20042	"Trettetjørn"	60.71667	7	28	"AWI"	28	823	1152	991	4.8048048048048	0	4.2042042042042	0.3003003003003	0	19.2192192192192	0	0	0	1.5015015015015	0.900900900900901	0	4.5045045045045	0	0	0	0	0.900900900900901	2.4024024024024	1.2012012012012	0	0.3003003003003	1.2012012012012	0	0.600600600600601	21.9219219219219	0	34.2342342342342	0.600600600600601	0	0	0.600600600600601	0	0	0	0	0	0	0.3003003003003	0	0	0	0.3003003003003	0
13390	20042	"Trettetjørn"	60.71667	7	32	"AWI"	32	944	1238	1094	3.06513409961686	0	2.29885057471264	0.383141762452107	0	0	0	0	0	0	1.91570881226054	1.14942528735632	11.4942528735632	0	0	0	0	1.53256704980843	0.766283524904214	1.91570881226054	0	0.766283524904214	0.383141762452107	0	1.53256704980843	29.1187739463602	0	33.7164750957854	0	0	0	0	8.42911877394636	0	0	0	0	0	0	0.766283524904214	0.383141762452107	0.383141762452107	0	0
13390	20042	"Trettetjørn"	60.71667	7	36.5	"AWI"	36.5	1006	1305.5	1160.5	3.2	0	4	0.8	0	18	0	0	0	0	0.4	0.4	0	0	0	0	0	1.6	3.2	1.2	0	3.6	0	0.4	0.8	16.8	0	44	0	0	0	0.8	0	0	0	0	0	0	0	0.4	0	0	0	0.4
