"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
10523	16199	"Croaghaun East"	54.196854	-9.451948	0	"AWI"	0	-124	41	-45	1.02040816326531	0	0	0	0	0.255102040816327	0	0.255102040816327	8.41836734693877	22.1938775510204	10.4591836734694	0	0	6.37755102040816	0	0	0	0.510204081632653	48.7244897959184	0	0	0	0	0.255102040816327	0.255102040816327	0	0	0	0	0	0	0	0.255102040816327	1.02040816326531
10523	16199	"Croaghaun East"	54.196854	-9.451948	10	"AWI"	10	-58	457	95	0.229357798165138	0	0.229357798165138	0.229357798165138	0.458715596330275	0	0	0	2.75229357798165	46.5596330275229	16.9724770642202	0.458715596330275	0	2.52293577981651	0	18.348623853211	0	0	0.229357798165138	5.96330275229358	0	0	0.458715596330275	0.229357798165138	0	0	2.52293577981651	0	0	0.229357798165138	0	1.37614678899083	0.229357798165138	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	20	"AWI"	20	15	729	274	0.465116279069767	0	0	0	0	0.930232558139535	0	0	6.04651162790698	27.906976744186	39.5348837209302	0	0	6.04651162790698	0	13.4883720930233	0	0	0	0	4.18604651162791	0	0	0.465116279069767	0	0	0.930232558139535	0	0	0	0	0	0	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	30	"AWI"	30	109	946	439	2.73556231003039	0.303951367781155	0	0	0	0.911854103343465	0	2.43161094224924	17.629179331307	26.7477203647416	29.483282674772	0	0	7.59878419452887	0	8.51063829787234	0	0	0.303951367781155	0	0	0	0	0.911854103343465	0.60790273556231	0	0	1.51975683890578	0	0	0	0	0.303951367781155	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	40	"AWI"	40	225	1138	608	2.79329608938547	0	0	0	0	1.67597765363128	0	0	11.4525139664804	24.5810055865922	35.7541899441341	0	0	5.8659217877095	0	11.731843575419	0	0	0.279329608938547	3.63128491620112	0	0	0	1.11731843575419	0.279329608938547	0	0	0.279329608938547	0	0	0	0	0	0.558659217877095
10523	16199	"Croaghaun East"	54.196854	-9.451948	60	"AWI"	60	482	1513	953	5.46697038724374	0	0	0	0	0.455580865603645	0	0.227790432801822	18.6788154897494	40.7744874715262	9.11161731207289	2.27790432801822	0.911161731207289	6.83371298405467	0	11.3895216400911	0	0	0	0	0	0	0	0.911161731207289	0.911161731207289	0	0	0.683371298405467	0	0	0	0.227790432801822	0.911161731207289	0.227790432801822
10523	16199	"Croaghaun East"	54.196854	-9.451948	90	"AWI"	90	936	2006	1479	6.72413793103448	0	0	0	0	1.20689655172414	0	0	28.7931034482759	28.448275862069	18.6206896551724	1.89655172413793	0	7.24137931034483	0	2.75862068965517	0	0	0	0	0	0	0	1.55172413793103	0.689655172413793	0	0	0.172413793103448	0	0	0	0.344827586206897	0.689655172413793	0.862068965517241
10523	16199	"Croaghaun East"	54.196854	-9.451948	100	"AWI"	100	1109	2152	1650	4.67706013363029	0	0	0	0	3.56347438752784	0	0	34.5211581291759	20.7126948775056	27.8396436525612	3.34075723830735	0.22271714922049	0	0	1.78173719376392	0	0	0	0	0	0	0	0.44543429844098	0.22271714922049	0	0	0.22271714922049	0	0	0	0.22271714922049	2.2271714922049	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	120	"AWI"	120	1456	2433	1993	9.80392156862745	0	0	0	0	4.08496732026144	0	0.163398692810458	33.6601307189542	20.7516339869281	18.4640522875817	1.96078431372549	0.163398692810458	0.816993464052288	0	3.10457516339869	0	0	0.65359477124183	1.63398692810458	0	0	0	2.28758169934641	0.163398692810458	0.980392156862745	0	0.65359477124183	0	0	0	0.490196078431373	0.163398692810458	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	140	"AWI"	140	1871	2670	2328	10.4166666666667	0	0	0	0	0.892857142857143	0	0	31.8452380952381	6.99404761904762	38.9880952380952	2.38095238095238	0	0	0	2.82738095238095	0	0	0.148809523809524	0	0	0	0	2.97619047619048	0.297619047619048	0	0.446428571428571	0.446428571428571	0	0	0	0	1.33928571428571	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	150	"AWI"	150	2137	2762	2487	9.34065934065934	0.183150183150183	0	0	0	2.01465201465201	0	0.183150183150183	40.2930402930403	10.6227106227106	25.4578754578755	1.64835164835165	0	0	0	4.02930402930403	0	0	0.183150183150183	0	0	0	0	3.47985347985348	1.0989010989011	0	0	0.183150183150183	0	0	0	0	1.28205128205128	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	155	"AWI"	155	2305	2801	2550	15.8402203856749	0	0	0	0	1.65289256198347	0	0	41.4600550964187	14.1873278236915	15.564738292011	1.2396694214876	0	0.550964187327824	0	3.58126721763085	0	0	0.275482093663912	1.2396694214876	0	0	0	2.06611570247934	0.275482093663912	0	0	0.275482093663912	0	0	0	0.550964187327824	0.413223140495868	0.826446280991736
10523	16199	"Croaghaun East"	54.196854	-9.451948	160	"AWI"	160	2392	2879	2627	8.10810810810811	0	0	0	0	0.900900900900901	0	0	22.7027027027027	20	35.6756756756757	0.720720720720721	0.36036036036036	0.18018018018018	0	2.88288288288288	0	0	0	0	0	0	0	3.6036036036036	0.18018018018018	0	0	0.36036036036036	0	0	0	2.52252252252252	1.08108108108108	0.720720720720721
10523	16199	"Croaghaun East"	54.196854	-9.451948	180	"AWI"	180	2560	3218	2871	13.7440758293839	0	0	0	0	0.4739336492891	0	0	21.9589257503949	21.6429699842022	26.8562401263823	1.4218009478673	0	0	0	9.79462875197472	0	0	0.4739336492891	0	0	0	0	2.52764612954186	0.315955766192733	0	0	0.315955766192733	0	0	0	0	0.4739336492891	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	200	"AWI"	200	2752	3495	3104	10.989010989011	0	0	0	0	1.28205128205128	0	0	24.9084249084249	36.0805860805861	8.05860805860806	1.0989010989011	0	0	0	10.2564102564103	0	0	0.366300366300366	0	0	0	0	5.12820512820513	0	0	0	0.549450549450549	0	0	0	0	1.28205128205128	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	220	"AWI"	220	2956	3747	3346	6.78336980306346	0	0	0	0	0.87527352297593	0	0	17.0678336980306	31.7286652078775	22.5382932166302	0.656455142231947	0	0	0	7.43982494529541	0	0	1.53172866520788	1.53172866520788	0	0.218818380743982	0	7.22100656455142	0.437636761487965	0	0	0.437636761487965	0	0	0	0	0.437636761487965	1.09409190371991
10523	16199	"Croaghaun East"	54.196854	-9.451948	240	"AWI"	240	3182	3970	3584	6.76532769556025	0	0	0	0	1.26849894291755	0	0	16.4904862579281	13.5306553911205	27.906976744186	2.32558139534884	0	0.211416490486258	0	11.8393234672304	0	0	0.422832980972516	0	0	0	0	5.91966173361522	0	0	0	0.634249471458774	0	0	0	12.0507399577167	0.422832980972516	0.211416490486258
10523	16199	"Croaghaun East"	54.196854	-9.451948	255	"AWI"	255	3397	4124	3762	9.55555555555556	0	0	0	0	2.88888888888889	0	0	25.1111111111111	12.4444444444444	28.2222222222222	1.11111111111111	0	0.222222222222222	0	10.4444444444444	0	0	0.444444444444444	1.11111111111111	0	0	0	4.22222222222222	0.666666666666667	0	0	0.666666666666667	0	0	0	0.444444444444444	2.44444444444444	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	260	"AWI"	260	3456	4181	3825	10.7344632768362	0	0	0.376647834274953	0	4.14312617702448	0	0	27.4952919020716	9.41619585687382	24.6704331450094	2.44821092278719	0	0	0	12.4293785310734	0	0	0	0	0	0	0.188323917137476	3.76647834274953	0.941619585687382	0	0	0.376647834274953	0	0	0	0.188323917137476	2.82485875706215	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	265	"AWI"	265	3523	4224	3884	9.24528301886792	0	0	0	0	4.71698113207547	0	0	19.0566037735849	12.8301886792453	32.8301886792453	1.13207547169811	0	0.188679245283019	0	9.81132075471698	0	0	0.943396226415094	0.754716981132076	0	0	0	4.33962264150943	0.943396226415094	0	0	0	0	0	0	0.377358490566038	2.83018867924528	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	270	"AWI"	270	3570	4286	3945	10.9461966604824	0	0	0.371057513914657	0	2.41187384044527	0	0	17.6252319109462	16.5120593692022	33.9517625231911	1.48423005565863	0	0	0	9.46196660482375	0	0	0.742115027829314	0.371057513914657	0	0	0	3.8961038961039	0.742115027829314	0	0	0.185528756957328	0	0	0	0	1.2987012987013	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	275	"AWI"	275	3663	4318	4003	6.5173116089613	0	0	0	0	2.44399185336049	0	0	19.5519348268839	9.57230142566191	39.1038696537678	1.62932790224033	0	0.203665987780041	0	12.4236252545825	0	0	0.814663951120163	0	0	0	0	3.46232179226069	0.610997963340122	0	0	0.610997963340122	0	0	0	2.44399185336049	0.610997963340122	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	280	"AWI"	280	3721	4378	4060	7.76173285198556	0	0	0.36101083032491	0	1.80505415162455	0	0	22.5631768953069	6.13718411552347	50.3610108303249	0.72202166064982	0	0.180505415162455	0	3.6101083032491	0	0	0.541516245487365	0	0	0	0	5.23465703971119	0	0	0	0.36101083032491	0	0	0	0	0.36101083032491	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	285	"AWI"	285	3818	4415	4119	10.1593625498008	0	0	0.597609561752988	0	2.78884462151394	0	0	23.1075697211155	8.76494023904383	31.6733067729084	1.19521912350598	0	0.199203187250996	0	14.1434262948207	0	0	0.796812749003984	0	0	0	0	2.78884462151394	1.19521912350598	0	0	0.99601593625498	0	0	0	0.398406374501992	1.19521912350598	0
