"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Ceratonia"	"Cistaceae"	"Colchicaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Morus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	1	"AWI"	1	-133	36	-49	0	3	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	14	0	0	3	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	6	"AWI"	6	-111	62	-24	0	0	5	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	12	0	0	0	0	0	0	25	0	0	0	0	0	0	8	0	0	1	0	0	1	0	0	51	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	10	"AWI"	10	-98	95	-6	0	3	6	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	44	0	0	0	0	0	2	0	0	0	6	0	0	0	0	6	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	14	"AWI"	14	-90	137	12	0	0	5	4	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	15	0	1	2	0	0	3	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	21	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	22	"AWI"	22	-78	226	46	1	0	2	6	0	0	0	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	3	0	2	0	0	0	1	0	0	1	1	0	0	0	1	5	0	1	0	0	1	0	24	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	30	"AWI"	30	-64	322	82	0	0	0	7	0	0	5	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	6	35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	38	"AWI"	38	-28	344	130	0	0	1	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	23	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	22	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	46	"AWI"	46	-11	374	183	0	0	3	1	0	0	1	6	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	15	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	34	26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	56	"AWI"	56	5	427	246	0	0	0	9	0	0	3	5	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	5	0	0	0	6	24	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	45	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	62	"AWI"	62	65	458	284	0	0	4	4	0	0	3	8	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	24	0	0	0	0	0	5	0	1	1	1	0	0	3	0	0	0	0	0	0	0	2	11	0	6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	142	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	70	"AWI"	70	201	470	345	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	123	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	78	"AWI"	78	298	490	424	1	0	4	0	0	0	2	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	13	0	1	0	0	0	11	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	213	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	86	"AWI"	86	344	585	489	0	0	3	7	0	0	6	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	7	0	0	0	23	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	150	1	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	98	"AWI"	98	1068	1298	1189	0	2	2	4	0	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	2	0	12	5	2	0	0	0	2	2	0	0	0	0	0	0	0	1	6	0	3	0	0	4	0	2	0	1	1	0	0	197	0	0	0	0	369	28	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	106	"AWI"	106	1676	1904	1799	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	8	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	118	"AWI"	118	2552	2858	2712	0	1	2	5	0	0	4	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	4	0	13	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	17	0	5	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	251	49	0	0	0	0	1	0	1	0	1	0	0	0	0	5	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	126	"AWI"	126	2765	2952	2833	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	37	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
27018	47590	"Urio Quattrocchi"	37.90121	14.39575	134	"AWI"	134	2805	3096	2916	1	2	1	4	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	25	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	262	23	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
