"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Orchidaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
16476	25769	"Waxeckalm"	47.023196	11.801724	10	"AWI"	10	-50	374	86	118	0	136	2	4	0	0	0	6	0	6	0	3	0	90	19	0	0	0	0	14	0	5	0	2	0	0	0	315	0	0	0	0	0	0	10	6	0	0	1	0	0	0	0	0	23	38	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	15	"AWI"	15	-4	452	154	152	1	125	1	4	1	1	33	5	0	0	0	0	0	77	40	0	0	0	0	12	0	2	0	0	0	0	0	286	0	0	56	0	0	0	4	0	2	1	5	0	0	0	0	0	27	42	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	20	"AWI"	20	22	577	217	180	1	199	0	1	0	1	14	2	0	0	0	0	0	53	33	0	0	0	0	4	1	0	0	0	0	0	0	362	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	20	28	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	25	"AWI"	25	77	644	287	117	0	127	0	0	0	1	8	13	0	0	0	0	0	74	23	0	0	0	0	0	0	3	0	0	0	0	0	342	0	0	0	0	0	0	4	2	0	1	0	0	1	0	0	0	133	36	2	0
16476	25769	"Waxeckalm"	47.023196	11.801724	30	"AWI"	30	110	758	353	102	1	278	0	5	0	0	17	20	0	0	0	0	0	83	40	0	0	0	0	4	0	5	1	0	0	0	0	359	0	0	0	0	0	0	9	0	0	4	2	0	1	0	0	0	94	48	1	0
16476	25769	"Waxeckalm"	47.023196	11.801724	35	"AWI"	35	168	841	423	216	2	230	0	5	0	1	0	14	0	0	0	0	0	69	50	0	0	0	0	17	0	5	0	0	0	0	0	316	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	65	38	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	40	"AWI"	40	208	958	493	279	0	193	0	3	0	0	0	9	0	1	0	1	0	18	35	0	0	0	0	12	1	6	0	0	0	0	0	296	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	14	4	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	45	"AWI"	45	286	1034	556	187	0	183	0	2	0	0	16	13	0	0	0	1	0	37	49	1	0	0	0	20	5	3	0	0	0	0	0	228	0	0	66	0	0	0	5	7	0	2	2	0	0	0	1	0	15	10	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	48	"AWI"	48	315	1083	594	146	0	670	0	1	0	0	10	7	0	0	0	0	0	28	46	0	0	0	0	18	0	3	0	0	0	0	0	181	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	10	7	0	0
16476	25769	"Waxeckalm"	47.023196	11.801724	52	"AWI"	52	380	1171	643	192	1	309	0	0	0	0	8	12	0	1	0	2	0	60	20	0	0	0	0	7	2	2	1	0	0	0	0	199	0	0	0	0	0	1	7	0	0	5	1	0	0	0	0	0	9	14	0	0
