"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Violaceae"
23820	41280	"Beckton"	51.51944	0.05889	27	"AWI"	27	133	1109	511	1	0	32	30	6	0	1	0	0	3	0	0	0	0	17	24	0	0	1	0	0	0	5	0	1	0	0	0	0	7	0	0	108	0	0	0	16	4	0	0	0	0	0	0	0	0	3	0
23820	41280	"Beckton"	51.51944	0.05889	34	"AWI"	34	223	1297	662	3	0	71	7	2	2	1	0	0	4	0	1	0	0	31	50	0	0	1	0	0	0	2	0	0	0	0	0	0	30	0	2	30	0	0	0	40	4	0	0	0	1	0	0	0	4	6	0
23820	41280	"Beckton"	51.51944	0.05889	42	"AWI"	42	332	1538	836	0	0	54	16	3	2	0	0	0	3	0	0	0	0	34	37	0	0	2	0	0	0	1	0	0	0	0	0	1	48	0	1	28	0	0	0	35	2	0	0	0	2	0	0	0	8	3	0
23820	41280	"Beckton"	51.51944	0.05889	50	"AWI"	50	447	1756	1014	0	0	59	14	7	0	1	0	0	2	0	0	0	0	27	32	2	0	2	0	0	0	0	0	0	0	0	0	0	25	0	0	48	0	0	0	47	2	0	0	0	3	0	0	0	10	4	0
23820	41280	"Beckton"	51.51944	0.05889	58	"AWI"	58	603	1917	1184	0	0	68	19	2	2	3	0	0	11	0	0	0	0	36	41	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	81	0	0	0	32	3	0	0	0	0	0	0	0	5	5	0
23820	41280	"Beckton"	51.51944	0.05889	66	"AWI"	66	732	2065	1357	0	0	62	3	2	1	2	0	0	9	0	0	0	0	37	26	0	0	0	0	1	0	3	0	0	0	0	0	0	15	0	0	92	0	0	0	33	0	0	0	0	0	0	0	0	2	8	0
23820	41280	"Beckton"	51.51944	0.05889	74	"AWI"	74	867	2234	1516	3	0	68	14	3	2	1	0	0	5	0	0	0	0	41	13	0	0	2	0	0	0	0	0	0	0	0	0	0	14	0	0	92	0	0	0	11	2	0	0	0	2	0	0	0	7	3	0
23820	41280	"Beckton"	51.51944	0.05889	82	"AWI"	82	1004	2392	1689	0	0	53	15	2	0	2	0	0	9	0	0	0	0	30	34	0	0	2	0	0	0	5	0	0	0	0	0	0	10	0	0	70	0	0	0	40	2	0	0	0	5	0	0	0	2	5	0
23820	41280	"Beckton"	51.51944	0.05889	90	"AWI"	90	1164	2553	1862	0	0	71	26	3	1	2	1	0	11	0	0	0	0	23	25	0	0	2	0	0	0	2	1	0	0	0	0	0	12	0	0	73	0	0	0	27	1	0	1	0	2	0	0	0	0	2	0
23820	41280	"Beckton"	51.51944	0.05889	98	"AWI"	98	1342	2714	2034	0	0	64	8	2	2	2	0	0	13	0	0	0	0	19	26	0	0	8	0	0	0	2	0	0	0	0	0	0	5	0	0	74	0	0	0	41	1	0	0	0	3	1	0	1	6	2	1
23820	41280	"Beckton"	51.51944	0.05889	106	"AWI"	106	1541	2846	2215	0	1	52	2	4	0	1	0	0	1	0	0	0	0	23	30	0	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0	101	0	0	0	23	7	0	0	0	6	0	0	0	4	2	0
23820	41280	"Beckton"	51.51944	0.05889	114	"AWI"	114	1705	2969	2385	0	0	65	10	1	3	0	0	0	4	3	0	0	0	8	46	0	0	2	0	0	1	2	0	0	0	0	0	0	3	0	0	74	0	0	0	34	4	0	0	0	6	1	3	1	4	1	0
23820	41280	"Beckton"	51.51944	0.05889	122	"AWI"	122	1863	3115	2556	0	0	86	7	2	2	3	0	0	5	0	0	0	0	15	32	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	75	0	0	0	29	6	0	0	0	3	0	0	0	1	2	0
23820	41280	"Beckton"	51.51944	0.05889	130	"AWI"	130	2039	3268	2731	0	0	208	4	1	2	0	0	0	6	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	0	0	0	22	0	0	0	0	4	0	0	0	0	0	0
23820	41280	"Beckton"	51.51944	0.05889	138	"AWI"	138	2302	3374	2914	0	0	188	2	1	1	1	0	0	0	0	0	0	0	9	9	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	37	0	0	0	23	1	0	0	0	2	0	0	0	2	3	0
23820	41280	"Beckton"	51.51944	0.05889	146	"AWI"	146	2585	3486	3095	0	1	80	11	0	0	3	0	0	5	0	0	0	0	19	13	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	82	0	0	0	32	3	0	1	0	3	0	0	0	1	2	0
23820	41280	"Beckton"	51.51944	0.05889	154	"AWI"	154	2847	3607	3273	0	0	77	6	2	3	3	0	0	1	0	0	0	0	17	31	0	0	2	0	0	2	3	0	0	0	0	0	0	2	0	0	62	0	0	0	38	3	0	1	0	5	0	3	0	4	2	0
23820	41280	"Beckton"	51.51944	0.05889	162	"AWI"	162	3173	3738	3453	0	0	100	6	1	3	3	0	0	3	0	0	0	0	16	34	0	0	3	0	0	1	1	0	0	0	0	0	0	3	0	0	69	0	0	0	31	0	0	1	0	6	0	4	0	4	1	0
23820	41280	"Beckton"	51.51944	0.05889	170	"AWI"	170	3494	3938	3682	0	0	230	0	8	2	0	0	0	3	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	2	0
23820	41280	"Beckton"	51.51944	0.05889	178	"AWI"	178	3791	4104	3968	0	0	151	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	9	0	26	0	7	3	0
23820	41280	"Beckton"	51.51944	0.05889	186	"AWI"	186	3936	4262	4114	0	0	165	0	0	1	0	0	0	0	0	0	0	0	23	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	60	0	0	0	0	2	0	22	0	13	9	0
23820	41280	"Beckton"	51.51944	0.05889	194	"AWI"	194	4063	4363	4216	0	0	165	0	4	3	0	0	0	2	0	0	0	0	23	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	6	0	0	0	10	4	0
23820	41280	"Beckton"	51.51944	0.05889	202	"AWI"	202	4180	4478	4327	0	1	102	0	4	1	0	0	0	1	0	0	0	0	35	15	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	1	0	0	0	1	0	59	0	4	3	0
23820	41280	"Beckton"	51.51944	0.05889	210	"AWI"	210	4267	4719	4447	0	0	155	0	2	1	0	0	0	4	0	0	0	0	21	4	0	0	5	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	52	0	0	0	0	3	0	44	0	6	1	0
23820	41280	"Beckton"	51.51944	0.05889	218	"AWI"	218	4353	4899	4592	0	0	203	0	1	1	0	0	0	3	0	0	0	0	14	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	4	0	0	0	6	4	0
23820	41280	"Beckton"	51.51944	0.05889	226	"AWI"	226	4466	5047	4741	0	2	171	0	4	0	0	0	0	2	0	0	0	0	20	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	5	0	20	0	11	3	0
23820	41280	"Beckton"	51.51944	0.05889	234	"AWI"	234	4588	5191	4888	0	0	140	0	2	3	0	0	0	4	0	0	0	0	25	5	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	58	0	0	0	0	1	0	0	0	14	3	0
23820	41280	"Beckton"	51.51944	0.05889	242	"AWI"	242	4718	5319	5038	0	0	174	0	5	1	0	0	0	3	0	0	0	0	17	3	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	47	0	0	0	0	0	0	27	0	11	3	0
23820	41280	"Beckton"	51.51944	0.05889	250	"AWI"	250	4858	5422	5184	0	0	166	0	12	3	0	0	0	2	0	0	0	0	21	9	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	77	0	0	0	0	2	0	0	0	9	2	0
23820	41280	"Beckton"	51.51944	0.05889	258	"AWI"	258	5153	5497	5309	0	0	132	1	10	3	0	0	0	3	0	0	0	0	23	10	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	92	0	0	0	0	2	0	0	0	7	1	0
23820	41280	"Beckton"	51.51944	0.05889	266	"AWI"	266	5330	5592	5429	0	0	163	0	2	0	0	0	0	2	0	0	0	0	28	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	1	0	3	0	2	0	5	4	0
23820	41280	"Beckton"	51.51944	0.05889	274	"AWI"	274	5381	5744	5540	0	1	178	0	6	1	0	0	0	1	0	0	0	0	11	5	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	69	0	0	0	0	2	0	0	0	12	7	0
23820	41280	"Beckton"	51.51944	0.05889	282	"AWI"	282	5444	5883	5635	0	0	155	1	16	1	0	0	0	5	0	0	0	0	18	13	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	16	0	0	0	40	0	0	0	0	4	0	0	0	15	3	0
23820	41280	"Beckton"	51.51944	0.05889	290	"AWI"	290	5507	5984	5738	0	0	141	0	13	1	0	0	0	5	0	0	0	0	23	6	0	0	4	0	0	0	2	0	0	0	0	0	0	1	0	0	11	0	0	0	72	1	0	1	0	7	0	0	0	5	3	0
23820	41280	"Beckton"	51.51944	0.05889	298	"AWI"	298	5605	6061	5841	0	0	147	1	3	3	0	0	0	0	0	0	0	0	11	12	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	82	0	0	0	0	10	0	0	0	13	2	0
23820	41280	"Beckton"	51.51944	0.05889	306	"AWI"	306	5735	6125	5938	0	0	233	0	1	3	0	0	0	0	0	0	0	0	6	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	50	0	0	0	0	3	0	0	0	8	1	0
23820	41280	"Beckton"	51.51944	0.05889	314	"AWI"	314	5896	6223	6049	0	0	164	0	11	2	0	0	0	2	0	0	0	0	11	11	0	0	4	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	74	0	0	0	0	2	0	0	0	8	3	0
23820	41280	"Beckton"	51.51944	0.05889	322	"AWI"	322	5980	6399	6166	0	0	237	0	4	1	1	0	0	2	0	0	0	0	5	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	3	0	0	0	8	4	0
23820	41280	"Beckton"	51.51944	0.05889	330	"AWI"	330	6025	6709	6282	0	0	195	0	2	1	0	0	0	0	0	0	0	0	20	10	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	51	0	0	0	0	8	0	0	0	2	8	0
23820	41280	"Beckton"	51.51944	0.05889	338	"AWI"	338	6117	6917	6412	0	0	160	0	2	1	0	0	0	1	0	0	0	0	30	10	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	62	0	0	0	0	1	0	0	0	16	13	0
23820	41280	"Beckton"	51.51944	0.05889	346	"AWI"	346	6200	7127	6541	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	3	0
23820	41280	"Beckton"	51.51944	0.05889	354	"AWI"	354	6273	7338	6672	0	0	239	0	1	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	41	0	0	0	0	2	0	0	0	5	4	0
23820	41280	"Beckton"	51.51944	0.05889	362	"AWI"	362	6359	7537	6806	0	0	145	0	1	0	0	0	0	0	0	0	0	0	15	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	2	0	0	0	43	6	0
