"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26145	45385	"Viitna Linajärv"	59.45139	26.01389	422	"AWI"	422	-142	22	-57	0	170	1	0	17	0	0	0	0	40	3	0	0	0	2	1	0	0	1	64	380	5	0	0	1	0	11	0	9	0	17	7	0	0	19	11	0
26145	45385	"Viitna Linajärv"	59.45139	26.01389	430	"AWI"	430	-76	426	86	0	197	1	0	16	0	0	1	0	17	11	0	0	0	3	6	0	0	0	79	496	0	0	0	0	1	12	0	9	0	0	7	0	0	7	12	1
26145	45385	"Viitna Linajärv"	59.45139	26.01389	440	"AWI"	440	24	746	318	0	167	0	2	4	0	0	0	0	37	12	0	0	0	6	2	0	0	1	78	325	0	0	0	0	0	6	0	13	0	0	7	0	1	9	15	3
26145	45385	"Viitna Linajärv"	59.45139	26.01389	450	"AWI"	450	158	988	538	0	169	2	1	13	0	0	0	0	21	3	0	0	0	5	2	0	0	4	75	358	0	0	0	0	7	10	0	4	0	0	1	0	0	9	6	0
26145	45385	"Viitna Linajärv"	59.45139	26.01389	460	"AWI"	460	318	1186	757	0	146	0	0	10	0	0	0	0	9	7	0	0	0	2	2	0	0	3	77	370	0	0	0	0	1	14	0	4	0	0	9	0	0	4	6	2
26145	45385	"Viitna Linajärv"	59.45139	26.01389	470	"AWI"	470	520	1345	981	0	119	0	5	11	0	0	0	0	16	2	0	0	1	4	0	0	0	4	88	361	0	0	0	0	0	13	0	10	0	0	6	0	0	2	15	1
26145	45385	"Viitna Linajärv"	59.45139	26.01389	480	"AWI"	480	772	1491	1195	0	143	0	2	15	0	0	0	0	22	2	0	0	1	1	0	0	1	8	119	277	0	0	0	0	0	15	0	6	0	0	8	0	0	10	12	0
26145	45385	"Viitna Linajärv"	59.45139	26.01389	490	"AWI"	490	1139	1624	1403	0	197	0	2	6	0	0	0	0	36	2	0	0	0	5	0	0	0	2	97	191	0	0	0	0	0	14	0	8	0	0	5	0	4	5	19	0
26145	45385	"Viitna Linajärv"	59.45139	26.01389	500	"AWI"	500	1494	2161	1729	0	245	0	0	1	0	0	1	0	41	1	0	2	0	6	0	0	0	2	76	180	0	0	0	0	0	30	0	5	0	0	6	0	0	2	15	0
26145	45385	"Viitna Linajärv"	59.45139	26.01389	510	"AWI"	510	1696	2963	2217	0	211	0	0	8	0	0	0	0	33	2	0	0	1	9	1	0	0	3	96	151	0	0	0	0	0	24	0	6	0	0	2	0	0	17	28	1
