"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26053	45190	"Xan de Llamas"	42.30417	-6.32139	24	"AWI"	24	-27	207	111	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	8	0	0	55	171	0	0	0	0	0	0	0	0	1	0	6	0	0	13	0	32	0	112	0	0	12	2	1	0	3	22	0	0	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	27	"AWI"	27	-9	217	138	0	4	0	1	0	2	0	0	18	7	0	0	1	0	0	12	4	1	0	224	219	0	0	0	0	0	0	0	0	0	2	9	1	2	21	0	0	0	33	0	1	29	3	0	0	1	9	1	0	3	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	31	"AWI"	31	19	237	175	0	2	1	6	0	6	0	0	11	3	0	0	1	0	0	4	0	0	1	279	222	5	0	0	0	0	0	0	0	0	0	15	1	0	8	0	0	0	49	0	0	23	5	0	0	0	9	0	0	11	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	34	"AWI"	34	42	244	213	0	3	1	0	0	4	1	0	14	2	0	0	0	0	0	5	0	0	0	315	219	0	0	1	2	0	0	1	0	0	0	10	0	1	10	0	0	0	59	0	0	30	3	1	0	0	9	0	0	6	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	38	"AWI"	38	66	294	251	0	2	0	16	0	3	0	0	14	1	0	1	1	0	0	14	0	0	0	265	181	0	0	0	0	0	0	0	0	0	0	7	1	0	14	1	0	0	79	0	0	26	7	0	0	3	5	0	1	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	41	"AWI"	41	96	357	276	1	3	0	19	0	5	3	0	15	3	1	0	0	0	0	12	0	0	0	80	202	0	0	0	0	0	0	0	0	0	2	5	3	0	7	0	0	1	36	0	0	20	4	1	0	0	23	0	0	1	0	0	0	0	2	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	45	"AWI"	45	142	448	324	0	1	0	4	0	3	0	0	22	1	0	1	0	0	0	0	0	1	0	22	196	0	0	0	0	0	1	0	0	0	1	0	0	0	7	0	0	0	24	0	0	9	2	1	0	1	4	0	0	3	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	49	"AWI"	49	171	569	371	0	4	0	10	0	3	0	0	97	0	0	0	0	0	0	4	18	3	2	95	167	0	0	0	1	0	0	1	0	0	0	1	1	0	5	0	0	0	35	0	1	19	1	0	0	2	3	1	0	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	52	"AWI"	52	214	619	412	0	7	0	0	0	1	0	0	110	1	0	0	1	0	0	1	16	1	0	30	205	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	8	1	0	0	0	3	0	0	1	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	56	"AWI"	56	259	668	473	0	10	0	3	0	5	0	0	228	0	0	0	0	0	0	1	14	0	0	40	116	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	1	0	0	0	3	2	0	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	61	"AWI"	61	323	749	546	0	2	0	7	0	2	0	0	221	8	0	0	0	0	0	1	2	1	1	47	31	2	0	0	0	0	0	1	0	0	2	0	8	1	0	0	0	0	0	0	0	9	3	0	0	0	5	48	1	2	1	0	0	0	0	1
26053	45190	"Xan de Llamas"	42.30417	-6.32139	64	"AWI"	64	402	781	587	0	1	1	8	0	2	0	0	266	2	0	0	0	0	0	1	6	1	0	13	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	8	2	0	0	1	5	156	0	0	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	68	"AWI"	68	484	827	648	0	4	2	12	0	0	0	0	241	14	0	1	2	0	0	0	0	3	0	9	0	0	0	0	0	0	0	3	0	0	4	0	2	1	9	0	0	0	43	0	0	12	1	0	0	0	3	62	4	3	0	0	1	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	72	"AWI"	72	677	905	742	0	2	0	14	1	3	1	0	256	5	0	2	0	0	0	1	7	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	3	0	7	0	0	0	41	0	0	10	0	0	0	0	1	16	1	0	0	0	0	0	1	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	76	"AWI"	76	731	1212	885	0	1	0	11	0	3	0	0	245	0	0	0	0	0	0	0	0	2	0	5	68	0	1	0	0	0	0	0	0	0	1	1	2	0	10	0	0	0	0	0	0	15	1	5	0	1	4	6	1	8	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	80	"AWI"	80	763	1639	1009	0	1	0	15	0	2	0	0	259	0	0	0	1	0	0	0	4	0	0	13	0	0	1	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	85	0	0	11	4	8	0	1	9	1	0	3	0	0	0	0	0	0
26053	45190	"Xan de Llamas"	42.30417	-6.32139	84	"AWI"	84	889	1800	1247	0	1	0	18	0	1	0	0	231	1	0	0	0	0	0	0	2	0	0	3	55	0	0	0	1	0	0	0	0	0	3	0	1	0	6	0	0	0	0	0	0	24	1	9	0	0	5	3	0	1	0	0	0	0	0	0
