"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	2.5	"AWI"	2.5	-88	206.5	30	21	0	20	5	0	9	0	54	0	0	0	0	0	0	28	15	0	0	0	20	0	1	0	0	0	0	0	0	0	38	298	0	0	0	13	0	0	0	0	0	1	0	0	0	0	8	3	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	5	"AWI"	5	-61	439	114	0	0	15	3	0	5	0	104	0	5	0	12	0	0	14	222	0	0	0	18	0	1	0	0	0	0	0	0	2	20	413	0	0	0	33	0	0	0	0	0	5	0	0	0	0	2	1	5	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	7.5	"AWI"	7.5	-45.5	684	197	16	0	14	2	0	3	0	78	0	0	0	6	0	0	24	16	0	0	0	20	0	1	0	0	0	1	0	0	1	48	278	0	0	0	7	0	0	1	0	0	0	1	0	0	1	10	4	3	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	10	"AWI"	10	-32	927	281	4	1	20	8	0	2	0	70	0	1	0	6	0	0	6	3	0	0	0	1	0	0	1	1	0	0	0	0	2	10	393	0	0	0	14	0	0	0	0	0	2	0	0	0	0	2	3	1	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	12.5	"AWI"	12.5	49	980.5	391.5	5	1	9	2	0	0	0	29	1	0	0	1	1	0	1	18	43	0	0	6	1	0	0	0	0	0	0	0	3	28	343	0	0	0	6	0	0	1	0	0	0	0	0	1	0	2	5	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	15	"AWI"	15	105	1034	511	12	1	19	6	0	0	0	55	0	65	0	1	2	0	5	56	0	0	0	15	0	2	0	3	0	0	0	0	1	57	278	0	0	0	26	0	0	1	0	0	15	0	0	0	0	6	6	1	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	17.5	"AWI"	17.5	145.5	1118	618	10	1	13	2	0	0	0	38	0	4	0	0	1	0	7	216	0	0	0	10	1	2	0	0	1	0	0	0	0	71	276	0	0	0	8	0	0	1	0	0	4	0	0	0	1	2	6	1	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	20	"AWI"	20	189	1255	723	55	1	54	3	4	1	0	161	0	4	0	1	0	1	72	16	60	0	0	115	0	3	0	0	0	0	0	0	8	13	75	0	0	0	37	0	0	1	0	0	2	1	0	1	0	14	4	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	22.5	"AWI"	22.5	313	1287.5	826.5	44	1	38	0	0	2	0	77	0	1	0	0	0	0	27	16	33	0	0	49	0	3	0	0	0	0	0	0	9	40	190	0	0	0	15	0	0	0	0	0	1	0	0	0	0	4	4	2	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	25	"AWI"	25	399	1330	936	47	1	40	3	0	6	0	150	0	3	2	3	1	0	37	15	64	0	0	54	0	1	0	0	0	1	0	0	11	18	197	0	0	0	25	0	0	0	0	0	0	0	0	0	0	10	2	0	0
