"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3474	4493	"Tourves"	43.41312	5.91072	130	"AWI"	130	511	2939	1535	2.57142857142857	1.14285714285714	1.14285714285714	0	0.571428571428571	0.571428571428571	0.285714285714286	0.285714285714286	0	0.285714285714286	0	0	0	0	0	0	2	28.2857142857143	0	0	0	0	0	1.71428571428571	0	0.571428571428571	2	0	0	0.285714285714286	0	0.571428571428571	0.285714285714286	0.857142857142857	0.285714285714286	0	0	14.5714285714286	0.285714285714286	0.857142857142857	6.28571428571429	0	0	22.8571428571429	7.71428571428571	0	0	0	0	0.285714285714286	0	0.857142857142857	0	0.857142857142857	0	1.14285714285714	0	0	0.571428571428571
3474	4493	"Tourves"	43.41312	5.91072	140	"AWI"	140	667	3034	1661	0.581395348837209	0.581395348837209	0	1.16279069767442	0	0	0	1.16279069767442	0	0	0.581395348837209	0	0.581395348837209	0	0.581395348837209	0	2.32558139534884	15.6976744186047	0	0	0	0	0	0	0	0	8.72093023255814	0	0.581395348837209	0.581395348837209	0	0	0	0.581395348837209	0	0	0.581395348837209	23.8372093023256	0	1.74418604651163	0	0.581395348837209	1.16279069767442	32.5581395348837	1.74418604651163	0	0.581395348837209	0	0	0.581395348837209	0	0	1.16279069767442	0.581395348837209	0	1.16279069767442	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	150	"AWI"	150	766	3135	1793	2.45098039215686	0.490196078431373	0.980392156862745	0	0.490196078431373	2.45098039215686	0	0	0	0	0	0	0	0.980392156862745	0	0	0.980392156862745	16.1764705882353	0	0	0	0	0	0	0	0.490196078431373	6.37254901960784	0	0	0.490196078431373	0	0.980392156862745	0	0	0	0	2.45098039215686	11.2745098039216	0	1.96078431372549	22.5490196078431	0.490196078431373	3.43137254901961	17.6470588235294	2.45098039215686	0	0.490196078431373	0	0	1.47058823529412	0.490196078431373	0	0	0	0.980392156862745	0	0	0	0.980392156862745
3474	4493	"Tourves"	43.41312	5.91072	160	"AWI"	160	841	3245	1924	0	0	0.87719298245614	2.63157894736842	9.64912280701754	0.87719298245614	0	1.75438596491228	0	0.87719298245614	23.6842105263158	0	0	1.75438596491228	0	0	1.75438596491228	0	0	0	0	0.87719298245614	0	0	0	0	2.63157894736842	0	0	0	0	0	0	0	0	0	2.63157894736842	8.7719298245614	0	2.63157894736842	9.64912280701754	0.87719298245614	0	21.9298245614035	0.87719298245614	0	0.87719298245614	0	0	0	0	0	0	1.75438596491228	0.87719298245614	1.75438596491228	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	165	"AWI"	165	876	3317	1989	0	0.900900900900901	0	4.5045045045045	13.5135135135135	0	0	0	0	2.7027027027027	0	0	0	0	0	0	0	0	0.900900900900901	0	0	0	0	0	0	0	6.30630630630631	0	0.900900900900901	0	0	0	0.900900900900901	0	0	0	0.900900900900901	0	0	0.900900900900901	0	0	0	56.7567567567568	3.6036036036036	0.900900900900901	4.5045045045045	0	0	0	0	0	0	0	0.900900900900901	0	0	0	0.900900900900901
3474	4493	"Tourves"	43.41312	5.91072	180	"AWI"	180	1027	3506	2168	0.91324200913242	0	1.36986301369863	0.45662100456621	7.76255707762557	0.91324200913242	0	0.91324200913242	0	1.36986301369863	3.19634703196347	0	0.45662100456621	0	0	0	3.19634703196347	0.45662100456621	0	0	0	0	0	1.36986301369863	0	0.45662100456621	5.93607305936073	0	0	0	0	0	0	0	0	0	0	0	0	0.91324200913242	8.21917808219178	0	0	50.6849315068493	6.39269406392694	0.91324200913242	0.91324200913242	0	0	0	0.45662100456621	0	0	0.45662100456621	0	1.36986301369863	0.91324200913242	0	0
3474	4493	"Tourves"	43.41312	5.91072	190	"AWI"	190	1143	3581	2295	0	0	3.27868852459016	0	0	0	0	0	0	0	6.55737704918033	0	0	0	0	0	1.63934426229508	0	0	0	0	0	0	0	0	1.63934426229508	19.672131147541	0	0	0	0	0	0	0	0	0	0	32.7868852459016	1.63934426229508	1.63934426229508	0	0	0	24.5901639344262	3.27868852459016	0	0	0	0	0	0	0	0	0	0	0	3.27868852459016	0	0
3474	4493	"Tourves"	43.41312	5.91072	315	"AWI"	315	2769	4797	3920	1.08695652173913	0	5.97826086956522	3.26086956521739	1.08695652173913	0	0.543478260869565	2.71739130434783	0	0.543478260869565	3.80434782608696	0	0	0	0	0	4.34782608695652	1.08695652173913	0	0	0	0	0	0.543478260869565	0	0	4.89130434782609	0	0	0	0	0	1.08695652173913	0	0	0.543478260869565	0.543478260869565	19.0217391304348	2.17391304347826	1.08695652173913	7.06521739130435	0.543478260869565	0	28.2608695652174	8.15217391304348	0	0	0	0	0	0	0	0	0	0	1.6304347826087	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	330	"AWI"	330	3012	4891	4111	5.47945205479452	1.36986301369863	2.73972602739726	1.36986301369863	0	0	0	1.36986301369863	0	2.73972602739726	1.36986301369863	0	0	0	0	0	0	8.21917808219178	0	0	0	0	5.47945205479452	0	1.36986301369863	0	1.36986301369863	0	0	0	0	0	0	0	0	0	0	24.6575342465753	0	4.10958904109589	0	0	2.73972602739726	31.5068493150685	4.10958904109589	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3474	4493	"Tourves"	43.41312	5.91072	340	"AWI"	340	3143	4981	4247	0.543478260869565	0	2.17391304347826	2.17391304347826	1.08695652173913	0	0	2.17391304347826	0	1.08695652173913	8.15217391304348	0	0	0	0	0	0	1.6304347826087	0	0	0	0	0	1.08695652173913	0	0	15.2173913043478	0	0	0	0	0	0	2.17391304347826	0	0	0	21.195652173913	1.08695652173913	1.6304347826087	0	0.543478260869565	0	21.7391304347826	10.3260869565217	0	0	0	0	1.08695652173913	0.543478260869565	0	0	0.543478260869565	0	3.80434782608696	0	0	0
