"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Adoxaceae"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3430	4443	"Solnechnoe"	65.83333	34.33333	10	"AWI"	10	-106	126	-4	0	0	0	0	4	0	228	0	0	0	6	0	133	0	19	252	0	4	0	0	0	0	0	2	2	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	25	"AWI"	25	-82	350	70	0	0	0	0	4	0	0	0	0	0	12	0	43	0	17	224	0	6	0	0	0	0	0	1	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	50	"AWI"	50	-28	663	198	0	18	0	0	1	1	0	0	0	0	11	0	62	0	24	325	0	5	0	0	0	0	0	0	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	75	"AWI"	75	36	809	348	0	15	0	0	3	0	0	0	0	0	16	0	80	1	18	275	0	7	0	0	0	1	0	0	2	0	0	2	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	100	"AWI"	100	132	980	488	0	0	0	0	4	1	0	0	0	0	9	0	41	0	27	300	0	5	0	0	2	0	0	0	3	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	125	"AWI"	125	209	1144	642	0	6	0	0	4	0	164	0	0	0	7	0	20	0	41	317	1	0	0	0	3	2	0	0	0	0	0	0	0	1
3430	4443	"Solnechnoe"	65.83333	34.33333	150	"AWI"	150	340	1263	783	0	12	0	0	1	0	243	0	0	2	17	0	6	0	45	258	0	0	1	0	1	1	0	0	3	1	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	175	"AWI"	175	432	1409	932	0	23	0	0	2	0	194	0	0	0	22	0	25	0	43	284	0	2	0	0	0	0	0	1	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	200	"AWI"	200	589	1494	1074	0	39	0	0	0	0	354	0	0	0	13	0	7	0	35	170	0	0	0	0	0	1	0	1	2	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	225	"AWI"	225	740	1611	1212	1	66	0	0	5	1	309	0	0	3	23	0	1	0	28	127	0	0	0	0	1	0	0	0	3	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	250	"AWI"	250	914	1697	1359	1	54	0	0	1	0	302	0	0	1	20	0	3	0	41	166	0	1	0	0	0	0	0	0	6	0	0	4	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	275	"AWI"	275	1160	1787	1489	0	68	0	0	1	0	288	0	0	0	320	0	12	0	42	197	0	2	0	0	0	1	0	0	5	0	0	1	1	1
3430	4443	"Solnechnoe"	65.83333	34.33333	300	"AWI"	300	1392	1877	1614	0	70	0	0	0	0	252	0	0	1	215	0	7	0	43	171	0	2	0	0	2	0	15	0	9	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	320	"AWI"	320	1594	2107	1806	0	19	0	88	1	13	0	0	0	0	329	0	0	1	63	220	0	395	1	0	0	1	0	2	6	0	3	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	335	"AWI"	335	1646	2495	1950	0	13	0	2	4	50	130	0	0	1	18	0	3	1	91	305	1	24	0	0	2	4	0	0	1	0	0	0	0	1
3430	4443	"Solnechnoe"	65.83333	34.33333	350	"AWI"	350	1705	2841	2094	0	12	0	0	2	8	0	0	0	0	6	0	0	0	77	355	1	10	0	0	1	2	0	0	0	0	0	2	1	2
3430	4443	"Solnechnoe"	65.83333	34.33333	362	"AWI"	362	1798	2948	2253	0	11	0	0	0	6	0	0	0	4	8	0	2	0	93	560	1	8	0	0	1	2	0	0	0	0	0	0	0	2
3430	4443	"Solnechnoe"	65.83333	34.33333	375	"AWI"	375	1859	3125	2412	0	0	0	0	1	3	0	0	0	0	4	0	2	0	105	580	0	8	0	0	1	0	0	0	1	0	0	0	0	3
3430	4443	"Solnechnoe"	65.83333	34.33333	387	"AWI"	387	1899	3366	2548	0	15	0	0	1	4	0	0	0	0	10	1	2	0	83	460	1	10	0	0	2	1	0	1	1	0	0	0	0	5
3430	4443	"Solnechnoe"	65.83333	34.33333	400	"AWI"	400	2064	3491	2703	0	14	0	0	1	3	62	0	0	2	5	0	2	0	90	535	0	8	0	0	2	1	0	0	1	0	0	0	0	2
