"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3229	4189	"Lade Bank"	53.06966	0.08387	204	"AWI"	204	4125	4440	4291	0	23	34	0	1	0	0	11	0	0	0	0	16	0	4	0	0	0	14	0	0	0	6	0	2	11	0	0	123	0	0	0	0	3	0	2	5	2	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	208	"AWI"	208	4242	4544	4401	0	16	11	0	0	1	0	1	1	0	0	0	5	0	10	0	0	0	7	0	0	0	17	0	18	5	0	0	0	0	0	0	0	2	0	2	7	1	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	210	"AWI"	210	4303	4598	4457	0	20	39	0	1	1	0	2	0	0	0	0	11	0	2	0	2	0	14	0	0	0	5	0	3	6	0	0	98	0	0	0	0	8	0	2	7	2	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	212	"AWI"	212	4363	4648	4511	0	10	18	0	2	0	0	1	0	0	0	0	4	0	5	0	1	0	11	0	0	0	23	0	2	11	0	0	135	0	1	0	0	6	0	3	5	3	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	214	"AWI"	214	4423	4698	4567	0	13	24	0	2	1	0	2	0	0	0	0	20	0	1	0	0	0	9	1	0	0	2	0	2	18	0	0	135	0	1	0	0	1	0	0	4	2	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	216	"AWI"	216	4483	4748	4622	0	30	21	0	1	1	0	4	0	0	0	0	30	0	2	0	0	0	6	0	0	0	0	0	0	14	0	0	66	0	0	0	0	0	0	0	1	6	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	218	"AWI"	218	4543	4797	4677	0	21	47	0	0	1	0	4	0	0	0	0	47	0	1	2	1	0	14	0	0	0	0	0	2	15	0	1	67	0	0	0	0	2	0	0	4	8	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	219	"AWI"	219	4574	4824	4705	0	31	14	0	0	1	0	9	0	0	0	0	27	0	2	0	0	0	3	0	0	0	1	0	4	24	0	0	66	4	0	0	0	1	0	0	4	2	0	1
3229	4189	"Lade Bank"	53.06966	0.08387	220	"AWI"	220	4605	4848	4734	0	35	13	0	1	3	0	7	0	0	0	0	33	0	1	0	0	0	6	0	0	0	0	0	0	26	0	0	70	0	0	0	0	1	0	0	12	2	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	221	"AWI"	221	4631	4874	4762	0	26	20	0	0	10	0	3	0	0	0	0	52	0	1	0	0	0	6	0	0	1	1	0	2	47	0	0	50	0	0	0	0	0	0	0	6	0	1	0
3229	4189	"Lade Bank"	53.06966	0.08387	222	"AWI"	222	4660	4899	4791	0	33	32	0	0	3	0	2	0	0	0	0	48	0	1	0	0	0	4	0	0	1	0	0	3	61	0	0	53	2	0	0	0	0	0	0	10	11	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	224	"AWI"	224	4720	4953	4844	0	27	25	0	1	6	0	2	0	1	0	0	47	0	0	0	0	0	8	0	0	0	0	0	2	86	0	0	53	1	0	0	2	0	0	2	7	7	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	226	"AWI"	226	4776	5006	4896	0	37	19	0	3	2	0	4	0	0	0	0	48	0	4	0	0	0	4	0	0	0	1	0	1	62	0	0	68	0	0	0	0	0	0	0	8	3	0	1
3229	4189	"Lade Bank"	53.06966	0.08387	228	"AWI"	228	4835	5062	4949	0	31	16	0	2	1	0	5	0	0	0	0	45	0	4	0	0	0	7	0	1	0	2	0	0	110	0	0	74	0	0	0	1	0	1	0	12	5	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	230	"AWI"	230	4884	5127	5003	0	91	3	1	0	2	0	1	0	0	0	0	32	0	3	0	0	2	5	0	0	0	1	0	0	60	0	2	112	0	1	0	0	3	0	0	13	4	0	1
3229	4189	"Lade Bank"	53.06966	0.08387	232	"AWI"	232	4934	5188	5059	0	62	6	0	2	2	0	2	0	0	0	0	50	0	9	0	0	0	3	0	0	0	3	0	1	37	2	0	111	0	0	0	0	1	0	0	25	2	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	234	"AWI"	234	4986	5247	5113	1	72	1	0	2	1	0	2	0	0	0	0	48	1	31	0	0	0	4	0	0	0	3	0	0	19	0	0	77	0	0	0	0	1	0	0	33	4	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	236	"AWI"	236	5035	5308	5168	0	49	2	0	0	0	0	0	0	0	0	0	57	0	34	0	0	0	0	0	0	0	4	0	0	1	0	0	15	0	0	0	0	0	0	0	134	0	0	0
3229	4189	"Lade Bank"	53.06966	0.08387	240	"AWI"	240	5136	5427	5278	0	57	4	0	0	0	0	4	0	0	0	0	41	0	39	0	0	0	1	0	0	0	4	0	0	7	0	0	39	0	0	0	2	0	0	0	102	2	0	0
