"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15714	24116	"Vlcí rokle"	50.604006	16.12701	0	"AWI"	0	-123	46	-40	47	0	0	4	0	0	3	0	0	0	1	0	0	10	5	0	0	0	0	30	1	0	0	0	1	0	0	0	0	0	0	4	237	0	0	0	59	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	10	"AWI"	10	-23	989	269	195	1	0	1	0	0	16	0	0	0	0	0	0	12	3	0	0	0	0	168	3	6	0	0	0	0	0	0	0	0	0	29	201	0	0	0	0	0	0	0	46	0	0	0	0	0	5	0	0	0	0	0	1	0	4	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	20	"AWI"	20	131	1588	648	117	5	0	1	0	0	3	0	0	0	0	0	0	6	4	0	0	0	0	225	0	3	0	0	0	0	0	0	0	0	0	25	90	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	30	"AWI"	30	344	2056	1033	50	2	0	0	0	0	4	0	0	0	0	0	0	17	6	0	0	0	0	395	0	1	0	0	0	0	0	0	0	0	0	27	51	0	0	0	0	0	0	0	35	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	40	"AWI"	40	602	2468	1423	187	0	0	0	0	0	1	0	0	0	0	0	0	12	4	0	0	0	0	175	0	1	0	0	0	0	0	0	0	0	0	18	51	0	0	0	0	0	0	0	42	0	3	0	0	0	1	0	0	0	0	0	0	0	5	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	50	"AWI"	50	903	2838	1805	71	1	0	0	0	0	6	0	0	0	0	1	0	20	5	0	0	0	0	262	0	3	0	0	0	0	0	0	0	0	0	41	32	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	60	"AWI"	60	1218	3171	2190	92	4	0	0	0	0	1	0	0	0	0	0	0	11	3	0	0	0	0	94	0	8	0	0	0	0	0	0	0	0	0	26	30	0	0	0	0	0	0	0	31	0	0	0	0	0	1	0	1	0	0	0	0	0	12	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	70	"AWI"	70	1550	3485	2569	163	1	0	0	0	0	3	0	0	0	0	0	0	10	3	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	35	66	0	0	0	0	0	2	0	30	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	1
15714	24116	"Vlcí rokle"	50.604006	16.12701	80	"AWI"	80	1979	3783	2963	83	6	0	2	0	0	17	0	0	0	0	0	0	30	11	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	43	52	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0
15714	24116	"Vlcí rokle"	50.604006	16.12701	90	"AWI"	90	2381	4060	3347	315	3	0	0	0	0	7	0	0	0	0	0	0	15	6	0	0	0	0	225	0	4	0	0	0	0	0	0	0	0	0	21	91	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
