"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
16349	25386	"Etang Bouquin"	47.27361	4.01861	4	"AWI"	4	-121	50	-24	1	0	1	11	0	0	0	0	1	0	139	0	0	0	0	0	0	3	46	0	0	5	0	0	22	0	0	0	0	0	1	1	3	0	0	0	0	11	0	2	37	0	126	0	0	0	0	59	0	0	1	7	23	0	0	0	3	0	1	0	0	2	5	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	8	"AWI"	8	-108	97	-2	1	0	0	52	5	0	0	0	0	0	75	1	3	1	0	0	0	4	52	0	28	2	1	0	18	1	4	0	0	0	1	0	2	0	0	0	0	30	0	2	25	0	165	0	0	0	0	49	0	0	0	24	4	0	0	0	2	0	0	0	0	1	3	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	16	"AWI"	16	-68	160	46	1	0	0	192	2	0	0	0	2	0	46	0	0	0	16	0	0	1	39	0	142	0	0	0	62	1	0	0	0	0	0	3	11	0	0	1	0	5	0	0	6	0	137	0	0	0	0	89	0	0	4	27	7	0	0	0	2	0	0	0	1	3	0	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	24	"AWI"	24	-30	220	95	0	0	0	31	1	0	0	0	0	0	28	0	3	0	0	0	0	1	15	0	141	4	1	0	20	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	3	0	78	0	0	0	0	50	0	0	0	13	2	0	0	0	1	0	0	0	0	0	1	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	32	"AWI"	32	-1	266	141	1	0	0	195	0	0	0	0	0	0	39	0	2	0	17	0	0	4	36	0	195	6	3	0	53	0	0	0	0	0	1	0	10	0	0	0	0	14	0	0	17	0	140	0	0	0	1	74	0	0	3	22	7	0	1	0	0	1	0	0	6	2	0	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	40	"AWI"	40	28	303	185	0	0	0	137	1	1	3	0	1	0	26	0	1	0	0	0	0	5	51	0	89	4	2	0	55	0	0	0	0	0	0	1	7	0	0	0	0	12	0	0	10	0	127	0	0	0	0	67	0	0	1	4	7	0	0	0	0	1	0	0	3	1	2	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	48	"AWI"	48	98	354	232	0	0	0	49	0	0	0	0	0	0	29	0	0	0	0	0	0	6	44	0	156	0	0	0	30	0	0	0	0	0	0	1	16	0	0	1	0	8	0	0	4	0	90	0	0	0	0	81	0	0	1	18	5	0	0	0	1	0	0	1	1	0	7	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	56	"AWI"	56	157	401	281	0	0	0	194	1	0	0	0	3	0	19	0	2	0	0	0	0	7	56	1	87	0	0	0	62	0	0	1	0	0	0	1	15	0	0	1	0	3	0	0	5	0	123	0	0	0	0	114	0	0	2	19	9	0	0	1	2	1	0	2	2	1	2	1
16349	25386	"Etang Bouquin"	47.27361	4.01861	64	"AWI"	64	205	445	328	0	0	0	65	0	0	0	0	0	0	22	0	2	0	0	0	0	0	24	0	110	0	0	0	62	0	0	0	1	0	0	3	17	0	0	0	0	2	0	0	4	0	79	0	0	0	0	70	0	0	2	12	7	0	0	0	0	0	0	1	1	0	3	0
16349	25386	"Etang Bouquin"	47.27361	4.01861	68	"AWI"	68	225	468	352	0	0	0	147	0	1	0	0	2	0	19	0	1	0	0	0	0	2	34	0	91	0	0	0	67	0	0	0	0	1	0	1	12	0	0	0	0	3	0	0	5	0	70	0	2	0	0	54	0	0	1	13	2	0	0	0	1	0	0	0	7	0	3	0
