"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Morus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Ulmus"	"Urticaceae"
15846	24386	"Asi Gonia"	35.248806	24.277954	90	"AWI"	90	107	387	237	0	0	1	0	5	2	14	0	14	0	0	0	0	3	0	20	1	1	112	0	197	0	10	0	1	0	8	0	0	0	4	0	0	10	0	2	19	0	0	14	29	0	0	8	0	4	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	95	"AWI"	95	123	402	252	0	0	2	2	5	0	21	0	16	1	0	3	0	4	0	27	0	1	101	0	296	3	3	0	2	0	4	2	0	0	4	0	0	9	2	3	10	0	0	9	23	0	0	4	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	100	"AWI"	100	134	422	268	0	0	0	0	0	0	13	1	28	0	0	4	0	3	0	14	0	0	136	1	192	0	12	0	0	0	3	0	0	0	3	0	0	4	0	6	7	0	0	5	21	1	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	105	"AWI"	105	149	437	284	0	0	5	1	4	0	11	0	12	0	0	4	0	1	0	28	0	0	152	0	188	1	9	0	1	0	3	0	0	0	5	0	0	5	1	5	12	55	0	5	27	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	110	"AWI"	110	160	454	299	0	0	0	0	9	0	10	0	13	0	0	2	0	2	0	16	1	0	119	1	247	0	6	0	0	0	3	0	0	0	0	0	0	10	0	1	4	0	1	5	30	0	0	0	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	115	"AWI"	115	176	467	314	0	0	6	0	2	0	8	0	11	0	0	2	0	3	1	12	0	1	173	0	204	0	9	0	1	0	0	0	0	0	5	0	0	9	2	0	11	0	0	8	39	0	0	6	0	4	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	120	"AWI"	120	189	486	329	0	0	5	1	3	0	14	0	12	0	0	0	0	0	1	21	0	1	168	0	190	0	5	0	3	0	0	0	0	0	11	0	1	6	3	3	13	0	1	4	25	0	0	9	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	125	"AWI"	125	202	501	344	0	0	1	0	3	0	9	0	13	0	0	0	0	1	1	8	1	0	193	0	180	0	6	0	0	0	3	1	0	0	4	0	1	8	1	1	7	0	1	6	26	0	0	0	0	0	0	0	0	0	0	1
15846	24386	"Asi Gonia"	35.248806	24.277954	130	"AWI"	130	214	518	358	0	0	1	3	12	0	8	0	31	0	0	0	0	0	0	9	0	0	228	1	80	0	6	0	2	0	3	0	0	0	3	0	0	4	0	2	9	0	0	17	38	0	0	6	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	135	"AWI"	135	232	531	374	0	0	0	1	6	0	8	0	27	0	0	6	0	2	0	9	0	0	240	0	151	0	11	0	1	0	1	0	0	1	6	0	1	4	1	5	8	0	0	10	23	0	0	4	0	3	0	0	0	0	1	0
