"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
2989	3893	"Atxuri"	43.25028	-1.55111	80	"AWI"	80	3413	4428	3855	0	0	37	2	1	1	1	0	5	0	1	0	1	0	0	0	103	0	33	13	0	0	13	2	0	0	0	0	1	0	0	0	0	0	7	0	2	0	0	91	14	1	0	0	1	0	1	0	0	0	4	0
2989	3893	"Atxuri"	43.25028	-1.55111	85	"AWI"	85	3574	4690	4064	0	0	39	1	0	0	1	0	4	0	0	0	0	0	1	0	117	1	21	4	0	1	4	5	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	121	10	0	0	0	0	0	0	0	0	0	2	0
2989	3893	"Atxuri"	43.25028	-1.55111	90	"AWI"	90	3743	4924	4276	0	0	35	0	3	0	2	0	9	0	0	0	0	0	0	0	101	0	24	0	0	0	3	2	1	0	0	0	0	2	1	0	1	0	16	0	0	0	0	108	3	0	0	0	0	0	0	0	0	0	4	0
2989	3893	"Atxuri"	43.25028	-1.55111	95	"AWI"	95	3909	5179	4488	0	0	36	1	0	0	0	7	4	0	0	0	0	2	0	0	125	0	16	5	0	0	2	3	1	0	0	0	0	0	3	0	2	1	22	0	0	0	0	130	0	0	0	0	0	1	1	0	1	1	3	0
2989	3893	"Atxuri"	43.25028	-1.55111	100	"AWI"	100	4100	5413	4697	0	0	25	0	1	0	2	0	3	0	0	0	0	1	0	0	127	0	35	4	0	0	0	1	1	0	0	0	0	0	4	0	1	0	19	0	0	0	0	99	9	1	0	0	0	0	0	0	0	0	2	0
2989	3893	"Atxuri"	43.25028	-1.55111	105	"AWI"	105	4286	5650	4907	0	0	41	1	2	1	2	0	2	0	0	0	0	1	0	0	99	0	16	7	0	0	1	2	0	1	0	0	0	1	1	0	1	0	19	0	0	0	0	111	3	1	0	0	0	0	1	0	0	1	5	0
2989	3893	"Atxuri"	43.25028	-1.55111	110	"AWI"	110	4475	5878	5122	0	0	45	0	0	0	0	0	6	0	0	0	0	1	0	0	130	0	9	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	116	0	1	0	0	0	0	0	0	0	2	0	1
2989	3893	"Atxuri"	43.25028	-1.55111	115	"AWI"	115	4668	6100	5337	0	0	34	1	1	0	2	0	5	0	0	0	0	1	0	0	110	0	23	4	0	0	0	2	0	0	1	0	0	0	2	0	0	1	26	0	0	0	0	96	10	0	0	1	1	0	0	1	0	0	8	0
2989	3893	"Atxuri"	43.25028	-1.55111	120	"AWI"	120	4871	6316	5546	0	0	12	0	3	0	0	0	9	0	0	0	0	0	0	0	126	1	27	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	31	0	0	0	0	86	4	1	0	0	0	1	0	6	0	1	11	0
2989	3893	"Atxuri"	43.25028	-1.55111	125	"AWI"	125	5059	6565	5765	0	0	10	0	5	0	1	0	4	0	0	0	0	0	0	0	135	0	37	0	0	0	1	6	0	0	0	0	0	0	7	0	0	0	24	0	0	0	0	82	0	1	0	1	0	0	0	1	0	0	6	0
2989	3893	"Atxuri"	43.25028	-1.55111	130	"AWI"	130	5254	6771	5971	0	0	16	1	0	0	4	0	5	0	0	0	0	0	1	0	115	0	29	4	0	0	1	2	0	0	1	0	0	2	5	0	0	0	20	0	0	0	0	100	0	0	9	0	0	0	0	3	0	0	1	1
2989	3893	"Atxuri"	43.25028	-1.55111	135	"AWI"	135	5445	6976	6183	0	0	29	1	1	0	3	4	4	1	0	0	0	1	0	0	115	0	18	7	0	0	2	2	0	1	0	0	0	1	8	0	0	0	31	0	0	0	0	105	3	0	0	0	1	0	0	0	1	0	3	0
2989	3893	"Atxuri"	43.25028	-1.55111	140	"AWI"	140	5639	7199	6399	0	0	11	1	0	0	2	0	5	0	0	1	0	0	1	0	152	0	31	3	0	0	1	1	1	0	0	0	0	0	4	0	0	0	31	0	0	0	0	96	2	0	0	0	0	0	1	4	0	1	6	0
2989	3893	"Atxuri"	43.25028	-1.55111	145	"AWI"	145	5837	7417	6610	0	0	19	1	2	0	0	0	2	0	0	0	0	0	0	0	123	0	27	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	30	0	0	0	0	90	9	0	0	0	0	0	0	1	0	0	4	0
2989	3893	"Atxuri"	43.25028	-1.55111	147	"AWI"	147	5925	7501	6691	0	0	27	0	0	1	1	6	1	0	0	0	0	0	0	0	129	0	20	4	0	0	4	3	1	0	0	0	0	2	0	0	0	0	56	0	0	0	0	103	0	1	0	0	1	0	2	1	0	1	4	0
