"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Corylus"	"Fagus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Tilia"	"Ulmus"
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	10	"AWI"	10	1238	1805	1448	11	6	1	15	24	2	19	0	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	15	"AWI"	15	1249	1812	1459	17	15	5	23	26	0	23	0	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	20	"AWI"	20	1261	1822	1470	30	15	3	52	38	0	35	0	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	25	"AWI"	25	1275	1832	1481	48	17	6	17	30	1	34	0	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	40	"AWI"	40	1308	1871	1516	20	7	2	7	20	1	27	1	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	50	"AWI"	50	1321	1895	1538	34	21	3	49	7	0	11	2	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	85	"AWI"	85	1360	2008	1620	56	36	9	12	8	0	24	1	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	90	"AWI"	90	1366	2026	1632	19	16	6	6	4	1	27	0	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	105	"AWI"	105	1380	2098	1667	42	20	0	14	6	0	35	2	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	125	"AWI"	125	1398	2191	1713	47	13	6	0	1	0	38	1	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	130	"AWI"	130	1401	2214	1725	64	14	13	12	3	0	55	4	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	132	"AWI"	132	1403	2224	1729	62	29	10	19	5	0	64	6	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	140	"AWI"	140	1409	2268	1746	111	29	23	3	2	0	67	6	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	150	"AWI"	150	1416	2321	1768	108	31	14	1	0	0	68	7	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	175	"AWI"	175	1430	2456	1821	93	25	19	4	0	0	101	4	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	220	"AWI"	220	1449	2687	1915	69	21	20	6	1	0	107	4	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	265	"AWI"	265	1469	2944	2007	63	15	17	6	0	0	119	4	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	305	"AWI"	305	1484	3166	2089	104	27	19	3	1	0	99	10	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	355	"AWI"	355	1769	3357	2323	71	16	20	17	3	0	80	7	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	395	"AWI"	395	1979	3533	2539	68	17	24	3	0	0	144	15	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	415	"AWI"	415	2055	3651	2652	100	20	33	5	3	0	99	8	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	445	"AWI"	445	2162	3873	2809	90	17	20	8	1	0	96	5	3
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	465	"AWI"	465	2212	4040	2913	60	23	3	1	0	0	131	22	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	485	"AWI"	485	2266	4235	3014	47	21	2	1	1	0	173	18	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	535	"AWI"	535	2398	4718	3258	36	21	2	0	1	0	133	24	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	555	"AWI"	555	2435	4905	3357	35	20	0	0	0	0	152	17	0
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	575	"AWI"	575	2471	5110	3457	40	20	2	2	0	0	128	33	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	615	"AWI"	615	2542	5537	3648	33	20	0	0	3	0	164	15	4
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	625	"AWI"	625	2634	5603	3732	25	17	0	1	18	0	150	16	5
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	635	"AWI"	635	2774	5639	3840	57	22	2	1	1	0	163	15	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	645	"AWI"	645	2914	5678	3950	50	19	1	14	23	0	176	15	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	665	"AWI"	665	3196	5758	4170	48	24	0	3	0	0	119	9	1
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	715	"AWI"	715	3857	5979	4715	26	19	0	3	1	0	123	15	2
15902	24477	"saint-Malo-de-Guersac"	47.33972	-2.16556	755	"AWI"	755	4335	6162	5164	26	23	0	2	0	0	151	12	3
