"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Montiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24268	42714	"Großer Krebssee"	52.845046	14.09915	450	"AWI"	450	3498	3943	3721	0	0	144	0	0	0	1	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	1	90	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	15	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	458	"AWI"	458	3546	3986	3769	0	1	100	0	0	0	0	0	0	2	0	0	0	0	0	0	53	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	97	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	15	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	466	"AWI"	466	3591	4031	3817	0	0	74	0	0	0	1	0	0	1	0	1	0	0	0	0	62	5	0	0	0	0	0	14	0	1	0	0	1	0	0	0	0	0	0	0	0	22	0	3	197	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	7	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	474	"AWI"	474	3649	4071	3870	2	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	50	2	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	0	1	0	0	19	0	0	369	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	8	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	482	"AWI"	482	3704	4113	3921	3	0	108	0	1	0	3	0	0	0	0	0	0	0	0	0	53	10	0	0	0	0	0	12	0	4	0	0	0	0	1	0	0	0	0	0	0	24	0	7	969	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	19	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	490	"AWI"	490	3788	4146	3965	1	0	157	1	0	0	8	0	0	0	0	0	0	0	0	0	77	4	0	0	0	0	0	5	0	8	0	0	0	0	4	0	0	0	0	0	0	7	0	0	216	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	8	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	494	"AWI"	494	3813	4168	3988	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	111	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	498	"AWI"	498	3835	4187	4005	0	1	133	1	0	0	7	0	0	0	0	0	0	0	0	0	82	7	0	0	0	0	0	11	0	5	0	0	0	0	1	0	0	0	0	0	0	23	0	0	318	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	9	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	502	"AWI"	502	3853	4203	4021	0	1	180	1	0	0	11	0	0	0	0	1	0	0	0	0	62	7	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	22	0	3	298	0	0	0	0	0	76	0	0	0	0	0	0	0	0	6	10	0
24268	42714	"Großer Krebssee"	52.845046	14.09915	506	"AWI"	506	3873	4219	4042	0	0	155	0	0	1	14	0	0	0	0	0	0	0	0	0	82	7	0	0	0	0	0	5	0	5	0	0	0	0	2	0	0	0	0	0	0	10	0	1	120	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	14	3
