"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	10	"AWI"	10	-81	307	65	1	0	15	4	9	2	0	0	2	1	4	1	0	2	0	1	0	0	0	0	4	0	41	3	0	0	2	1	0	0	0	0	0	3	0	8	0	0	0	0	1	0	1	0	6	8	0	0	0	0	0	1	23	0	0	0	0	0	4	6	0	0	0	2	0	0	0	0	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	15	"AWI"	15	-27	362	136	24	2	8	2	10	2	0	0	3	2	3	1	0	2	0	3	0	0	0	1	5	0	25	5	2	0	2	2	0	1	1	0	0	4	0	2	3	0	0	1	1	0	3	1	24	12	84	0	0	0	0	1	33	0	0	0	0	1	0	0	0	0	0	5	0	0	2	2	4	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	20	"AWI"	20	0	453	205	7	0	7	4	3	2	2	0	2	2	2	1	1	0	0	3	0	0	0	0	6	0	34	5	0	0	2	1	0	1	0	0	1	8	0	5	3	0	0	0	0	2	0	1	56	9	0	0	0	0	0	0	30	0	0	0	0	2	3	1	0	1	0	2	0	0	1	2	3	0	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	25	"AWI"	25	64	496	274	3	1	7	4	5	1	0	0	2	1	2	0	1	3	0	3	1	0	0	0	1	1	40	5	0	0	3	0	0	0	0	0	0	7	0	13	2	0	0	0	0	0	0	1	1	7	0	1	8	0	3	1	18	0	0	0	0	2	4	1	0	0	0	3	0	0	0	2	2	0	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	30	"AWI"	30	105	570	344	2	1	9	2	4	1	1	0	2	0	2	0	0	3	0	5	2	0	0	1	5	0	60	5	0	0	2	0	0	2	0	1	0	4	0	3	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	18	0	0	0	0	2	8	0	0	1	0	3	1	0	1	1	2	0	0	0	0	2
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	35	"AWI"	35	183	602	414	2	0	3	3	6	2	2	0	1	0	4	1	0	2	0	4	0	0	0	0	4	0	87	6	0	0	3	0	0	0	0	1	1	5	0	4	3	0	0	0	0	0	2	0	2	9	0	0	0	0	4	1	23	0	4	0	0	0	7	1	0	0	0	3	1	0	0	1	2	0	0	0	0	1
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	40	"AWI"	40	228	664	485	2	1	10	2	5	2	2	103	2	1	2	3	0	2	0	3	1	0	0	0	6	1	42	5	2	0	2	0	0	0	1	1	1	4	0	9	2	0	0	1	1	0	1	0	4	7	0	0	0	1	0	0	18	0	3	0	0	2	6	1	0	2	0	3	0	0	3	2	1	0	0	0	0	1
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	45	"AWI"	45	349	689	548	2	1	5	2	3	2	1	91	0	0	7	1	0	3	0	4	1	0	0	0	4	0	54	5	0	0	2	0	0	0	0	1	0	4	0	10	2	0	1	1	0	0	0	0	3	18	0	0	0	0	2	0	10	0	7	0	0	2	4	2	0	0	0	2	0	0	2	1	2	0	0	0	0	1
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	50	"AWI"	50	418	736	619	1	1	7	5	7	2	2	84	0	0	2	2	0	3	0	4	0	0	0	0	7	0	44	6	4	0	2	0	0	0	0	0	2	8	0	5	2	0	0	2	0	0	1	2	1	13	0	2	0	0	5	0	20	0	6	0	0	0	5	0	0	1	0	2	0	0	2	0	2	0	0	0	0	2
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	55	"AWI"	55	551	764	670	2	2	10	3	6	2	1	111	2	2	3	1	2	2	0	2	1	0	0	0	7	0	52	5	0	0	3	1	0	0	0	0	1	3	0	18	2	0	0	1	0	0	0	0	2	9	0	0	0	0	4	0	16	0	4	0	0	1	0	0	0	1	0	1	0	0	2	0	2	1	1	2	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	60	"AWI"	60	603	839	729	0	1	6	5	5	2	2	152	2	0	2	2	1	1	0	5	0	0	0	0	6	0	30	6	0	0	3	0	0	0	0	0	0	3	0	10	4	0	0	1	0	0	1	0	3	17	0	1	0	0	0	0	14	0	6	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	65	"AWI"	65	658	901	774	2	0	5	3	6	2	1	140	0	1	1	2	0	3	0	2	0	0	0	0	3	0	62	0	0	0	1	0	0	0	0	0	2	1	0	2	3	0	0	1	0	0	0	0	2	15	0	0	0	0	0	0	10	0	3	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	70	"AWI"	70	689	996	814	1	0	10	4	2	0	0	174	2	1	1	0	0	2	0	3	0	0	0	0	5	0	54	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	2	10	0	0	0	0	0	1	5	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	75	"AWI"	75	732	1035	858	1	0	16	4	3	2	1	125	0	0	0	0	0	4	0	4	0	0	0	0	7	0	73	0	0	0	1	0	0	0	0	0	2	0	0	3	2	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	80	"AWI"	80	759	1099	901	1	0	27	5	4	0	1	82	2	1	3	2	0	5	0	5	0	0	0	0	9	0	75	0	0	0	3	0	0	0	0	0	2	0	0	7	4	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	16	0	3	0	0	2	0	3	0	0	0	3	0	0	4	0	0	0	0	0	1	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	85	"AWI"	85	805	1133	946	2	0	24	3	3	1	0	0	2	0	4	2	0	10	0	4	0	0	0	0	8	0	78	0	0	0	2	0	0	0	0	0	3	1	0	4	14	0	0	1	0	0	0	0	1	7	0	0	0	0	0	0	28	0	0	0	0	0	5	4	0	0	0	1	0	0	0	2	1	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	90	"AWI"	90	838	1190	989	1	0	50	9	3	1	2	0	1	0	1	1	0	4	0	2	0	0	0	0	14	0	66	2	0	0	1	1	0	0	0	1	1	0	0	6	7	1	0	0	1	0	1	0	2	5	0	0	0	1	0	0	21	0	0	0	0	0	0	3	0	0	0	1	0	0	1	1	1	1	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	95	"AWI"	95	921	1232	1034	1	0	58	4	5	0	1	0	4	0	5	2	0	7	0	5	0	0	0	0	9	0	56	0	2	0	1	1	0	0	0	0	0	0	0	11	3	0	0	1	1	0	0	0	1	5	0	0	0	1	0	0	7	0	4	0	0	2	8	2	0	0	0	3	0	0	1	0	1	0	0	0	1	1
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	100	"AWI"	100	966	1309	1087	0	0	65	3	3	0	2	0	8	0	6	1	0	10	0	1	0	0	0	1	55	0	51	0	0	0	1	2	0	0	0	0	0	0	0	5	2	0	0	3	1	0	0	0	1	6	0	0	0	1	2	0	7	0	3	0	0	0	5	2	0	0	0	2	0	0	2	1	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	105	"AWI"	105	1047	1633	1286	0	1	71	3	3	2	0	0	3	0	6	0	0	15	0	2	0	0	0	0	17	0	53	0	0	0	2	1	2	0	0	0	0	0	0	5	1	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	4	0	7	1	0	3	6	2	0	0	0	2	0	0	4	0	2	0	0	3	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	110	"AWI"	110	1089	2103	1452	0	0	6	2	4	0	2	0	2	0	1	0	0	4	0	2	0	0	0	0	55	0	80	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	1	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	115	"AWI"	115	1234	2225	1674	0	0	10	3	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	126	0	38	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	2	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	120	"AWI"	120	1311	2464	1904	0	0	23	4	5	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	21	0	108	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	125	"AWI"	125	1593	2554	2108	0	0	19	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	0	70	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	130	"AWI"	130	1733	2708	2325	0	0	19	3	2	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	18	0	62	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	135	"AWI"	135	2247	2809	2531	0	0	14	6	4	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	11	0	29	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	140	"AWI"	140	2471	3091	2762	0	0	14	8	2	1	0	0	0	0	1	0	0	1	0	3	0	0	0	0	7	0	15	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	145	"AWI"	145	2713	3491	3108	0	0	18	4	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	27	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	150	"AWI"	150	2837	4078	3448	0	0	27	7	2	0	1	0	1	1	0	0	0	3	0	2	0	0	0	0	19	0	11	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	2	14	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	155	"AWI"	155	3259	4238	3750	0	0	48	7	2	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	20	0	3	0	0	0	0	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	0	4	16	0	0	0	2	0	0	20	0	0	0	0	0	0	3	0	0	0	0	0	0	1	10	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	160	"AWI"	160	3475	4613	4063	0	1	42	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	38	0	3	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	1	1	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	165	"AWI"	165	3641	4801	4234	0	0	46	8	8	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	24	0	28	0	0	0	0	2	0	0	0	0	0	0	2	8	0	0	0	0	1	0	0	0	2	5	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	0	1	0	3	0	16	0	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	170	"AWI"	170	3745	5130	4401	0	0	36	5	4	2	1	0	5	0	0	0	0	1	0	3	0	0	0	0	38	0	6	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	175	"AWI"	175	3943	5264	4591	0	0	35	6	5	3	2	0	3	1	1	0	0	0	0	2	0	0	0	0	34	0	12	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	6	0	0	0	1	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	1	0	0	0	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	180	"AWI"	180	4057	5503	4772	0	0	37	4	4	2	2	0	3	0	1	0	0	1	0	2	0	0	0	0	36	0	16	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	2	3	0	1	0	0
15954	24593	"Moulin de Thévalles"	47.96944	-0.41639	185	"AWI"	185	4277	5604	4972	0	0	39	4	2	0	0	0	4	0	0	0	0	2	0	4	0	0	0	0	37	0	17	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	0	2	0	0	0	0
