"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23846	41333	"Lobbs Bog"	50.97056	-3.62361	88	"AWI"	88	648	981	806	14	1	0	6	0	0	0	1	0	7	4	0	7	1	1	0	0	0	0	3	0	0	0	0	2	0	1	0	1	0	1	0	0	0	0	0	3	2	0	0	0	0	0	7	0	27	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	92	"AWI"	92	676	1019	839	16	0	0	8	0	0	0	0	0	6	0	0	11	0	1	0	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	5	0	14	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	96	"AWI"	96	709	1051	876	20	0	2	15	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	22	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	100	"AWI"	100	730	1097	911	22	0	0	9	0	0	0	0	0	11	0	0	27	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	21	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	104	"AWI"	104	771	1119	945	17	2	0	16	0	0	0	0	0	7	0	0	1	1	1	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	8	2	0	0	0	0	0	0	0	23	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	108	"AWI"	108	795	1149	980	52	0	0	18	0	0	0	0	0	7	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	41	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	112	"AWI"	112	834	1178	1014	62	0	1	32	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	36	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	116	"AWI"	116	874	1199	1049	41	0	0	24	0	0	0	0	0	5	4	0	9	1	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	7	0	27	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	120	"AWI"	120	902	1232	1086	35	1	0	17	1	0	0	0	0	6	0	0	6	1	0	0	0	2	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	36	1
23846	41333	"Lobbs Bog"	50.97056	-3.62361	124	"AWI"	124	964	1247	1120	64	0	0	39	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	1	1	0	0	0	0	0	0	43	0
