"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Syringa"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
2985	3889	"Lake Varna"	43.192612	27.815084	230	"AWI"	230	4151	5488	5142	0	0	1.19760479041916	0	0	0	1.79640718562874	0	0	0	0	0.598802395209581	0.598802395209581	0	0	0	0	0	7.18562874251497	2.39520958083832	0	0	0	0	2.39520958083832	0	0	0	0	7.78443113772455	0	0	0	0	0	0	1.79640718562874	0	0	0	0	0	67.065868263473	0	0	0	0	0	0	1.79640718562874	0	1.19760479041916	0	0	0	1.19760479041916	0	2.9940119760479	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	260	"AWI"	260	4380	5659	5282	1.04712041884817	1.57068062827225	3.66492146596859	0	0	0	5.23560209424084	0	3.1413612565445	0	0	0	1.57068062827225	0	0	0	0	1.04712041884817	6.282722513089	10.9947643979058	0	0	0	0	0	0	0	1.04712041884817	1.04712041884817	1.04712041884817	2.61780104712042	0	0	0.523560209424084	0	0	15.7068062827225	0.523560209424084	0	4.18848167539267	0	0	0	0	0	0	31.9371727748691	0	0	1.04712041884817	0	1.04712041884817	0	0	0	0	3.1413612565445	1.57068062827225	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	280	"AWI"	280	4481	5721	5344	1.31578947368421	1.31578947368421	0	0	0	0	6.57894736842105	0	0	0	0	0	2.63157894736842	0	0	0	0	0	13.1578947368421	21.0526315789474	0	0	0	0	0	0	0	0	2.63157894736842	6.57894736842105	1.31578947368421	1.31578947368421	0	0	0	0	10.5263157894737	0	1.31578947368421	13.1578947368421	0	0	0	2.63157894736842	0	1.31578947368421	0	0	0	2.63157894736842	0	2.63157894736842	0	0	1.31578947368421	2.63157894736842	0	3.94736842105263	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	310	"AWI"	310	4626	5858	5431	0	0	0	0	0	0	13.1578947368421	0	13.1578947368421	0	0	0	0	0	0	0	0	2.63157894736842	36.8421052631579	0	0	2.63157894736842	0	0	2.63157894736842	0	0	0	0	0	15.7894736842105	0	0	2.63157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	5.26315789473684	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	340	"AWI"	340	4755	5932	5533	7.5	0.625	1.25	0	0	0	6.25	0	0	0	0	0	1.25	0	0	0	1.25	0	15.625	3.75	0	0	0	0	1.25	0	0	0.625	0	1.875	0	0	0	0	0	0.625	3.75	0	3.125	8.125	0	0	38.75	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	3.125	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	360	"AWI"	360	4833	6012	5598	1.16279069767442	1.16279069767442	2.32558139534884	0	0	0	15.1162790697674	0	0	0	0	0	0	0	0	0	0	0	29.0697674418605	2.32558139534884	0	1.16279069767442	0	0	2.32558139534884	0	0	0	0	5.81395348837209	0	0	0	0	0	0	6.97674418604651	2.32558139534884	2.32558139534884	15.1162790697674	0	0	0	0	0	1.16279069767442	0	0	0	3.48837209302326	0	2.32558139534884	0	0	0	0	0	5.81395348837209	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	370	"AWI"	370	4971	6048	5651	0.401606425702811	0	0.803212851405622	0	0	0	4.81927710843374	0	3.21285140562249	0	0	0	1.20481927710843	0	0	0	0	0	2.81124497991968	0	0	0.401606425702811	0	0	0	0	0	0	0.803212851405622	0	5.62248995983936	0	0	0	0	0	0	0	0	0	0	0	77.5100401606426	0	0	0	0	0	0	0	0.401606425702811	0.401606425702811	0	0	0	0	1.20481927710843	0.401606425702811	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	380	"AWI"	380	5164	6079	5716	1.40845070422535	0	3.52112676056338	0	0	0	8.45070422535211	0	2.11267605633803	0	0	0	0	0	0	0	0	0	6.33802816901408	4.92957746478873	0	0	0	0	0.704225352112676	0	0	0	0	10.5633802816901	0	0	0	0	0	0	0	0	1.40845070422535	2.8169014084507	0	0	0	0	0	0	47.887323943662	0	0	1.40845070422535	2.11267605633803	0.704225352112676	0	0.704225352112676	0	1.40845070422535	0	3.52112676056338	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	400	"AWI"	400	5505	6139	5853	4.8780487804878	0	0	0	0	0	14.6341463414634	0	0	0	0	0	0	0	0	0	0	0	17.0731707317073	29.2682926829268	0	0	0	0	0	0	0	0	0	4.8780487804878	0	0	0	4.8780487804878	0	0	0	0	0	24.390243902439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	440	"AWI"	440	5774	6367	6121	3.52941176470588	5.88235294117647	7.05882352941176	0	0	0	7.05882352941176	0	3.52941176470588	0	3.52941176470588	0	8.23529411764706	0	7.05882352941176	0	0	0	2.35294117647059	12.9411764705882	0	0	0	0	8.23529411764706	0	0	0	1.17647058823529	7.05882352941176	0	0	0	0	2.35294117647059	0	0	0	0	16.4705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52941176470588	0	0	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	460	"AWI"	460	5867	6689	6260	2.08333333333333	0	4.16666666666667	0	0	0	0	0	0	0	14.5833333333333	0	4.16666666666667	0	0	0	0	0	8.33333333333333	25	2.08333333333333	0	0	0	4.16666666666667	0	0	4.16666666666667	0	14.5833333333333	8.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33333333333333	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	500	"AWI"	500	6064	7222	6528	4.44444444444444	0	5.55555555555556	0	0	2.22222222222222	0	0	3.33333333333333	0	0	0	5.55555555555556	0	0	0	0	0	10	2.22222222222222	2.22222222222222	2.22222222222222	0	0	0	0	0	0	3.33333333333333	7.77777777777778	0	2.22222222222222	0	0	0	0	0	0	1.11111111111111	11.1111111111111	0	0	0	0	0	2.22222222222222	32.2222222222222	0	0	0	0	0	0	0	0	0	0	2.22222222222222	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	730	"AWI"	730	7661	8416	8099	4.80769230769231	0	0.961538461538462	0	0	0	15.3846153846154	0	0	0	0	0	0	0	0	0	0	0	28.8461538461538	0	0	0	0	0	0	0	0	0	0	0	3.84615384615385	0	0	0	0	0	0	0	2.88461538461538	8.65384615384615	0	0	0	0	0	0	0	0	23.0769230769231	0	0	0	0	0	0	1.92307692307692	4.80769230769231	4.80769230769231	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	760	"AWI"	760	8002	8532	8269	1.66666666666667	0	0.833333333333333	0	0	0	65	0	0.833333333333333	0	0	0	1.66666666666667	0	0	0	0	0	15.8333333333333	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	5.83333333333333	0	0	0	1.66666666666667	0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	2.5	0.833333333333333	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	790	"AWI"	790	8101	8881	8434	2.9126213592233	0	0	0	2.9126213592233	0	69.9029126213592	0	1.94174757281553	0	1.94174757281553	0	0	0	0	0	0.970873786407767	0	3.88349514563107	0	0	2.9126213592233	0	0	0	0	0	0	0	0	5.8252427184466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94174757281553	3.88349514563107	0.970873786407767	0
2985	3889	"Lake Varna"	43.192612	27.815084	890	"AWI"	890	8382	9874	8947	3.125	0	0	0	0	9.375	46.875	0	0	0	3.125	0	0	0	0	0	0	0	3.125	0	0	0	0	0	0	0	0	0	0	0	3.125	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0
2985	3889	"Lake Varna"	43.192612	27.815084	910	"AWI"	910	8411	10085	9046	0	0	11.5384615384615	0	0	0.961538461538462	14.4230769230769	0	3.84615384615385	0	0	0	0.961538461538462	0	0	0	0	0	49.0384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961538461538462	10.5769230769231	0	0
