"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Dioscoreaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26062	45210	"Chalkney wood"	51.91361	0.72333	0.4	"AWI"	0.4	-93.8	-51.6	-67.8	0	5	15	9	0	0	0	4	4	0	257	0	10	0	0	0	133	30	4	0	0	16	8	0	19	0	0	34	0	1	1	0	0	0	0	0	79	0	0	10	2	82	0	1	0	167	28	0	0	0	18	0	0	5	6	2	4	0	41	7	17
26062	45210	"Chalkney wood"	51.91361	0.72333	3.6	"AWI"	3.6	-71	-45.2	-57.2	1	0	16	9	0	0	0	4	2	0	241	0	7	0	0	0	72	58	5	0	0	1	5	0	21	1	1	0	0	0	1	0	0	0	0	0	74	0	0	8	4	95	0	0	0	208	19	0	2	0	24	0	1	0	3	3	0	0	42	12	7
26062	45210	"Chalkney wood"	51.91361	0.72333	6.9	"AWI"	6.9	-58.4	-36.2	-47.3	0	2	12	8	0	0	0	0	16	0	272	0	5	0	0	0	110	28	7	0	0	1	0	0	25	0	0	13	0	0	0	0	0	0	0	2	69	0	0	7	3	105	0	0	0	197	20	0	0	0	30	6	0	0	6	2	0	0	53	9	6
26062	45210	"Chalkney wood"	51.91361	0.72333	10	"AWI"	10	-53	-25	-40	1	9	22	10	0	0	0	1	7	0	268	0	21	0	0	0	106	32	10	0	0	0	6	0	32	0	0	16	0	0	3	0	0	2	0	0	66	0	1	4	0	89	0	0	0	189	18	0	0	0	23	0	0	0	1	4	2	0	41	10	6
26062	45210	"Chalkney wood"	51.91361	0.72333	13.2	"AWI"	13.2	-39.4	-13.8	-27.2	0	3	7	6	1	0	0	0	8	0	323	0	8	0	0	0	125	25	7	0	0	3	0	0	20	0	0	0	0	0	0	0	1	0	0	0	39	0	0	6	0	98	0	0	0	182	9	0	0	0	33	7	0	1	8	2	1	0	37	10	9
26062	45210	"Chalkney wood"	51.91361	0.72333	14.9	"AWI"	14.9	-36.1	-1.8	-20.4	0	0	14	8	0	0	2	6	0	0	243	0	4	0	0	0	124	26	4	0	0	3	10	3	21	0	0	32	0	0	1	0	0	0	0	0	72	0	0	10	0	112	0	0	0	230	23	0	1	0	20	0	0	1	3	2	0	0	40	14	6
26062	45210	"Chalkney wood"	51.91361	0.72333	16.4	"AWI"	16.4	-25.6	3.99999999999999	-11.6	0	3	7	7	0	0	0	4	6	0	261	0	3	0	2	0	158	22	5	0	0	4	12	0	15	0	1	0	0	0	2	0	0	0	0	0	38	0	0	6	0	112	0	0	0	202	15	0	1	9	25	1	0	0	4	2	0	0	29	6	15
26062	45210	"Chalkney wood"	51.91361	0.72333	21.3	"AWI"	21.3	-2.2	35.2	16.2	0	0	16	11	0	0	0	2	1	0	109	0	2	0	0	0	119	29	0	0	0	2	0	2	12	0	1	0	0	0	0	0	0	0	0	0	19	0	0	13	0	146	0	0	0	421	13	0	0	0	18	4	0	0	6	1	1	0	7	16	12
26062	45210	"Chalkney wood"	51.91361	0.72333	18	"AWI"	18	-17	13	-2	0	1	9	13	0	0	1	0	0	0	208	0	3	0	0	0	173	24	4	0	0	4	0	0	18	0	0	13	0	0	0	0	0	0	0	0	51	0	0	3	10	100	0	0	0	263	4	0	0	14	20	0	0	0	3	3	2	0	15	5	10
26062	45210	"Chalkney wood"	51.91361	0.72333	19.7	"AWI"	19.7	-11.9	28	8.2	0	1	21	13	0	0	0	2	2	0	178	0	7	1	0	0	100	27	4	0	0	6	0	0	14	0	0	12	0	0	0	0	0	0	0	0	32	0	1	2	0	127	0	0	0	383	11	0	1	0	13	6	0	0	3	2	1	1	7	9	10
26062	45210	"Chalkney wood"	51.91361	0.72333	22.8	"AWI"	22.8	5.2	42.8	23	1	2	23	12	0	0	1	1	0	0	53	1	2	0	0	0	96	43	6	0	0	2	0	1	12	0	1	0	0	0	0	0	0	0	0	0	20	0	0	5	0	165	0	0	0	483	13	0	2	0	10	0	0	0	2	0	0	0	3	8	2
26062	45210	"Chalkney wood"	51.91361	0.72333	24.4	"AWI"	24.4	9.8	55.6	30.6	0	0	14	26	0	0	1	0	4	0	31	0	5	0	0	0	53	66	1	0	0	4	0	0	8	0	1	0	0	0	0	0	0	0	0	0	19	0	0	10	0	183	0	0	0	501	2	0	1	4	14	1	0	0	1	5	0	0	1	17	5
26062	45210	"Chalkney wood"	51.91361	0.72333	26	"AWI"	26	23	74	45	0	1	27	18	0	0	4	0	18	0	28	1	8	0	0	0	17	58	13	0	0	1	8	2	9	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	190	0	0	11	548	3	0	0	0	26	0	0	1	0	1	0	0	1	13	6
26062	45210	"Chalkney wood"	51.91361	0.72333	27.7	"AWI"	27.7	30.8	114.2	64.7	1	0	39	4	1	0	0	1	6	0	29	0	2	0	0	0	16	68	9	0	0	2	0	1	19	0	1	0	0	0	0	0	0	0	0	0	6	0	0	6	0	196	2	0	0	490	14	0	0	0	39	0	0	1	1	4	0	0	1	7	3
26062	45210	"Chalkney wood"	51.91361	0.72333	29.3	"AWI"	29.3	36.6	159	81.3	0	0	40	3	0	0	0	0	7	0	8	0	3	0	0	0	8	77	10	0	0	0	0	1	14	0	1	14	0	0	0	0	0	0	0	0	11	0	0	1	0	268	0	0	0	482	2	0	0	0	46	2	0	1	1	4	0	0	0	12	0
26062	45210	"Chalkney wood"	51.91361	0.72333	32.5	"AWI"	32.5	68.5	277	151.5	0	3	41	1	0	0	0	1	8	0	12	0	4	0	0	0	2	73	6	0	0	1	0	1	13	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	316	0	0	0	381	4	0	3	0	42	6	0	0	3	1	0	0	1	6	1
26062	45210	"Chalkney wood"	51.91361	0.72333	35.6	"AWI"	35.6	98.6	437.4	223.4	0	1	51	0	0	0	0	0	6	0	3	0	5	0	0	0	2	88	6	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	168	0	0	0	571	2	0	0	0	70	3	0	2	3	3	0	0	3	6	0
26062	45210	"Chalkney wood"	51.91361	0.72333	38.8	"AWI"	38.8	145.8	516	314.6	0	3	29	1	0	0	1	0	6	0	16	0	8	0	0	0	3	57	13	0	0	0	0	2	10	0	2	0	0	0	0	0	0	0	0	0	5	0	0	2	0	129	0	1	0	678	2	0	0	0	69	0	0	0	0	2	0	0	2	9	2
26062	45210	"Chalkney wood"	51.91361	0.72333	42	"AWI"	42	216	593	401	0	2	49	4	0	0	0	1	4	0	5	0	8	0	0	0	1	98	3	0	0	0	0	2	10	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	143	0	0	0	657	4	0	0	0	48	0	0	0	2	6	0	0	1	7	0
26062	45210	"Chalkney wood"	51.91361	0.72333	45.3	"AWI"	45.3	273.7	668.6	493.2	0	3	223	5	0	0	1	1	3	0	10	0	9	0	0	0	2	192	0	1	0	2	0	1	33	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	4	0	0	0	45	4	0	0	1	7	0	0	0	35	1
