"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Melanthiaceae"	"Moraceae"	"Morus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14267	22330	"Didachara"	41.68389	42.49694	0	"AWI"	0	-142	24	-54	35	0	0	12	0	0	0	11	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	30	0	0	0	0	0	85	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	13	0	175	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	2	0	0	2	1	1	0	0
14267	22330	"Didachara"	41.68389	42.49694	10	"AWI"	10	-97	177	13	12	1	0	6	0	0	0	10	0	0	0	12	0	1	0	0	0	0	4	0	0	0	0	0	4	0	0	11	0	0	0	0	0	100	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	136	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	6	2	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	20	"AWI"	20	-48	291	91	5	0	0	9	0	0	0	5	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	5	1	0	21	0	0	0	0	0	89	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	30	0	70	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	6	4	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	30	"AWI"	30	8	393	168	5	0	0	11	0	0	0	8	0	0	0	3	0	0	0	4	0	0	2	0	0	1	0	0	8	0	0	220	0	0	0	0	0	73	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	1	0	0	0	0	0	23	0	45	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	40	"AWI"	40	65	487	247	1	0	0	20	0	0	0	6	0	0	0	12	0	1	0	3	0	0	8	0	0	0	0	0	16	0	0	102	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	2	0	0	0	26	0	61	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	3	0	0	12	6	0	0	1
14267	22330	"Didachara"	41.68389	42.49694	50	"AWI"	50	128	586	334	5	0	0	20	0	0	0	16	0	0	0	6	0	1	0	2	0	0	5	0	0	1	0	0	9	0	0	111	0	0	0	0	0	36	0	0	1	0	0	0	3	0	2	1	13	0	0	0	0	0	0	0	0	0	0	21	0	17	0	0	0	0	0	107	0	0	0	0	0	12	0	0	0	0	0	1	6	1	0	0	0	3	0	0	0	0	0	0	2	8	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	60	"AWI"	60	185	671	412	1	0	0	15	0	0	0	21	0	0	0	3	0	1	0	11	0	0	0	0	0	0	0	0	15	0	0	211	0	0	0	0	0	53	2	0	0	0	0	0	2	0	0	0	28	0	0	0	0	0	0	0	0	0	0	25	0	25	0	0	0	0	0	128	0	0	0	0	0	20	0	0	1	0	0	4	0	5	0	0	0	0	0	0	0	2	0	0	4	17	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	70	"AWI"	70	254	745	493	3	1	0	18	0	0	0	15	0	0	0	10	0	1	0	0	0	0	7	0	0	0	0	0	14	0	0	444	1	0	0	0	0	47	0	0	0	0	0	0	1	0	3	0	6	0	0	2	0	0	0	0	0	0	0	21	0	45	0	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	4	0	0	3	1	0	0	1
14267	22330	"Didachara"	41.68389	42.49694	80	"AWI"	80	341	830	576	4	3	0	18	0	0	0	21	0	0	0	1	0	3	0	12	0	0	7	0	0	0	0	0	8	0	0	296	2	0	0	0	0	19	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	21	0	30	0	0	0	0	0	177	0	0	0	0	0	10	0	0	1	0	0	2	18	0	0	0	0	0	0	0	0	3	0	0	1	21	0	0	0
14267	22330	"Didachara"	41.68389	42.49694	90	"AWI"	90	418	889	654	5	0	0	12	0	0	0	12	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	361	0	0	0	0	0	21	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	9	0	51	0	0	0	0	0	69	0	0	0	1	1	15	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	5	1	0	0
