"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3517	4543	"Zaruckoe"	63.9	36.25	25	"AWI"	25	71	771	345	0	0	4	1	1	0	0	0	0	5	0	1	0	0	0	19	86	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	50	"AWI"	50	345	1234	775	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	15	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	75	"AWI"	75	783	1599	1223	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	9	43	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	100	"AWI"	100	1298	1909	1658	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	48	71	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	125	"AWI"	125	1799	2330	2032	1	0	0	0	1	0	0	0	2	5	0	1	0	0	0	25	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
3517	4543	"Zaruckoe"	63.9	36.25	150	"AWI"	150	2040	2828	2396	2	22	0	0	2	1	0	0	3	7	0	0	0	0	1	70	85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	175	"AWI"	175	2371	3183	2773	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	30	48	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
3517	4543	"Zaruckoe"	63.9	36.25	200	"AWI"	200	2722	3521	3157	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	40	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3517	4543	"Zaruckoe"	63.9	36.25	225	"AWI"	225	3212	3779	3526	3	0	0	0	2	0	0	0	1	3	0	0	0	0	0	31	39	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	250	"AWI"	250	3535	4097	3818	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	66	166	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
3517	4543	"Zaruckoe"	63.9	36.25	275	"AWI"	275	3729	4420	4057	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0	30	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
3517	4543	"Zaruckoe"	63.9	36.25	300	"AWI"	300	3928	4716	4302	2	0	0	0	0	0	0	0	2	4	0	0	0	0	0	35	87	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	325	"AWI"	325	4151	4983	4551	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	63	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3517	4543	"Zaruckoe"	63.9	36.25	350	"AWI"	350	4363	5248	4797	3	0	1	0	1	0	0	0	2	5	0	0	0	0	0	26	42	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3
3517	4543	"Zaruckoe"	63.9	36.25	375	"AWI"	375	4600	5482	5041	2	0	0	0	1	0	0	0	4	3	0	0	0	0	0	23	58	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	4543	"Zaruckoe"	63.9	36.25	400	"AWI"	400	4842	5722	5295	2	0	0	0	1	0	0	0	4	3	19	0	0	0	0	35	100	0	2	0	0	1	1	0	0	0	0	0	0	0	0	5
3517	4543	"Zaruckoe"	63.9	36.25	425	"AWI"	425	5120	5943	5546	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	6	41	0	3	0	0	1	1	0	0	0	0	0	0	0	0	3
3517	4543	"Zaruckoe"	63.9	36.25	450	"AWI"	450	5394	6170	5797	1	0	0	0	0	1	0	0	4	4	0	1	0	0	0	15	66	0	4	0	0	1	1	0	1	0	0	0	0	0	0	3
3517	4543	"Zaruckoe"	63.9	36.25	475	"AWI"	475	5693	6358	6041	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	12	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
3517	4543	"Zaruckoe"	63.9	36.25	500	"AWI"	500	6003	6562	6281	2	0	1	2	1	0	0	0	2	5	0	0	0	0	0	20	85	0	10	1	0	0	0	3	0	0	0	0	0	0	0	1
3517	4543	"Zaruckoe"	63.9	36.25	525	"AWI"	525	6323	6839	6549	0	0	1	0	1	0	0	0	2	3	0	0	0	0	0	12	55	0	6	0	0	1	1	0	0	0	0	0	0	0	0	3
3517	4543	"Zaruckoe"	63.9	36.25	550	"AWI"	550	6546	7223	6854	0	0	0	0	0	1	134	0	2	11	64	0	0	0	0	21	60	0	7	0	0	0	0	0	0	1	0	0	0	0	0	5
3517	4543	"Zaruckoe"	63.9	36.25	575	"AWI"	575	6817	7527	7158	1	0	0	0	2	0	0	0	1	10	0	2	0	0	0	17	94	0	5	0	0	1	0	0	0	0	2	0	0	0	0	4
