"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Chamaerops"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Morus"	"Myrtus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Smilacaceae"	"Solanaceae"	"Sorbus"	"Tamarix"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"	"Ziziphus"
26995	47537	"Sa Curcurica"	40.45547	9.78752	0	"AWI"	0	-133	42	-54	0	0	1	11	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	7	0	0	23	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	4	33	0	2	0	3	0	0	19	0	0	0	0	0	29	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	12	"AWI"	12	-69	395	76	0	0	3	8	0	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	5	16	0	0	2	7	0	0	44	0	0	39	0	0	28	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	24	"AWI"	24	-5	701	209	0	0	3	12	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	1	0	21	0	0	0	1	0	0	4	22	1	1	0	7	0	0	37	0	0	24	0	0	40	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	40	"AWI"	40	75	937	414	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0	0	0	6	37	0	6	0	4	0	0	24	0	1	31	0	0	43	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	56	"AWI"	56	208	1163	683	0	0	5	13	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	8	39	0	3	0	8	0	0	31	0	0	29	0	0	49	79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	72	"AWI"	72	407	1375	908	0	0	11	7	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	9	41	0	1	0	7	0	0	32	0	0	16	0	0	70	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	88	"AWI"	88	620	1562	1140	0	0	9	15	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	1	0	0	1	1	0	12	0	0	0	0	0	0	16	28	0	2	0	4	0	0	29	0	0	33	0	0	59	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	104	"AWI"	104	814	1696	1353	0	0	8	26	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	36	25	0	1	0	4	0	0	15	0	0	0	0	0	52	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	120	"AWI"	120	1028	1810	1536	0	0	10	20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	21	22	0	2	0	4	0	7	13	0	0	34	0	0	62	98	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	136	"AWI"	136	1456	1871	1716	0	0	5	16	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	57	24	0	5	0	6	0	0	20	0	0	0	0	0	43	60	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	152	"AWI"	152	1750	1981	1871	0	0	17	24	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	29	7	0	6	0	1	0	0	16	0	0	0	0	0	46	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	168	"AWI"	168	1833	2186	1999	0	0	10	11	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	32	10	0	4	0	1	0	0	25	0	0	0	0	0	39	68	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	184	"AWI"	184	1907	2349	2103	0	0	15	5	0	0	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	0	0	0	0	17	9	0	5	0	3	0	0	21	0	0	25	0	0	42	65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	220	"AWI"	220	2099	2603	2361	0	10	0	6	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	16	11	0	6	0	8	0	0	13	0	0	0	0	0	41	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	232	"AWI"	232	2221	2646	2447	0	0	6	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	6	0	5	0	2	0	0	22	0	0	25	0	0	48	94	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
26995	47537	"Sa Curcurica"	40.45547	9.78752	264	"AWI"	264	2526	2793	2707	0	0	2	5	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	13	0	5	0	4	0	0	12	0	0	0	0	0	29	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
