"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14516	22751	"Straldzha mire"	42.629484	26.778668	2.5	"AWI"	2.5	2934	4502	3932	0	0	0	68	0	0	0	9	0	0	0	0	5	0	0	0	0	1	2	0	0	0	15	0	0	79	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	4	0	0	84	0	0	0	0	0	0	0	0	55	0	0	0	0	0	6	0	0	0	0	0	1	0	1	2	3	0	0
14516	22751	"Straldzha mire"	42.629484	26.778668	7.5	"AWI"	7.5	3595.5	4592	4172.5	4	1	0	93	0	0	0	14	0	0	1	0	0	0	0	0	0	1	0	0	0	1	8	0	0	117	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	0	12	74	0	0	0	0	0	0	0	0	70	0	0	0	0	1	2	0	0	0	0	0	1	1	6	0	4	0	0
14516	22751	"Straldzha mire"	42.629484	26.778668	12.5	"AWI"	12.5	4183.5	4727.5	4457	1	1	0	62	0	0	0	10	0	0	0	0	5	0	0	0	0	1	0	0	0	1	22	0	0	85	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	48	0	0	0	0	0	0	0	0	125	0	0	0	0	0	2	0	0	0	0	1	2	0	3	0	0	0	0
14516	22751	"Straldzha mire"	42.629484	26.778668	17.5	"AWI"	17.5	4858.5	5333	5100.5	1	0	7	91	0	0	0	16	0	0	2	0	8	0	0	0	0	0	2	0	0	0	26	0	0	125	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	62	0	0	0	0	0	0	0	0	171	0	0	0	0	0	3	1	0	0	0	0	0	0	7	2	2	0	0
14516	22751	"Straldzha mire"	42.629484	26.778668	22.5	"AWI"	22.5	5253.5	6222.5	5773.5	1	1	5	38	0	0	0	14	0	0	1	0	0	0	0	0	0	0	1	0	0	0	78	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	293	0	0	0	0	0	3	0	0	0	0	0	1	0	10	32	1	0	1
14516	22751	"Straldzha mire"	42.629484	26.778668	27.5	"AWI"	27.5	6235.5	6486.5	6353.5	1	0	7	13	0	0	1	18	0	0	6	0	6	0	0	0	0	1	0	0	1	0	60	0	1	55	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	8	50	0	0	0	0	0	0	0	0	343	0	0	0	0	7	1	0	0	0	0	0	2	2	9	32	0	0	1
14516	22751	"Straldzha mire"	42.629484	26.778668	32.5	"AWI"	32.5	6482.5	7442.5	6915	0	1	6	18	0	0	0	40	0	0	1	0	6	0	0	0	0	3	0	0	0	0	93	0	2	66	0	0	0	0	0	1	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	579	0	0	0	0	5	3	1	0	0	0	0	0	5	13	34	6	0	0
14516	22751	"Straldzha mire"	42.629484	26.778668	37.5	"AWI"	37.5	6713	8266	7331.5	0	0	6	20	0	0	0	29	0	0	4	0	6	0	0	0	0	0	0	0	0	0	66	0	1	46	0	0	0	0	0	0	2	0	0	1	0	0	5	0	0	0	0	1	0	0	0	7	49	1	0	0	0	0	0	0	0	323	0	0	0	0	8	1	0	0	0	0	0	1	5	14	31	0	0	1
14516	22751	"Straldzha mire"	42.629484	26.778668	42.5	"AWI"	42.5	6929	9158.5	7725	0	0	9	26	0	0	0	24	0	0	3	0	4	0	0	0	0	0	0	0	0	0	50	0	0	30	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	6	59	1	0	0	0	0	0	0	1	284	0	0	0	0	13	0	0	0	0	0	0	1	2	10	23	1	0	1
14516	22751	"Straldzha mire"	42.629484	26.778668	47.5	"AWI"	47.5	7419	9294.5	8363.5	0	0	11	18	0	0	0	46	0	0	4	0	0	0	0	0	0	3	0	0	0	0	72	0	0	61	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	71	1	0	0	0	0	0	0	0	341	0	0	0	0	5	2	1	1	0	0	0	3	6	7	31	6	0	0
