"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
15889	24454	"Font Salesse"	43.60167	2.97889	15	"AWI"	15	-116	176	-15	0	4.16666666666667	0	0.378787878787879	0.378787878787879	0	2.27272727272727	1.13636363636364	0.378787878787879	0	0	0.378787878787879	0	4.54545454545455	0	1.13636363636364	3.03030303030303	0	0	3.78787878787879	0	0	0	0	0	0.757575757575758	4.16666666666667	2.27272727272727	48.1060606060606	22.7272727272727	0	0	0	0	0.378787878787879	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	60	"AWI"	60	-23	695	149	3.81471389645777	3.81471389645777	0	0	0	0	8.17438692098093	1.63487738419619	0.272479564032698	0	0	1.08991825613079	0	0.272479564032698	0	2.99727520435967	9.53678474114441	0	0	11.9891008174387	0	0	0	0	0	0.817438692098093	2.72479564032698	0	27.5204359673025	22.8882833787466	0	0.272479564032698	0	0.272479564032698	0.817438692098093	0.544959128065395	0.544959128065395
15889	24454	"Font Salesse"	43.60167	2.97889	58	"AWI"	58	-25	669	142	1.41176470588235	2.35294117647059	0	0.235294117647059	1.64705882352941	0	1.88235294117647	0.941176470588235	0	0	0	0	0	0	0	1.41176470588235	4.47058823529412	0	0	3.05882352941176	0.470588235294118	0	0	0	0	1.41176470588235	2.11764705882353	1.41176470588235	65.8823529411765	10.3529411764706	0	0.235294117647059	0.235294117647059	0	0.235294117647059	0	0.235294117647059
15889	24454	"Font Salesse"	43.60167	2.97889	10	"AWI"	10	-127	105	-31	2.17391304347826	17.3913043478261	0	0	0	0	2.17391304347826	4.34782608695652	2.17391304347826	0	0	0	0	4.34782608695652	0	4.34782608695652	2.17391304347826	0	0	2.17391304347826	0	0	0	0	0	2.17391304347826	19.5652173913043	2.17391304347826	0	23.9130434782609	4.34782608695652	0	2.17391304347826	0	0	4.34782608695652	0
15889	24454	"Font Salesse"	43.60167	2.97889	30	"AWI"	30	-94	389	32	2.8436018957346	6.63507109004739	0	0.4739336492891	0	0	10.4265402843602	3.3175355450237	0.947867298578199	0	0	0	0.4739336492891	0	0	7.58293838862559	7.58293838862559	0	0	5.21327014218009	0	0	0.4739336492891	0	0	0.4739336492891	3.3175355450237	4.2654028436019	0	44.0758293838863	0	0.4739336492891	0	0.4739336492891	0.4739336492891	0.4739336492891	0
15889	24454	"Font Salesse"	43.60167	2.97889	25	"AWI"	25	-101	317	16	0	2.27920227920228	0	0.284900284900285	0	0	2.84900284900285	2.84900284900285	1.42450142450142	0	0	0	0.284900284900285	1.70940170940171	0	0.854700854700855	4.84330484330484	0	0	2.84900284900285	0	0	0	0	0	0	0	3.98860398860399	58.6894586894587	15.954415954416	0	0.56980056980057	0.284900284900285	0	0	0	0.284900284900285
15889	24454	"Font Salesse"	43.60167	2.97889	20	"AWI"	20	-108	249	0	1.59235668789809	5.73248407643312	0	0.955414012738854	3.5031847133758	0	1.59235668789809	0	0.636942675159236	0	0	0	0.318471337579618	1.91082802547771	0	1.59235668789809	5.09554140127389	0	0	4.77707006369427	0	0	0	0	0	0.636942675159236	2.86624203821656	5.09554140127389	39.4904458598726	21.9745222929936	0	0.636942675159236	0.955414012738854	0.636942675159236	0	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	63	"AWI"	63	258	873	407	2.29591836734694	2.29591836734694	0	0	0	0	9.94897959183673	1.53061224489796	0.255102040816327	0	0	0.510204081632653	0	0.510204081632653	0	1.78571428571429	3.57142857142857	0	0	10.4591836734694	0	0	0	0	0	2.04081632653061	1.53061224489796	2.04081632653061	22.1938775510204	34.6938775510204	0	0.255102040816327	0	0.255102040816327	0.76530612244898	3.06122448979592	0
15889	24454	"Font Salesse"	43.60167	2.97889	50	"AWI"	50	-37	580	112	2.61780104712042	3.92670157068063	0	0.523560209424084	2.87958115183246	0	7.06806282722513	1.04712041884817	0.261780104712042	0.261780104712042	0	0	0.261780104712042	0	0	2.61780104712042	5.49738219895288	0	0	5.49738219895288	0	0	0	0	0	0	0.523560209424084	1.57068062827225	42.6701570680628	18.848167539267	0	0.261780104712042	1.30890052356021	0	1.57068062827225	0.261780104712042	0.523560209424084
15889	24454	"Font Salesse"	43.60167	2.97889	45	"AWI"	45	-47	521	91	4.56730769230769	0.961538461538462	0	0.480769230769231	1.20192307692308	0	3.84615384615385	0.961538461538462	0	0.240384615384615	0	0.480769230769231	1.20192307692308	0.240384615384615	0	2.88461538461538	8.89423076923077	0	0	9.61538461538462	0.480769230769231	0	0	0	0	0.480769230769231	2.64423076923077	0.961538461538462	42.5480769230769	15.625	0	0	0	0	0.721153846153846	0.480769230769231	0.480769230769231
15889	24454	"Font Salesse"	43.60167	2.97889	55	"AWI"	55	-28	636	132	1.62412993039443	2.78422273781903	0	0	0.464037122969838	0	3.48027842227378	0.232018561484919	0	0	0	0.232018561484919	0	0.232018561484919	0.232018561484919	2.78422273781903	1.16009280742459	27.6102088167053	0	5.10440835266821	0.232018561484919	0	0	0.232018561484919	0	0.464037122969838	1.85614849187935	0.696055684454756	33.8747099767981	16.2412993039443	0	0.464037122969838	0	0	0	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	5	"AWI"	5	-142	42	-48	0.911161731207289	2.27790432801822	0	0	0.911161731207289	0	0.911161731207289	0	0	0	0	0	0	1.36674259681093	0.227790432801822	0.911161731207289	1.13895216400911	38.7243735763098	0	1.59453302961276	0	0	0.227790432801822	0	0	0.227790432801822	4.32801822323462	2.27790432801822	36.6742596810934	4.1002277904328	0.683371298405467	0.227790432801822	1.36674259681093	0	0.683371298405467	0	0.227790432801822
