"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
2992	3896	"Babozero"	66.375	37.51667	15	"AWI"	15	69	1217	454	0.284900284900285	0.56980056980057	2.84900284900285	69.8005698005698	1.13960113960114	0	5.98290598290598	1.99430199430199	1.99430199430199	0	1.42450142450142	6.55270655270655	5.12820512820513	0.284900284900285	0	0.56980056980057	0	0.284900284900285	1.13960113960114	0	0
2992	3896	"Babozero"	66.375	37.51667	40	"AWI"	40	582	2387	1376	2.80112044817927	0.280112044817927	1.12044817927171	31.0924369747899	0	0.560224089635854	5.04201680672269	0.840336134453782	0.840336134453782	0	14.0056022408964	39.7759103641457	2.52100840336134	0	0.280112044817927	0.560224089635854	0.280112044817927	0	0	0	0
2992	3896	"Babozero"	66.375	37.51667	65	"AWI"	65	1433	3230	2312	0.546448087431694	0.819672131147541	0.546448087431694	26.775956284153	0	0	4.0983606557377	1.09289617486339	0.546448087431694	0	20.7650273224044	42.6229508196721	1.63934426229508	0	0	0.546448087431694	0	0	0	0	0
2992	3896	"Babozero"	66.375	37.51667	90	"AWI"	90	2537	4118	3202	6.04395604395604	0	1.37362637362637	23.0769230769231	0	0	4.3956043956044	1.0989010989011	0.824175824175824	0.274725274725275	17.5824175824176	39.8351648351648	4.3956043956044	0	0.274725274725275	0.549450549450549	0	0	0	0	0.274725274725275
2992	3896	"Babozero"	66.375	37.51667	115	"AWI"	115	3690	6236	4702	3.26975476839237	0.544959128065395	2.17983651226158	19.3460490463215	0.272479564032698	0	1.90735694822888	0.544959128065395	0	0	18.2561307901907	50.6811989100817	1.90735694822888	0.272479564032698	0.272479564032698	0.544959128065395	0	0	0	0	0
2992	3896	"Babozero"	66.375	37.51667	140	"AWI"	140	4895	8373	6536	3.1331592689295	0.261096605744125	0	24.0208877284595	0	0	3.91644908616188	0.261096605744125	0	0	9.39947780678851	53.2637075718016	4.69973890339426	0	0	1.0443864229765	0	0	0	0	0
2992	3896	"Babozero"	66.375	37.51667	169	"AWI"	169	6984	10094	8682	5.33333333333333	0	0.266666666666667	30.1333333333333	0.266666666666667	0	1.86666666666667	0	0.8	0	6.13333333333333	49.6	5.06666666666667	0	0	0	0	0	0	0.266666666666667	0.266666666666667
2992	3896	"Babozero"	66.375	37.51667	195	"AWI"	195	9387	11291	10457	6.46067415730337	2.80898876404494	1.96629213483146	51.4044943820225	0	0	1.68539325842697	0	1.12359550561798	0	0.561797752808989	30.8988764044944	2.24719101123596	0	0	0	0	0	0.561797752808989	0.280898876404494	0
2992	3896	"Babozero"	66.375	37.51667	220	"AWI"	220	10345	13065	11641	5.71428571428571	0	2.85714285714286	66.6666666666667	2.38095238095238	0	4.76190476190476	0.476190476190476	1.42857142857143	0	0.952380952380952	7.14285714285714	4.76190476190476	0	0	0	0.476190476190476	0	2.38095238095238	0	0
2992	3896	"Babozero"	66.375	37.51667	245	"AWI"	245	11440	14328	12816	4.34782608695652	4.34782608695652	1.73913043478261	64.3478260869565	0	0	3.47826086956522	0	1.73913043478261	0	1.73913043478261	8.69565217391304	6.95652173913043	0	0	0	0	0	2.60869565217391	0	0
2992	3896	"Babozero"	66.375	37.51667	270	"AWI"	270	12599	15534	14004	0	0	0	0	0	0	0	16.6666666666667	0	0	33.3333333333333	33.3333333333333	16.6666666666667	0	0	0	0	0	0	0	0
