"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26212	45704	"Øygardstjønn"	59.625946	7.986352	560	"AWI"	560	-131	36	-47	0	14	0	0	2	0	0	0	0	0	0	0	0	2	0	8	0	0	1	0	0	0	0	0	7	0	28	0	2	0	39	272	0	0	0	3	0	0	0	0	5	0	0	0	0	1	5	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	568	"AWI"	568	-45	581	149	0	19	0	0	0	0	0	111	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	8	0	41	1	5	0	29	225	0	47	0	1	0	4	0	0	2	0	0	0	0	2	4	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	576	"AWI"	576	62	907	383	0	18	0	0	1	0	0	0	0	0	0	0	0	2	0	16	0	0	0	1	0	0	0	0	6	0	61	3	4	0	11	276	0	0	0	4	0	0	0	0	1	0	0	1	0	1	4	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	584	"AWI"	584	214	1168	641	0	26	1	0	4	0	0	243	0	0	0	0	0	3	0	15	0	0	0	0	0	1	0	0	3	0	32	1	2	0	6	306	0	0	0	6	0	0	0	0	2	0	2	1	0	2	4	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	592	"AWI"	592	406	1429	906	0	12	1	0	2	0	0	268	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	9	0	53	1	3	0	4	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	2	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	600	"AWI"	600	584	1625	1182	0	28	0	0	4	0	0	0	0	2	0	0	1	9	0	17	0	0	0	1	0	0	0	0	7	0	47	0	1	0	5	280	0	0	1	6	0	0	1	0	5	0	1	0	0	2	1	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	608	"AWI"	608	874	1741	1405	0	20	1	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0	2	0	1	0	0	6	0	27	0	5	0	3	259	0	0	0	11	0	0	0	0	0	0	1	0	0	0	4	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	616	"AWI"	616	1361	1860	1616	0	32	0	0	0	0	0	238	0	0	0	0	0	3	0	14	0	0	0	2	0	2	0	0	3	0	37	0	2	0	2	342	0	0	0	7	0	0	0	0	3	0	1	0	0	1	1	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	624	"AWI"	624	1603	2139	1840	0	44	0	0	0	0	0	0	0	0	0	1	0	9	0	12	0	0	0	0	0	3	0	0	1	0	12	0	3	3	0	330	0	0	0	10	0	0	1	0	2	0	1	0	0	1	6	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	632	"AWI"	632	1720	2639	2034	0	29	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	0	1	0	0	1	0	10	0	1	0	0	314	0	0	0	9	0	0	0	0	2	0	1	0	0	1	3	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	640	"AWI"	640	1827	2920	2258	1	30	0	0	0	0	0	151	0	0	0	0	0	7	0	13	0	0	0	0	0	0	0	0	1	0	10	0	1	1	1	352	0	0	1	4	0	0	0	0	4	0	0	0	0	2	3	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	648	"AWI"	648	1987	3113	2466	1	24	0	0	0	0	0	0	0	0	0	0	0	5	0	17	0	0	0	0	0	0	0	0	6	0	11	0	3	0	0	325	0	0	0	4	0	0	0	0	1	0	0	1	0	2	1	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	656	"AWI"	656	2162	3273	2689	0	31	0	0	1	0	0	162	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	13	0	6	0	0	354	0	0	1	6	0	0	0	0	2	0	1	0	0	2	1	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	664	"AWI"	664	2361	3433	2917	0	20	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	4	0	4	0	2	0	0	0	0	0	2	4	0	0	0	0	4	0	1	0	1	2	2	0
26212	45704	"Øygardstjønn"	59.625946	7.986352	672	"AWI"	672	2574	3606	3142	0	27	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	3	0	13	0	1	0	0	269	0	0	1	5	0	0	0	0	3	0	1	0	0	0	1	0
