"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3319	4311	"Lac Noir"	45.45194	2.62278	10	"AWI"	10	-61	162	65	81	0	13	1	2	0	0	0	16	0	0	0	0	1	5	0	0	8	0	3	0	0	0	1	0	33	5	0	0	3	0	0	0	3	0	3	0	16	5	73	0	0	0	27	0	0	0	0	0	10	2	0	0	0	0	0	0	2	1	5	0	2
3319	4311	"Lac Noir"	45.45194	2.62278	12.5	"AWI"	12.5	-54	201	90.5	40	1	11	0	2	0	0	0	22	1	0	0	0	0	6	0	0	7	0	0	0	0	19	0	0	53	1	0	0	2	0	0	0	5	0	1	0	6	12	76	0	0	0	24	1	0	0	0	1	8	1	0	0	0	0	0	0	0	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	14	"AWI"	14	-50	224	106	35	0	10	0	0	0	0	0	15	0	0	2	0	0	3	0	0	10	0	8	0	0	19	0	1	82	0	0	1	1	1	0	0	1	0	0	0	10	13	55	0	0	0	24	0	1	0	0	0	12	1	0	0	0	0	0	0	1	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	15	"AWI"	15	-48	241	116	25	0	22	0	0	0	0	10	14	0	0	3	0	0	4	0	0	8	0	5	0	0	17	0	1	80	1	0	0	1	1	1	0	2	2	1	0	6	8	65	0	0	0	31	0	0	0	0	2	16	1	0	0	0	1	0	0	0	2	0	0	1
3319	4311	"Lac Noir"	45.45194	2.62278	17.5	"AWI"	17.5	-42	283	142	29	0	15	0	2	0	1	0	16	1	0	2	1	0	9	0	0	10	0	8	0	0	27	1	0	94	1	0	0	2	0	0	0	2	1	0	0	2	14	54	0	0	1	52	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	20	"AWI"	20	-36	328	167	24	0	15	1	0	0	1	0	16	0	0	0	1	0	9	0	0	7	1	8	0	0	37	0	2	87	1	0	0	2	0	0	0	1	0	2	0	2	5	60	0	0	0	37	0	2	0	0	0	13	2	0	1	0	0	0	0	0	0	1	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	22.5	"AWI"	22.5	-32	372.5	192.5	41	0	8	1	1	0	2	0	7	0	1	0	0	0	2	0	0	15	0	4	0	0	26	0	0	115	1	0	1	0	0	0	0	2	1	1	0	1	6	58	0	4	1	44	1	3	0	0	1	15	1	0	0	0	0	0	0	0	0	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	25	"AWI"	25	-27	417	219	11	0	8	0	1	0	0	4	8	0	2	0	1	0	6	0	0	14	0	11	0	0	17	1	0	179	0	0	0	1	0	0	0	1	1	3	0	7	5	39	0	0	0	34	0	1	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	1
3319	4311	"Lac Noir"	45.45194	2.62278	27.5	"AWI"	27.5	-22.5	461.5	245	0	1	12	1	1	0	2	0	16	0	1	0	1	0	6	0	0	12	1	8	0	0	11	1	0	122	2	0	0	2	0	0	0	1	0	2	0	5	7	40	0	0	0	40	0	2	0	0	1	7	0	0	0	0	0	1	0	0	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	30	"AWI"	30	-1	484	266	11	0	20	1	1	0	1	0	3	1	1	0	0	0	5	0	0	13	0	12	0	0	22	1	0	115	1	0	1	2	2	0	1	2	1	3	0	4	7	40	0	0	0	39	0	0	0	0	0	7	1	0	0	0	0	0	0	1	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	32.5	"AWI"	32.5	19.5	496.5	287.5	7	1	19	1	1	0	1	3	15	0	0	0	1	0	1	0	0	11	0	17	0	0	55	0	0	94	0	0	0	2	0	0	0	1	0	6	0	3	6	32	0	0	0	38	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	35	"AWI"	35	41	509	308	6	0	8	0	1	0	1	0	11	0	0	0	0	1	1	0	0	9	0	5	0	0	123	0	1	72	1	0	0	1	0	0	0	1	1	1	0	2	2	0	0	0	0	38	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	37.5	"AWI"	37.5	58	525	330	7	0	13	0	0	0	0	0	16	0	0	0	0	0	7	0	0	18	0	29	0	0	0	0	0	80	1	0	0	1	0	0	0	0	0	1	0	3	3	14	0	0	1	55	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	40	"AWI"	40	76	543	351	6	0	19	0	0	0	0	0	31	0	0	0	0	0	3	0	0	11	0	32	0	0	21	0	1	97	0	0	0	1	2	0	0	0	0	4	0	5	2	35	0	0	2	58	2	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	42.5	"AWI"	42.5	96.5	560.5	372	8	0	16	1	2	0	0	0	29	0	0	0	0	0	1	0	0	19	0	38	0	0	16	0	0	44	1	0	0	0	0	0	0	0	1	3	0	7	11	49	0	0	0	66	2	1	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0	1
3319	4311	"Lac Noir"	45.45194	2.62278	45	"AWI"	45	110	578	393	12	0	32	1	2	0	0	0	50	1	1	0	0	0	3	0	0	22	0	16	0	0	23	0	0	63	1	0	0	1	2	0	0	0	0	2	0	4	6	38	0	0	0	76	0	1	0	0	0	4	0	2	0	0	2	0	0	0	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	47.5	"AWI"	47.5	126.5	602	415	7	0	15	0	0	0	0	0	45	0	0	1	0	0	3	0	0	11	0	11	0	0	43	0	0	60	3	0	0	1	1	0	0	1	1	0	0	5	5	24	0	0	0	50	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	49	"AWI"	49	134	617	428	4	0	24	0	1	0	1	0	39	1	0	0	0	0	1	0	0	23	0	10	0	0	69	0	1	65	2	0	0	2	0	0	0	0	1	0	0	3	5	45	0	0	1	63	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	50.5	"AWI"	50.5	140.5	630.5	440.5	4	0	22	1	1	0	1	0	51	0	0	0	0	0	1	0	0	20	0	18	0	0	21	0	0	68	2	0	0	1	0	0	0	1	0	1	0	3	6	0	0	0	1	57	0	1	0	0	2	3	0	1	0	0	0	0	0	0	1	1	0	0
3319	4311	"Lac Noir"	45.45194	2.62278	52.5	"AWI"	52.5	150.5	651.5	458.5	1	0	32	0	0	0	3	0	52	0	0	0	1	0	5	0	0	23	0	20	0	0	24	1	1	43	0	0	0	1	0	0	0	0	0	2	0	3	0	62	0	0	0	55	0	4	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0
