"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3113	4053	"Fougères"	48.51667	-0.83333	4	"AWI"	4	-119	31	-36	1	91	1	0	1	1	0	2	0	0	0	1	0	1	0	0	0	31	0	0	0	0	0	1	2	1	3	18	0	220	0	0	0	1	0	0	0	1
3113	4053	"Fougères"	48.51667	-0.83333	7	"AWI"	7	-109	49	-24	0	224	0	6	5	0	0	2	0	0	0	1	0	4	3	2	0	47	0	0	0	0	0	0	1	2	4	47	0	120	0	0	2	0	3	0	0	1
3113	4053	"Fougères"	48.51667	-0.83333	13	"AWI"	13	-95	98	-2	0	355	0	0	0	1	0	1	0	0	0	0	0	1	9	1	0	66	0	0	0	0	0	0	0	0	2	27	0	23	0	0	1	0	0	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	16	"AWI"	16	-86	117	9	0	298	0	2	2	3	0	2	0	0	0	2	0	5	10	7	0	95	0	3	0	0	0	0	0	0	2	42	0	25	1	0	0	1	0	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	18	"AWI"	18	-76	121	17	0	354	0	0	2	2	0	1	0	0	1	1	0	5	1	1	0	63	0	0	0	0	0	0	1	1	2	24	0	12	0	0	2	1	0	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	20	"AWI"	20	-69	127	26	0	507	0	0	1	0	0	0	0	0	0	1	0	4	0	1	0	48	0	1	1	0	0	0	0	0	1	15	0	9	0	0	0	1	0	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	22	"AWI"	22	-62	135	35	0	154	0	0	1	0	0	0	0	0	0	0	0	7	5	10	0	218	0	1	0	0	0	0	0	0	5	41	0	17	0	0	0	0	1	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	24	"AWI"	24	-56	143	43	0	274	0	1	0	0	0	2	0	0	0	2	0	5	4	3	0	52	0	2	0	0	0	0	0	0	0	27	0	18	0	0	0	0	1	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	26	"AWI"	26	-50	152	51	0	115	0	0	1	1	0	0	0	0	0	1	0	6	7	6	0	60	0	2	0	0	0	0	0	0	12	69	0	26	0	0	2	2	1	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	28	"AWI"	28	-46	163	60	0	94	0	0	2	0	0	1	0	0	0	0	0	4	10	4	0	68	0	2	0	0	0	0	0	1	11	87	0	35	0	1	0	3	3	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	30	"AWI"	30	-43	176	68	0	186	0	0	2	0	0	1	0	0	0	0	2	8	9	4	0	150	0	2	0	1	0	0	0	0	11	47	0	19	0	3	0	5	0	0	0	3
3113	4053	"Fougères"	48.51667	-0.83333	32	"AWI"	32	-33	181	76	0	70	0	0	0	0	0	1	0	0	0	1	0	6	17	5	0	62	0	1	0	0	0	0	0	0	9	47	0	12	2	1	1	14	1	0	0	2
3113	4053	"Fougères"	48.51667	-0.83333	34	"AWI"	34	-25	185	85	0	413	1	0	4	0	0	0	0	0	0	1	0	5	6	2	0	41	0	1	0	0	0	0	0	0	13	92	0	18	1	0	0	13	8	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	38	"AWI"	38	-10	197	103	0	457	0	2	2	0	0	1	0	0	0	0	0	5	6	1	0	51	0	2	0	0	0	0	0	2	5	21	0	13	0	0	0	2	3	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	40	"AWI"	40	-5	204	112	0	405	0	2	3	0	0	1	1	0	0	1	0	4	4	2	0	37	0	2	0	0	1	0	0	0	2	16	0	14	1	1	0	2	2	0	2	0
3113	4053	"Fougères"	48.51667	-0.83333	42	"AWI"	42	0	213	120	0	245	1	0	1	0	0	2	0	0	0	1	0	1	9	3	0	57	0	3	0	0	0	1	0	0	5	35	0	17	0	0	0	2	0	1	0	0
3113	4053	"Fougères"	48.51667	-0.83333	45	"AWI"	45	8	227	132	0	269	0	0	0	0	0	0	0	0	0	0	0	2	5	4	0	69	0	3	0	0	0	0	0	0	1	44	0	19	0	1	0	1	1	0	0	0
3113	4053	"Fougères"	48.51667	-0.83333	48	"AWI"	48	28	234	145	0	16	0	0	0	0	0	1	0	0	0	0	0	7	4	5	0	36	0	0	0	0	0	0	0	2	3	50	0	43	3	0	0	0	0	0	1	1
