"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24247	42687	"Herrenwieser See"	48.668262	8.295302	0	"AWI"	0	-140	20	-68	0	1	0	75	2	0	0	0	5	0	117	0	3	0	0	7	0	0	7	0	58	10	1	0	9	0	8	0	59	0	20	0	0	0	0	0	16	3	1	0	1	0	0	25	0	359	0	156	0	5	0	0	62	0	0	0	1	16	12	0	0	0	0	0	4	0	7	4	37	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	1	"AWI"	1	-107	71	-25	0	0	1	104	3	0	0	0	2	0	121	1	4	0	0	0	0	0	2	0	77	11	0	0	25	0	3	0	71	0	29	0	0	0	1	0	37	1	3	0	1	0	0	26	0	248	0	0	0	1	1	0	70	0	0	0	2	27	4	0	0	0	0	0	0	0	6	6	19	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	2	"AWI"	2	-86	159	16	0	2	0	81	3	0	0	0	4	0	155	0	1	2	0	4	0	0	4	0	86	19	1	0	16	1	5	0	86	0	20	1	0	0	0	0	29	0	0	0	0	1	0	28	0	218	0	231	0	0	0	0	97	0	0	0	3	0	11	0	0	0	1	0	0	1	3	5	11	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	3	"AWI"	3	-60	221	58	0	0	0	83	4	0	0	0	1	0	116	0	2	2	0	17	0	0	6	0	63	15	0	0	13	0	2	0	80	0	12	1	0	0	0	1	25	2	2	0	2	0	0	30	0	239	0	0	0	1	0	1	120	0	0	0	2	0	10	0	0	0	0	0	0	0	5	3	2	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	4	"AWI"	4	-31	254	110	0	2	0	104	3	0	0	0	3	0	184	0	3	0	0	43	0	0	2	0	182	15	0	0	18	0	1	0	82	0	8	0	0	0	0	0	25	2	2	0	1	0	0	17	0	124	0	0	0	0	0	0	96	0	0	0	0	0	11	0	0	0	0	1	1	0	12	7	1	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	5	"AWI"	5	-14	324	156	0	1	0	70	0	0	0	0	3	0	143	0	5	0	0	102	0	0	5	0	51	13	0	0	33	0	0	0	87	0	5	0	0	0	1	0	28	5	1	0	3	0	0	19	0	242	0	0	0	0	0	0	102	0	0	0	1	0	12	0	0	0	0	0	0	0	5	1	3	0	0
24247	42687	"Herrenwieser See"	48.668262	8.295302	6	"AWI"	6	43	342	207	0	1	0	76	1	0	0	0	2	0	136	0	2	1	0	0	0	0	1	0	53	23	0	0	21	0	0	0	79	1	5	0	0	0	0	0	38	3	2	0	0	0	0	32	0	193	0	0	0	0	0	0	136	0	1	0	5	0	12	0	0	0	0	0	1	0	2	3	1	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	7	"AWI"	7	84	370	256	0	0	0	58	1	0	0	0	3	0	123	0	0	1	0	153	0	0	4	0	37	13	0	0	17	0	0	0	87	0	2	0	0	0	0	0	11	5	5	0	0	0	0	28	0	202	0	0	0	0	0	1	122	0	0	0	1	0	12	0	0	0	0	0	0	0	2	7	4	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	8	"AWI"	8	150	401	298	0	2	0	69	1	1	0	1	3	0	162	0	1	0	2	0	0	0	3	0	54	22	0	0	27	0	2	0	98	0	5	1	0	0	0	0	20	12	1	0	1	0	0	23	0	212	0	0	0	1	1	1	158	0	0	0	2	0	18	0	0	0	1	0	2	0	1	5	6	0	1
24247	42687	"Herrenwieser See"	48.668262	8.295302	9	"AWI"	9	258	413	336	0	1	0	71	2	0	0	0	2	0	142	0	1	0	0	98	0	0	4	0	56	23	0	0	35	0	0	0	107	0	6	0	0	0	0	1	20	12	3	0	0	0	0	23	54	192	0	0	0	2	0	1	152	0	0	0	1	0	18	0	0	0	0	0	0	0	3	5	6	0	1
