"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26153	45406	"Niinsaare"	59.24806	27.54083	2	"AWI"	2	-105	73	-23	0	8.08080808080808	0	0	0.202020202020202	0	23.8383838383838	0	0.202020202020202	0	3.23232323232323	0	0	64.4444444444444	0	0	0	0	0	0	0	0
26153	45406	"Niinsaare"	59.24806	27.54083	5	"AWI"	5	-89	144	8	0	10.3715170278638	0.154798761609907	0	0.464396284829721	0	25.3869969040248	0	0.154798761609907	0	24.7678018575851	0	0	38.5448916408669	0	0	0	0.154798761609907	0	0	0	0
26153	45406	"Niinsaare"	59.24806	27.54083	9	"AWI"	9	-58	211	54	0	12.7659574468085	0.327332242225859	0	0.818330605564648	0	37.315875613748	0	0.16366612111293	0	20.949263502455	0	0.16366612111293	26.5139116202946	0	0.16366612111293	0	0.327332242225859	0	0.16366612111293	0	0.327332242225859
26153	45406	"Niinsaare"	59.24806	27.54083	13	"AWI"	13	-25	279	102	0	5.47368421052632	0.210526315789474	0	0.210526315789474	0	27.3684210526316	0	0.210526315789474	0	18.9473684210526	0	0.210526315789474	43.3684210526316	3.78947368421053	0	0	0	0	0	0	0.210526315789474
26153	45406	"Niinsaare"	59.24806	27.54083	17	"AWI"	17	10	339	148	0	16.2878787878788	0	0.189393939393939	0.189393939393939	0	28.5984848484849	0.189393939393939	0	0	11.7424242424242	0	0	42.0454545454545	0	0	0	0.378787878787879	0	0.189393939393939	0	0.189393939393939
26153	45406	"Niinsaare"	59.24806	27.54083	22	"AWI"	22	54	415	207	0	8.7037037037037	0	0	0.925925925925926	0.555555555555556	25.9259259259259	0.185185185185185	0	0	12.2222222222222	0.185185185185185	0.37037037037037	45.9259259259259	3.14814814814815	0.185185185185185	0	0.37037037037037	0	0.555555555555556	0.185185185185185	0.555555555555556
26153	45406	"Niinsaare"	59.24806	27.54083	26	"AWI"	26	88	470	254	0	13.3858267716535	0.196850393700787	0.196850393700787	0.590551181102362	0	25.7874015748031	0	1.18110236220472	0	8.26771653543307	0	0.393700787401575	46.4566929133858	2.36220472440945	0.196850393700787	0	0.196850393700787	0	0.393700787401575	0.196850393700787	0.196850393700787
26153	45406	"Niinsaare"	59.24806	27.54083	31	"AWI"	31	133	541	314	0	14.2574257425743	0	0	0.198019801980198	0	26.7326732673267	0	0	0	10.6930693069307	0	0	46.1386138613861	0.792079207920792	0.198019801980198	0	0	0.396039603960396	0	0	0.594059405940594
26153	45406	"Niinsaare"	59.24806	27.54083	38	"AWI"	38	203	630	400	0	15.7786885245902	0	0	0	0	40.5737704918033	0.204918032786885	0	0	3.89344262295082	0	0	38.5245901639344	0	0.204918032786885	0	0	0	0.204918032786885	0.409836065573771	0.204918032786885
26153	45406	"Niinsaare"	59.24806	27.54083	43	"AWI"	43	256	694	464	0	16.2698412698413	0	0	0	0	64.8809523809524	0	0.396825396825397	0	4.96031746031746	0	0	11.3095238095238	0	0	0.198412698412698	0.198412698412698	0	0	0.793650793650794	0.992063492063492
