"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16135	24931	"Les Nans"	46.78972	5.97444	170	"AWI"	170	132	589	347	11	1	44	0	9	0	1	0	4	3	0	1	4	0	4	0	1	1	0	64	0	19	0	0	0	8	0	0	0	1	0	0	0	1	0	0	0	6	2	1	10	34	0	0	0	0	24	2	0	2	6	2	0	0	0	0	0	0	1	0	1	0	0	1
16135	24931	"Les Nans"	46.78972	5.97444	180	"AWI"	180	155	605	366	6	0	87	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	94	0	41	0	0	0	18	0	0	0	1	1	0	0	0	0	1	0	7	2	3	8	13	0	0	0	0	30	15	0	0	3	4	0	0	2	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	190	"AWI"	190	176	617	388	5	0	138	1	4	0	1	0	3	4	0	1	2	0	0	0	0	0	0	74	0	30	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	4	0	6	15	0	0	0	0	15	6	0	0	2	3	0	0	2	1	0	0	0	0	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	200	"AWI"	200	192	628	408	3	0	62	1	3	0	1	0	6	1	0	0	0	0	2	0	1	0	0	68	0	73	0	0	0	8	1	0	0	1	0	0	0	0	0	0	0	11	7	1	8	15	58	0	0	0	31	6	0	0	3	3	0	0	0	0	0	0	1	1	1	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	210	"AWI"	210	205	646	429	0	0	64	0	5	0	1	0	4	5	2	0	2	0	0	0	2	0	0	86	0	18	0	0	0	2	0	0	0	2	1	0	0	0	0	1	0	5	2	0	3	21	0	1	0	0	24	15	0	1	3	0	1	0	1	0	0	0	0	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	230	"AWI"	230	226	693	470	8	0	147	2	2	0	2	0	3	1	0	1	2	0	0	0	3	0	0	87	0	76	0	0	0	6	0	0	0	2	0	3	2	0	0	0	0	3	4	0	7	17	0	0	0	0	22	13	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	1
16135	24931	"Les Nans"	46.78972	5.97444	240	"AWI"	240	258	704	488	2	0	49	0	1	0	0	0	5	4	0	1	3	3	3	0	1	2	0	61	0	22	0	0	0	9	0	0	0	3	1	0	0	0	0	0	0	7	1	1	10	19	0	0	0	0	44	12	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	260	"AWI"	260	298	729	527	1	0	68	1	7	0	0	0	10	5	1	0	0	0	0	0	4	0	0	91	1	28	0	0	0	2	0	1	0	1	1	4	0	0	0	0	0	8	3	0	8	30	0	0	0	1	33	10	0	1	3	1	1	0	0	0	0	1	0	0	0	0	1	0
16135	24931	"Les Nans"	46.78972	5.97444	280	"AWI"	280	328	764	567	4	0	11	0	5	0	2	0	2	8	0	0	1	0	0	0	2	3	0	38	0	5	0	0	0	11	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	24	44	1	0	0	22	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16135	24931	"Les Nans"	46.78972	5.97444	290	"AWI"	290	345	785	586	2	0	19	0	0	0	3	0	10	7	0	0	0	0	0	0	4	0	0	46	0	9	0	0	0	6	0	0	0	2	0	0	0	0	0	0	1	0	0	2	17	54	0	1	0	0	25	19	0	1	10	1	0	0	0	0	0	0	0	0	1	1	0	0
