"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Geraniaceae"	"Ilex"	"Juglans"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
15880	24441	"Les Laubies"	44.46667	3.65	0	"AWI"	0	-109	54	-25	10	0	6	0	0	3	0	24	0	0	0	0	0	1	2	0	16	0	6	0	0	20	0	0	1	0	3	0	1	3	0	62	0	5	92	0	20	1	1	12	0	0	1	2	1	0
15880	24441	"Les Laubies"	44.46667	3.65	5	"AWI"	5	46	511	229	1	0	7	1	3	1	0	13	0	0	1	0	0	0	9	0	4	1	10	27	0	3	0	0	0	1	0	0	0	0	0	80	0	12	212	0	6	3	0	0	0	8	0	3	0	0
15880	24441	"Les Laubies"	44.46667	3.65	10	"AWI"	10	231	819	497	2	0	6	1	6	4	0	50	1	2	1	0	0	4	9	0	4	0	45	0	0	10	0	0	0	2	0	8	0	0	0	39	1	13	229	0	25	2	0	0	0	17	1	0	0	0
15880	24441	"Les Laubies"	44.46667	3.65	15	"AWI"	15	483	1062	766	0	0	9	0	1	2	25	22	0	1	0	0	0	0	2	1	11	0	20	82	0	44	2	0	0	0	2	0	0	0	0	40	0	5	112	0	25	21	0	0	0	7	4	0	1	1
15880	24441	"Les Laubies"	44.46667	3.65	20	"AWI"	20	788	1283	1036	0	0	16	0	6	3	9	50	1	0	0	0	0	0	3	0	5	0	10	30	1	56	0	0	0	0	1	0	0	6	1	9	0	4	184	1	21	4	0	15	3	8	13	0	1	2
15880	24441	"Les Laubies"	44.46667	3.65	25	"AWI"	25	1009	1787	1343	17	0	22	0	1	5	0	25	0	1	0	0	0	0	0	0	6	0	18	0	0	100	0	0	0	0	2	0	0	0	3	40	0	3	106	0	33	17	0	0	1	1	0	0	1	0
15880	24441	"Les Laubies"	44.46667	3.65	30	"AWI"	30	1250	2175	1662	16	0	6	0	0	2	0	20	0	1	0	0	0	1	0	0	11	0	26	0	0	127	0	0	0	0	0	0	0	0	2	18	0	5	40	0	49	6	0	0	0	1	2	0	2	0
15880	24441	"Les Laubies"	44.46667	3.65	35	"AWI"	35	1507	2550	1975	26	1	17	2	0	2	0	55	0	0	0	0	0	0	0	1	22	0	23	0	0	119	0	0	0	0	1	1	0	4	1	20	0	3	0	5	56	6	0	10	0	0	4	0	0	0
15880	24441	"Les Laubies"	44.46667	3.65	40	"AWI"	40	1777	2894	2294	15	0	9	0	4	1	0	48	0	2	1	0	0	0	0	0	8	0	34	0	0	150	4	0	0	0	0	0	0	6	0	24	0	5	0	1	70	12	0	0	0	2	2	0	0	0
15880	24441	"Les Laubies"	44.46667	3.65	45	"AWI"	45	2052	3219	2611	27	0	14	0	2	1	0	190	0	0	0	0	0	0	0	0	18	0	5	0	0	113	2	1	0	0	43	1	0	6	0	25	0	0	0	0	33	9	0	4	0	0	4	0	1	0
