"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Arbutus"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Taxus"	"Tilia"	"Ulmus"
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	0	"AWI"	0	-115	47	-36	0	1	0	2	1	0	13	0	0	4	0	0	0	0	0	0	0	18	0	0	1	9	0	0	0	202	0	0	0	0	0	0	1	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	2	"AWI"	2	-49	228	66	0	0	0	2	1	0	17	0	0	61	0	0	0	0	0	0	1	23	0	0	0	2	0	0	0	187	0	0	0	0	1	0	0	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	4	"AWI"	4	-18	470	167	0	1	1	6	0	0	82	0	0	6	0	0	0	0	0	2	0	20	0	0	1	2	0	0	1	109	0	0	0	0	0	0	3	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	6	"AWI"	6	52	621	277	0	0	0	6	0	0	169	0	0	14	0	1	0	0	0	0	0	15	0	0	0	4	0	0	0	75	0	0	0	0	0	0	0	0	0	1
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	9	"AWI"	9	154	732	471	1	3	0	2	3	0	54	0	0	29	0	4	0	0	0	0	1	7	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	1	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	12	"AWI"	12	405	829	631	0	6	0	2	1	0	61	0	0	21	0	16	0	0	0	0	0	7	0	0	1	0	0	128	0	33	0	18	0	0	3	1	3	3	0	1
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	15	"AWI"	15	669	918	791	0	5	0	1	0	0	20	0	0	9	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	24	0	0	0	0	1	0	0	0	0	1
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	17	"AWI"	17	697	958	828	0	9	1	1	4	0	70	0	0	26	0	5	0	0	0	0	0	7	0	0	2	0	0	0	2	57	0	26	0	0	6	1	0	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	20	"AWI"	20	726	1059	881	1	10	0	7	1	0	95	0	0	54	0	0	0	0	0	1	0	16	0	0	1	1	0	0	0	41	0	34	0	1	6	0	0	1	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	25	"AWI"	25	795	1170	974	0	0	0	0	0	0	98	0	0	41	0	0	0	0	0	0	0	12	0	0	1	2	0	0	0	39	0	0	0	0	1	0	5	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	30	"AWI"	30	884	1254	1068	0	2	0	1	2	0	121	0	6	13	0	0	0	0	0	0	0	21	1	0	10	1	0	0	0	100	0	0	0	0	0	0	3	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	45	"AWI"	45	1247	1906	1483	0	6	0	4	0	0	42	0	0	20	0	1	0	0	0	0	4	23	0	0	5	12	0	0	0	67	0	0	0	0	9	0	0	3	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	50	"AWI"	50	1400	2206	1763	0	7	0	3	0	0	72	2	0	36	1	3	0	0	0	0	7	19	3	0	4	53	0	0	0	53	0	6	0	0	7	0	1	1	0	2
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	56	"AWI"	56	1759	2490	2091	1	1	0	8	1	0	119	0	0	15	0	0	0	0	0	0	0	7	0	0	3	13	0	0	0	30	0	0	0	0	4	0	0	1	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	58	"AWI"	58	1955	2564	2186	0	0	0	2	0	0	10	0	0	5	0	1	0	0	0	0	0	4	0	0	23	27	0	0	0	36	0	0	0	0	1	0	0	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	60	"AWI"	60	2073	2676	2301	0	6	0	10	2	0	70	0	0	21	0	0	0	0	0	0	0	4	0	0	12	17	0	0	1	36	0	0	0	0	12	0	2	0	0	2
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	62	"AWI"	62	2183	2879	2449	0	1	0	5	0	0	44	0	4	24	0	3	0	0	0	0	2	7	0	0	37	28	0	0	0	49	0	0	0	0	5	0	2	3	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	64	"AWI"	64	2234	3235	2593	0	5	0	2	0	0	13	0	0	16	0	0	0	1	0	0	3	2	0	0	34	8	0	0	0	71	0	0	0	0	10	0	0	2	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	70	"AWI"	70	2470	3985	3082	0	5	0	4	0	0	111	1	0	13	2	4	0	0	0	0	1	6	1	0	6	66	0	0	0	55	0	0	0	0	29	0	1	0	0	0
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	75	"AWI"	75	2755	4428	3514	0	9	1	3	0	0	95	0	0	9	0	0	0	0	0	0	1	3	0	0	2	90	0	0	0	67	0	0	0	0	31	0	0	0	0	2
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	87	"AWI"	87	3693	5235	4538	0	22	0	3	0	0	48	0	0	15	0	0	0	0	0	0	0	12	0	0	5	60	0	0	0	65	0	0	0	0	6	0	1	0	0	1
9811	14510	"Derrycunihy Wood"	51.960746	-9.585444	99	"AWI"	99	4914	5867	5497	0	61	0	5	1	0	56	0	0	14	0	2	0	0	0	0	0	13	0	0	1	83	0	0	0	64	0	0	0	0	7	0	0	0	0	5
