"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15925	24530	"La Verderie"	48.35	-0.42778	5	"AWI"	5	-37	179	61	2	6	3	2	2	2	0	0	31	0	2	1	0	0	1	9	0	0	0	5	0	53	5	0	0	0	2	2	0	0	0	1	0	0	2	0	0	1	1	0	1	0	2	9	0	148	0	0	0	0	0	33	1	3	0	0	0	5	4	0	0	0	0	0	1	2	0	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	10	"AWI"	10	-13	334	122	3	3	3	2	2	0	0	0	3	1	2	0	0	0	2	4	0	0	0	4	1	69	7	0	0	0	5	2	0	0	0	1	1	0	1	0	0	8	0	0	0	0	2	19	0	161	2	0	0	0	0	34	1	2	0	0	1	0	2	0	0	0	0	0	1	2	0	1	0	0
15925	24530	"La Verderie"	48.35	-0.42778	15	"AWI"	15	48	379	194	2	2	1	2	1	1	0	0	5	0	2	0	2	0	2	5	0	0	0	10	3	82	6	0	0	0	3	2	0	0	0	1	0	0	2	1	1	16	0	0	3	1	2	13	0	125	1	0	0	4	1	44	0	2	0	0	1	7	4	0	0	0	0	0	0	2	1	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	20	"AWI"	20	78	458	261	2	3	2	0	0	2	1	0	10	0	2	1	1	0	1	9	0	0	0	9	1	56	7	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	1	14	0	132	2	0	0	0	0	36	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1
15925	24530	"La Verderie"	48.35	-0.42778	25	"AWI"	25	196	485	325	3	3	2	2	1	2	0	0	4	0	2	0	2	0	1	3	0	0	0	5	1	84	10	0	5	0	3	2	0	0	0	0	3	0	1	0	1	0	0	0	2	0	2	5	0	162	0	6	0	0	0	44	0	2	0	0	4	0	1	0	0	0	0	0	1	2	0	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	30	"AWI"	30	273	537	393	2	8	2	2	0	2	0	0	18	0	3	1	2	0	1	8	0	0	0	10	0	50	24	0	7	0	8	0	0	0	0	2	3	0	1	2	0	3	0	0	3	0	1	10	0	110	0	0	1	0	1	56	2	2	0	0	1	15	2	0	0	0	0	0	2	2	0	0	1	0
15925	24530	"La Verderie"	48.35	-0.42778	32.5	"AWI"	32.5	305	558	418.5	2	15	2	2	2	2	0	0	13	0	2	2	2	3	2	3	0	0	0	18	0	68	15	0	3	0	15	0	0	2	0	2	3	2	0	0	0	3	1	0	3	0	0	2	0	87	0	0	1	4	1	39	2	5	2	0	2	0	6	0	0	0	0	0	1	2	0	0	3	0
15925	24530	"La Verderie"	48.35	-0.42778	35	"AWI"	35	323	594	446	0	10	2	2	2	2	0	0	16	0	2	1	4	0	1	3	0	0	2	11	0	76	29	0	0	0	11	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	15	82	1	0	0	4	0	55	1	2	2	0	2	0	6	0	1	0	0	0	2	2	0	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	40	"AWI"	40	349	688	497	0	17	2	2	2	2	0	0	19	0	2	2	3	4	2	2	0	0	0	9	0	117	14	0	0	0	14	0	0	0	0	2	4	1	0	0	0	0	0	0	3	0	0	2	0	55	1	0	1	3	0	53	2	2	1	0	2	0	11	0	0	0	0	0	2	2	0	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	45	"AWI"	45	407	750	539	1	15	2	1	2	2	0	0	19	0	1	2	4	3	1	0	0	0	0	12	1	73	8	0	0	0	27	1	0	0	0	3	3	1	0	0	0	0	0	0	2	0	0	2	12	73	1	0	0	6	2	64	1	2	3	0	2	0	24	0	0	2	0	0	2	2	0	0	0	0
15925	24530	"La Verderie"	48.35	-0.42778	50	"AWI"	50	440	830	583	0	14	2	2	1	2	0	0	20	0	2	2	3	3	0	1	0	3	0	9	0	74	34	0	0	0	8	2	0	0	0	2	3	0	0	0	1	0	0	1	1	0	0	2	0	96	1	0	0	3	0	50	1	2	2	0	2	0	7	0	0	0	0	0	1	2	0	0	0	0
