"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Vitaceae"
3112	4050	"Grande Brière"	47.36667	-2.25	5	"AWI"	5	-6	473	181	0	31	67	1	0	0	5	19	0	0	0	1	0	61	7	0	0	1	0	0	0	0	1	18	12	21	0	17	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	10	"AWI"	10	30	933	356	0	31	16	0	0	0	0	5	0	0	0	0	0	83	1	94	0	4	0	0	4	0	0	22	3	17	0	10	0	0	0	0	0	0	0	2	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	15	"AWI"	15	59	1390	531	0	49	6	0	0	0	0	7	0	0	0	0	0	114	0	0	0	5	0	0	3	0	0	17	4	16	0	9	0	0	0	0	0	0	0	0	1	0
3112	4050	"Grande Brière"	47.36667	-2.25	20	"AWI"	20	242	1536	766	0	18	9	2	0	0	0	2	0	0	0	0	0	65	0	0	1	4	0	0	4	0	0	12	0	12	0	11	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	25	"AWI"	25	354	1676	1042	0	23	10	0	1	0	0	3	1	0	0	0	0	66	1	0	1	7	0	0	3	0	0	10	2	9	2	2	0	0	0	0	0	0	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	30	"AWI"	30	440	1898	1297	0	35	26	3	0	0	0	17	0	0	0	0	0	79	4	0	8	1	0	0	9	1	0	3	7	54	0	26	0	0	0	0	0	0	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	35	"AWI"	35	789	2023	1494	0	31	37	1	0	0	0	11	1	0	0	2	0	92	0	143	3	1	0	0	12	0	0	2	6	33	0	13	1	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	40	"AWI"	40	1231	2087	1683	0	22	55	1	0	0	6	14	0	2	0	0	0	111	3	210	3	5	0	2	18	0	0	1	20	37	0	17	2	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	45	"AWI"	45	1552	2189	1887	0	30	30	0	0	0	6	12	0	0	1	0	0	106	3	216	2	11	0	0	1	0	0	7	22	127	0	26	1	0	0	0	0	0	0	0	1	1
3112	4050	"Grande Brière"	47.36667	-2.25	50	"AWI"	50	1754	2312	2055	0	18	3	0	0	1	0	4	0	0	0	0	0	138	0	169	0	7	0	0	2	0	0	3	8	133	0	21	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	55	"AWI"	55	1883	2510	2193	0	12	4	0	0	1	0	8	0	0	0	0	0	118	0	61	2	3	0	0	11	1	0	1	6	116	0	33	1	0	0	0	1	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	60	"AWI"	60	1950	2812	2323	0	22	1	0	0	1	0	6	0	0	0	0	0	129	0	0	2	5	0	0	3	1	0	2	4	327	0	30	0	0	0	0	2	1	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	65	"AWI"	65	2035	3036	2451	0	18	0	0	0	2	0	10	0	0	0	0	0	99	0	2	0	3	0	0	2	0	0	3	2	277	0	31	2	0	0	0	1	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	70	"AWI"	70	2141	3153	2595	0	13	1	0	0	0	0	9	0	0	0	0	0	81	0	7	0	0	0	0	2	0	0	0	1	43	0	28	0	0	0	0	0	0	0	0	1	0
3112	4050	"Grande Brière"	47.36667	-2.25	75	"AWI"	75	2203	3313	2734	0	13	1	0	0	1	0	14	0	0	0	0	0	214	0	0	1	3	0	0	2	0	0	0	0	55	0	27	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	80	"AWI"	80	2316	3480	2866	0	5	1	0	0	0	0	6	0	0	0	0	0	99	2	40	0	6	0	0	5	0	0	0	2	98	0	29	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	85	"AWI"	85	2456	3540	2993	0	26	0	0	0	0	0	22	0	0	0	0	0	239	2	0	0	1	1	0	2	0	0	2	1	54	0	42	0	0	0	0	0	0	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	90	"AWI"	90	2557	3636	3134	0	25	0	0	0	0	0	10	0	0	0	0	0	166	0	40	1	1	0	0	0	0	0	0	0	7	0	22	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	95	"AWI"	95	2670	3763	3261	0	29	2	0	1	0	0	7	0	0	0	0	0	103	2	67	0	1	1	1	7	0	0	1	3	61	0	54	0	0	0	0	0	0	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	100	"AWI"	100	2924	3816	3375	0	20	1	0	0	0	0	15	0	0	0	0	0	110	1	0	0	1	0	0	20	0	0	1	1	97	0	40	1	0	0	0	0	0	0	1	1	0
3112	4050	"Grande Brière"	47.36667	-2.25	105	"AWI"	105	3128	3895	3495	0	34	3	0	0	0	0	9	0	0	0	0	0	78	0	0	3	6	0	0	16	0	0	1	5	157	0	36	0	0	0	0	0	0	0	1	2	0
3112	4050	"Grande Brière"	47.36667	-2.25	110	"AWI"	110	3247	4006	3624	0	56	2	0	0	1	0	22	0	0	0	0	0	64	0	0	2	1	0	0	1	0	0	0	0	132	0	28	0	0	0	0	0	1	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	115	"AWI"	115	3542	4075	3797	0	59	2	0	0	0	0	20	0	0	0	0	0	63	1	0	0	1	0	0	2	0	0	2	0	134	0	53	0	0	0	0	0	3	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	120	"AWI"	120	3774	4182	3967	0	108	1	0	0	1	0	166	0	0	0	0	0	72	4	0	0	1	0	0	3	0	0	1	0	2	0	46	0	0	0	0	0	0	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	125	"AWI"	125	3905	4385	4143	0	105	0	0	1	0	0	138	0	0	0	0	0	94	20	0	2	0	0	0	0	0	0	0	0	4	0	63	4	0	0	0	0	1	0	0	1	0
3112	4050	"Grande Brière"	47.36667	-2.25	130	"AWI"	130	4067	4444	4253	0	110	0	0	1	0	0	203	0	3	0	0	0	8	8	0	0	0	0	1	0	0	0	0	0	4	0	38	0	0	0	0	0	17	0	1	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	140	"AWI"	140	4264	4657	4470	0	202	1	0	0	0	0	106	0	0	0	0	0	14	8	0	1	1	0	0	0	0	0	1	0	3	0	44	0	0	0	0	0	4	1	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	145	"AWI"	145	4327	4710	4525	0	290	0	0	0	1	0	56	0	0	0	0	0	11	14	0	2	0	0	1	0	0	0	1	0	9	0	28	1	0	0	0	0	11	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	150	"AWI"	150	4384	4742	4565	0	232	0	1	1	0	0	12	0	1	0	0	0	7	22	0	3	0	0	0	0	0	0	1	0	2	0	18	0	1	0	1	0	36	0	0	0	0
3112	4050	"Grande Brière"	47.36667	-2.25	153	"AWI"	153	4408	4766	4591	0	380	2	2	0	1	0	45	0	2	0	1	0	59	26	0	1	2	1	0	0	0	1	2	0	41	0	47	3	0	0	1	0	15	0	0	0	0
