"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3317	4309	"Madtjärn"	58.5959	12.17463	810	"AWI"	810	10070	11103	10583	4	1	1	6	0	424	0	0	0	3	6	2	45	0	19	0	1	127	0	0	1	0	0	0	7	19	0	1	0	1
3317	4309	"Madtjärn"	58.5959	12.17463	815	"AWI"	815	10404	11386	10926	2	0	0	9	0	462	0	1	0	1	4	0	69	0	18	1	1	133	0	0	1	1	0	0	11	22	0	1	0	2
3317	4309	"Madtjärn"	58.5959	12.17463	820	"AWI"	820	10781	11644	11254	1	0	2	15	0	430	0	1	0	0	10	0	0	0	13	0	0	157	0	0	0	0	0	1	24	18	0	2	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	825	"AWI"	825	11210	11869	11573	0	5	0	12	0	266	0	0	0	0	7	0	0	0	15	0	0	220	0	0	0	2	0	3	18	27	0	4	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	830	"AWI"	830	11591	12144	11886	1	8	2	77	0	189	0	5	2	0	5	0	0	0	30	0	0	101	0	0	1	0	6	1	27	28	0	3	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	835	"AWI"	835	11902	12403	12145	0	12	1	85	0	167	0	4	1	0	14	1	0	3	24	0	0	120	0	0	0	0	0	1	26	11	1	5	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	840	"AWI"	840	12131	12589	12363	0	25	3	114	0	134	2	4	0	1	8	0	0	0	33	0	0	144	0	0	0	2	0	1	16	24	0	6	1	0
3317	4309	"Madtjärn"	58.5959	12.17463	845	"AWI"	845	12345	12721	12564	1	16	0	138	0	90	0	4	2	1	6	2	0	0	21	0	0	108	0	0	0	0	0	6	17	22	0	6	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	850	"AWI"	850	12565	12892	12729	0	36	2	124	0	105	0	6	0	1	13	0	0	0	19	0	0	130	0	0	1	1	0	2	27	27	0	8	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	855	"AWI"	855	12762	13102	12918	1	26	1	120	0	108	0	3	0	3	5	0	0	0	19	0	0	108	0	0	0	2	0	3	19	23	0	5	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	860	"AWI"	860	12983	13449	13199	0	17	1	63	2	120	0	1	0	1	8	2	0	0	29	0	0	96	0	0	0	1	0	0	25	26	0	5	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	865	"AWI"	865	13203	14087	13528	0	6	1	20	0	115	0	1	0	0	2	0	0	0	0	0	0	163	0	28	0	0	0	1	4	8	0	3	0	0
3317	4309	"Madtjärn"	58.5959	12.17463	870	"AWI"	870	13413	14598	13871	0	1	1	10	0	104	1	1	0	0	2	0	0	3	0	0	0	146	0	0	0	0	0	1	1	12	0	0	0	0
