"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3483	4502	"Uitbergen"	51.01778	3.94472	15	"AWI"	15	193	822	461	0	9.84848484848485	0.757575757575758	0.378787878787879	0	0	0	3.03030303030303	0.378787878787879	0	0.378787878787879	6.06060606060606	19.6969696969697	0	0.757575757575758	0.378787878787879	0	0	0.378787878787879	3.78787878787879	0.378787878787879	42.0454545454545	7.95454545454545	0.757575757575758	0	0	0	0.757575757575758	0	0.378787878787879	0	0.378787878787879	1.51515151515152
3483	4502	"Uitbergen"	51.01778	3.94472	35	"AWI"	35	797	1507	1136	0.203252032520325	30.4878048780488	1.01626016260163	1.82926829268293	0	0.609756097560976	0	3.04878048780488	2.03252032520325	0	0.203252032520325	8.73983739837398	2.4390243902439	0	0.40650406504065	2.23577235772358	0.203252032520325	0	0	1.82926829268293	0.40650406504065	20.9349593495935	16.869918699187	0	0	0.40650406504065	0	0.813008130081301	0.609756097560976	0	0	3.2520325203252	1.42276422764228
3483	4502	"Uitbergen"	51.01778	3.94472	39	"AWI"	39	952	1626	1265	0	51.6898608349901	1.19284294234592	4.7713717693837	0	0.397614314115308	0	1.78926441351889	0.795228628230616	0	0	4.97017892644135	2.5844930417495	0	0	2.38568588469185	0.198807157057654	0	0.397614314115308	1.39165009940358	0.198807157057654	13.1212723658052	10.7355864811133	0	0	0.596421471172962	0.198807157057654	0.397614314115308	1.19284294234592	0	0	0.198807157057654	0.795228628230616
3483	4502	"Uitbergen"	51.01778	3.94472	43	"AWI"	43	1106	1764	1398	0	50.6756756756757	0.900900900900901	2.25225225225225	0.225225225225225	0.225225225225225	0	1.12612612612613	0.675675675675676	0	0	2.7027027027027	1.57657657657658	0	0	1.35135135135135	0.675675675675676	0.225225225225225	0.225225225225225	1.8018018018018	0.45045045045045	9.23423423423423	22.5225225225225	0	0	1.12612612612613	0	0.675675675675676	0.45045045045045	0	0.225225225225225	0.225225225225225	0.45045045045045
3483	4502	"Uitbergen"	51.01778	3.94472	47	"AWI"	47	1276	1890	1527	0	44.6808510638298	0.851063829787234	2.5531914893617	0	0.425531914893617	0	2.97872340425532	0.638297872340425	0	0.425531914893617	5.1063829787234	5.31914893617021	0	0	1.70212765957447	0.212765957446809	0	0.212765957446809	1.70212765957447	0.425531914893617	14.6808510638298	14.0425531914894	0	0	0.425531914893617	0.212765957446809	0.638297872340425	1.70212765957447	0	0	0.638297872340425	0.425531914893617
3483	4502	"Uitbergen"	51.01778	3.94472	51	"AWI"	51	1444	2048	1698	0	48.8636363636364	0.909090909090909	2.72727272727273	0	0.454545454545455	0	3.18181818181818	1.36363636363636	0	0.227272727272727	5.22727272727273	3.18181818181818	0	0.909090909090909	0.681818181818182	0.454545454545455	0	0.227272727272727	1.59090909090909	0.227272727272727	9.09090909090909	19.3181818181818	0	0	0.227272727272727	0.227272727272727	0	0.454545454545455	0	0	0.227272727272727	0.227272727272727
3483	4502	"Uitbergen"	51.01778	3.94472	55	"AWI"	55	1601	2279	1906	0.573065902578797	45.8452722063037	2.00573065902579	0.573065902578797	0	0.859598853868195	0	4.01146131805158	0.286532951289398	0	0	10.0286532951289	3.15186246418338	0	0.859598853868195	4.87106017191977	0.859598853868195	0	0.286532951289398	6.30372492836676	0	0	17.7650429799427	0	0	0.573065902578797	0	0	0	0	0	0.859598853868195	0.286532951289398
3483	4502	"Uitbergen"	51.01778	3.94472	60	"AWI"	60	1836	2543	2195	0	46.5631929046563	0.221729490022173	2.4390243902439	0	0.221729490022173	0	4.8780487804878	0	0	0	14.4124168514412	3.54767184035477	0.886917960088692	0	1.10864745011086	0.443458980044346	0	0	3.54767184035477	1.10864745011086	0	18.6252771618625	0	0	0.221729490022173	0	0	0.886917960088692	0	0	0.221729490022173	0.665188470066519
3483	4502	"Uitbergen"	51.01778	3.94472	64	"AWI"	64	2074	2709	2421	0	31.25	0.240384615384615	0	0	0.240384615384615	0	1.44230769230769	0	0	0.240384615384615	21.6346153846154	1.68269230769231	0	0	0.961538461538462	0.480769230769231	0	0	6.73076923076923	0.721153846153846	5.28846153846154	20.6730769230769	0.240384615384615	0.240384615384615	0	0	0	0	0	0	7.21153846153846	0.721153846153846
3483	4502	"Uitbergen"	51.01778	3.94472	69	"AWI"	69	2438	2905	2696	0	41.0798122065728	0.469483568075117	0.469483568075117	0	0.234741784037559	0	2.8169014084507	0.234741784037559	0	0	15.2582159624413	1.17370892018779	0	0	0.938967136150235	0.938967136150235	0	0	5.86854460093897	0.704225352112676	3.52112676056338	21.1267605633803	0.469483568075117	0	0.938967136150235	0.234741784037559	0.234741784037559	0.704225352112676	0	0	2.11267605633803	0.469483568075117
