"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	0	"AWI"	0	-101	61	-22	20	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	40	104	0	15	0	0	1	1	0	0	0	0	0	1	24	0	0	0	0	8	1	3	0	0	0	1	0	0	0	0	0	0	1
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	10	"AWI"	10	-12	1025	264	23	0	0	0	0	0	0	0	30	0	0	3	0	0	0	4	5	27	0	2	0	0	1	0	0	0	0	0	0	2	51	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	20	"AWI"	20	126	1592	624	191	2	0	1	0	0	10	0	0	2	0	1	0	0	0	13	7	37	0	195	0	0	0	0	0	0	0	0	0	8	66	0	0	0	0	0	13	0	0	1	0	2	0	0	0	0	4	3	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	30	"AWI"	30	298	2069	972	70	1	0	0	0	0	4	0	0	0	0	3	0	0	0	10	1	0	0	180	4	0	0	0	0	0	0	0	0	31	103	0	0	0	0	0	41	0	0	0	0	1	0	0	0	0	0	4	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	40	"AWI"	40	518	2500	1310	126	3	0	0	0	0	4	0	0	0	0	0	0	0	0	10	15	18	0	290	0	0	0	0	0	0	0	0	0	11	174	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	1	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	50	"AWI"	50	755	2910	1678	64	2	0	1	0	0	2	0	0	0	1	0	0	0	0	7	5	12	0	160	0	0	1	0	0	0	0	0	0	16	176	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	60	"AWI"	60	1001	3336	2027	45	0	0	0	0	0	7	0	0	0	0	0	0	0	0	5	2	4	0	181	1	0	0	0	0	0	0	0	0	20	148	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	3	1
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	70	"AWI"	70	1282	3738	2391	83	2	0	0	0	0	5	0	0	0	0	0	0	0	0	7	2	0	0	175	0	0	0	0	0	0	0	0	0	8	142	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	80	"AWI"	80	1588	4107	2750	75	0	0	2	0	0	5	0	0	0	0	0	0	0	0	6	4	5	0	291	0	0	0	0	0	0	0	0	0	18	138	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0	0	2	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	90	"AWI"	90	1884	4505	3100	204	1	0	1	0	0	4	0	0	0	0	0	0	0	0	13	5	0	1	271	2	0	0	0	0	0	0	0	0	17	187	0	0	0	0	0	37	0	0	0	0	1	0	1	0	0	0	5	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	100	"AWI"	100	2176	4850	3461	68	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	0	0	100	0	0	0	0	0	0	0	0	0	5	112	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	2	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	110	"AWI"	110	2510	5203	3821	167	1	0	1	0	0	3	0	0	0	0	0	0	0	0	27	9	4	0	221	2	0	0	0	0	0	0	0	0	13	87	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	11	1
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	120	"AWI"	120	2827	5538	4172	110	1	0	1	0	0	5	0	0	0	0	5	0	0	0	34	8	20	0	296	1	0	0	0	0	0	0	0	0	3	125	0	0	0	0	0	44	0	0	1	0	2	0	0	0	0	0	3	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	130	"AWI"	130	3143	5877	4540	15	1	0	0	0	0	1	0	30	0	0	0	0	0	0	49	36	12	0	185	4	0	0	0	0	0	0	0	0	1	148	0	0	0	0	0	59	0	0	0	0	1	0	0	0	0	0	10	1
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	140	"AWI"	140	3494	6171	4888	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	58	3	0	0	275	3	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	3	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	150	"AWI"	150	3859	6497	5234	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	37	7	0	0	149	2	0	0	0	0	0	0	0	0	2	311	0	0	0	0	2	25	0	0	0	0	0	0	0	0	1	0	16	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	160	"AWI"	160	4237	6770	5594	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	21	15	4	0	122	1	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	7	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	170	"AWI"	170	4619	7091	5938	1	5	0	0	0	0	4	0	47	0	0	0	0	0	0	77	15	0	0	103	5	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	70	0	0	0	0	0	0	0	0	1	0	11	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	180	"AWI"	180	4999	7361	6290	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	50	12	0	0	24	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	6	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	190	"AWI"	190	5405	7611	6651	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	70	7	0	0	4	4	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	13	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	200	"AWI"	200	5819	7878	6995	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	43	2	0	0	14	4	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	61	0	0	0	0	0	0	1	0	0	0	28	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	210	"AWI"	210	6278	8117	7343	0	1	0	0	0	0	2	0	24	0	0	0	0	0	0	51	12	0	0	2	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	2	34	0	0	0	0	2	0	0	0	0	15	26	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	220	"AWI"	220	6790	8349	7700	0	0	19	0	0	0	1	0	25	0	0	0	0	0	0	53	31	0	0	0	1	0	0	0	0	0	0	0	0	0	140	0	0	0	0	1	24	0	0	0	0	1	0	0	0	0	0	27	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	230	"AWI"	230	7398	8578	8034	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	124	18	0	0	6	7	0	0	0	0	3	0	0	0	0	320	0	0	0	0	0	52	0	0	3	0	1	0	0	0	1	25	23	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	240	"AWI"	240	7620	8930	8288	0	0	0	0	0	1	2	0	47	0	0	0	0	0	0	122	7	32	0	1	1	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	26	0	0	0	0	2	0	0	0	1	0	20	0
14469	22652	"Fláje - Kiefern"	50.681738	13.62231	250	"AWI"	250	7839	9233	8550	0	1	0	0	0	0	2	0	43	0	0	0	0	0	0	124	37	0	0	0	8	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	23	0	0	7	0	1	0	0	0	1	0	36	0
