"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	160	"AWI"	160	381	912	653	0	35	7	1	0	0	69	7	7	1	4	0	8	35	0	0	2	1	2	2	0	1	0	1	9	86	4	20	0	3	1	2	1	0	1	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	170	"AWI"	170	530	991	755	0	20	5	4	0	0	73	2	4	0	0	1	10	18	0	0	4	0	1	1	0	2	0	1	10	76	2	18	0	0	3	0	2	0	0	1
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	185	"AWI"	185	754	1123	910	2	13	8	2	0	0	70	0	10	0	2	0	10	12	0	0	3	0	0	0	1	0	0	1	11	66	0	13	0	1	2	5	0	0	0	2
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	195	"AWI"	195	845	1262	1023	2	22	2	2	0	3	58	2	7	0	2	0	8	26	0	0	5	0	0	1	0	0	1	0	9	79	0	14	0	2	2	0	1	0	1	3
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	205	"AWI"	205	942	1397	1142	0	8	2	0	0	0	0	7	5	0	0	0	9	40	0	0	2	0	0	1	0	0	0	0	11	31	0	14	0	1	4	1	1	0	1	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	220	"AWI"	220	1092	1583	1319	0	9	5	0	0	1	0	3	2	0	1	0	10	54	0	0	7	0	0	0	0	0	0	0	16	37	0	11	0	1	2	2	3	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	225	"AWI"	225	1148	1643	1379	1	29	1	2	0	0	15	1	1	0	0	0	6	108	0	0	7	0	0	1	0	0	0	0	13	61	0	21	0	2	0	3	1	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	245	"AWI"	245	1366	1873	1619	0	86	2	4	0	0	0	9	0	0	0	0	9	123	0	1	9	0	4	0	0	0	0	1	3	21	0	48	0	0	3	5	0	0	1	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	260	"AWI"	260	1542	2031	1797	0	6	2	1	0	2	0	4	0	0	0	0	2	114	0	0	2	0	1	0	0	1	0	0	1	16	0	16	0	1	0	1	1	0	0	0
16215	25083	"Anse de Gattemare"	49.69278	-1.29806	275	"AWI"	275	1734	2193	1975	0	5	0	0	0	1	0	5	1	0	1	0	2	102	0	0	0	0	0	0	0	0	0	0	0	18	0	8	0	0	0	0	0	0	1	0
