"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	135	"AWI"	135	-66	186	47	56	1	0	3	0	0	3	0	6	0	0	19	0	6	0	0	0	0	0	0	0	0	0	100	0	117	1	0	0	0	0	30	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	1	0	103	10	0	0	1	0	5	0	0	0	0	0	8	25	0	1
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	170	"AWI"	170	82	359	226	2	1	0	7	0	0	0	0	4	0	0	2	0	26	0	0	0	0	8	0	0	0	0	15	0	557	2	0	0	0	0	2	0	0	0	0	0	9	0	8	0	0	1	1	0	0	0	0	0	0	0	0	172	0	0	0	0	0	52	0	0	0	5	0	2	0	0	2	6	14	0	4	0	3
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	230	"AWI"	230	473	643	531	6	0	13	1	0	0	0	0	5	0	0	3	0	5	0	0	0	0	33	0	0	0	0	4	1	59	0	0	0	0	0	6	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	38	0	0	0	0	0	48	1	0	0	0	0	3	0	0	2	0	1	0	0	0	0
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	240	"AWI"	240	517	802	612	5	2	19	0	0	0	0	0	11	0	0	5	0	4	0	2	0	0	44	0	0	0	0	11	2	111	0	0	0	0	0	26	0	0	0	0	0	11	11	0	1	0	0	0	1	0	0	0	0	0	0	0	54	0	0	2	0	0	144	3	0	0	1	7	12	0	0	6	0	1	0	2	0	1
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	270	"AWI"	270	686	1150	899	26	1	0	2	0	0	0	0	6	0	0	8	0	0	0	0	0	0	4	0	0	0	2	46	0	81	1	0	0	0	0	26	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	3	25	0	0	0	0	0	0	0	0	110	5	0	0	1	0	5	0	0	1	0	3	1	6	0	1
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	300	"AWI"	300	926	1422	1186	17	1	0	0	0	0	0	0	6	0	0	16	0	3	0	0	0	0	6	0	0	0	0	86	0	132	1	0	0	0	0	52	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	8	0	0	2	0	5	0	0	1	0	0	1	21	0	2
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	350	"AWI"	350	1562	1782	1672	22	3	0	1	0	0	0	0	8	0	0	35	0	0	0	0	0	0	0	0	0	0	1	62	0	106	0	0	0	0	0	81	0	4	0	0	0	20	7	0	0	0	0	2	0	0	17	0	1	0	0	0	0	0	0	0	0	0	208	23	0	0	1	8	7	0	0	1	0	0	0	8	0	0
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	380	"AWI"	380	1816	2593	2145	41	2	0	2	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	41	0	676	0	0	0	0	0	24	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	97	9	0	0	1	0	2	0	0	0	0	10	0	12	0	1
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	410	"AWI"	410	2205	3099	2648	15	0	0	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	23	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	3	0	0	0	0	0	0	0	0	1	0	0	3	0	0
23953	41634	"Pavullo nel Frignano"	44.32009	10.83865	430	"AWI"	430	2537	3355	2988	21	1	0	2	0	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	21	0	38	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	28	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1
