"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	0	"AWI"	0	-110	55	-31	20	0	0	21	1	0	10	0	0	0	2	0	4	0	0	0	0	0	21	0	16	0	473	0	0	38	0	1	0	0	3	0	0	0	0	0	0	7	214	0	0	193	0	0	0	18	0	0	0	0	0	3	0	0	0	0	0	0	6	9	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	10	"AWI"	10	-53	346	88	53	0	58	19	4	0	22	0	121	0	3	0	31	0	0	0	0	0	40	0	32	0	1196	0	0	77	0	0	0	0	1	0	100	0	0	1	0	21	134	453	0	228	0	0	0	44	0	0	0	3	0	2	0	0	0	0	0	1	5	2	1	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	20	"AWI"	20	-28	713	199	95	1	0	5	1	0	26	0	0	0	2	0	11	0	0	0	1	0	62	0	14	0	721	0	0	211	0	1	0	0	1	0	0	0	0	0	0	31	88	0	0	72	0	0	0	48	0	0	0	0	21	4	0	0	0	0	0	0	7	10	1	1	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	30	"AWI"	30	36	940	337	239	0	0	1	2	0	11	0	0	0	2	0	11	0	0	0	1	0	18	0	14	0	0	0	0	187	0	5	0	0	0	0	0	0	0	0	0	37	100	0	0	0	0	0	0	46	0	0	0	0	0	1	0	0	0	0	0	0	1	14	3	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	40	"AWI"	40	87	1143	487	164	1	0	3	0	0	3	0	0	0	0	0	3	0	0	0	1	0	10	0	5	0	128	0	0	160	0	0	0	0	0	0	0	0	0	0	0	33	120	326	0	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	0	4	4	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	50	"AWI"	50	131	1431	627	124	3	0	2	4	0	3	0	0	0	0	0	2	0	0	0	0	0	13	0	29	0	0	0	0	209	0	2	0	0	0	0	0	0	0	0	0	38	117	256	0	30	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	60	"AWI"	60	236	1546	772	106	2	0	0	2	0	9	0	0	0	0	0	1	0	0	0	0	0	15	0	8	0	0	0	0	224	0	4	0	0	0	0	0	0	0	0	0	71	83	0	0	0	0	0	0	51	0	0	0	1	0	1	0	0	0	0	0	0	8	24	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	70	"AWI"	70	287	1716	911	114	1	0	0	0	0	14	0	0	0	0	0	1	0	0	0	1	0	25	1	4	0	0	0	0	196	0	13	0	0	0	0	0	0	0	0	0	32	66	0	0	0	0	0	0	82	0	0	0	0	0	1	0	1	0	0	0	1	2	33	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	80	"AWI"	80	395	1835	1035	161	2	0	3	0	0	10	0	0	0	0	0	2	1	0	0	0	0	17	0	17	0	71	0	0	188	0	10	0	0	0	0	0	0	0	0	0	72	154	0	0	0	0	0	0	59	0	0	0	1	0	3	0	0	0	0	0	0	3	18	0	0	0
3366	4364	"Puscizna Rekowianska"	49.471458	19.809474	90	"AWI"	90	479	1967	1171	179	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	32	0	4	0	0	0	0	111	0	3	0	0	0	0	0	0	0	0	0	104	162	0	0	0	0	0	0	67	0	0	0	0	0	1	0	0	0	0	0	1	3	8	0	0	0
