"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
14489	22691	"Hängstli"	46.79417	7.83306	0	"AWI"	0	-92	77	-13	61	0	19	1	0	1	1	0	18	0	0	0	0	0	6	330	116	12	6	0	0	0	0	1	304	77	0	0	0	24	0	0	0	3	0	0	4	2
14489	22691	"Hängstli"	46.79417	7.83306	10	"AWI"	10	-18	625	170	108	0	20	0	0	4	3	0	8	0	0	0	1	0	26	58	0	81	0	1	1	0	1	0	195	205	0	0	0	20	0	0	0	2	1	0	0	1
14489	22691	"Hängstli"	46.79417	7.83306	20	"AWI"	20	76	904	386	162	0	68	0	0	0	4	0	32	0	0	0	0	0	18	46	0	105	0	0	0	0	0	5	274	38	0	0	0	21	0	0	0	1	0	0	0	1
14489	22691	"Hängstli"	46.79417	7.83306	30	"AWI"	30	205	1157	605	229	1	38	0	0	0	6	0	4	0	0	0	0	0	11	24	0	93	0	0	0	0	0	2	358	24	0	0	0	20	0	0	0	0	0	0	0	0
14489	22691	"Hängstli"	46.79417	7.83306	40	"AWI"	40	365	1356	822	124	1	105	0	0	0	2	0	34	0	1	0	0	1	38	40	0	155	12	0	1	0	0	10	158	21	0	0	0	32	0	0	0	0	0	0	0	6
14489	22691	"Hängstli"	46.79417	7.83306	50	"AWI"	50	540	1553	1041	116	0	158	0	0	0	0	0	54	0	0	0	0	0	44	21	0	156	8	0	0	0	0	2	181	24	0	0	0	51	0	0	0	1	0	0	0	0
14489	22691	"Hängstli"	46.79417	7.83306	60	"AWI"	60	748	1726	1257	164	0	163	0	0	2	1	0	82	1	0	0	0	0	86	57	0	112	8	0	0	0	0	3	243	31	0	0	0	51	0	0	0	4	2	0	0	1
14489	22691	"Hängstli"	46.79417	7.83306	70	"AWI"	70	989	1897	1478	171	0	86	0	0	1	3	0	32	1	0	0	0	0	23	89	0	178	2	2	1	0	0	1	250	23	0	0	0	74	0	0	0	3	1	0	0	0
14489	22691	"Hängstli"	46.79417	7.83306	80	"AWI"	80	1271	2045	1682	200	1	63	1	0	1	2	0	27	0	0	0	0	0	22	32	0	136	0	0	0	0	0	0	234	26	0	0	0	64	0	0	1	5	0	0	0	1
14489	22691	"Hängstli"	46.79417	7.83306	90	"AWI"	90	1528	2218	1878	154	0	86	1	0	3	0	0	39	0	0	0	0	0	53	45	0	112	1	0	2	0	0	0	205	13	0	0	0	49	0	0	0	1	2	0	0	4
14489	22691	"Hängstli"	46.79417	7.83306	100	"AWI"	100	1651	2489	2035	123	0	40	0	0	3	0	0	21	0	0	0	2	0	30	52	0	76	1	0	0	0	22	0	205	8	0	0	0	46	0	0	1	3	1	0	0	7
14489	22691	"Hängstli"	46.79417	7.83306	110	"AWI"	110	1771	2714	2191	284	4	125	1	0	1	2	0	85	0	0	0	1	0	70	84	0	112	6	0	0	0	0	0	245	32	0	0	0	50	0	0	0	2	5	0	1	6
14489	22691	"Hängstli"	46.79417	7.83306	120	"AWI"	120	1898	2936	2356	156	0	99	1	0	0	3	0	54	0	0	0	0	0	60	32	0	71	0	0	0	0	0	0	193	17	0	0	0	29	0	0	0	5	0	0	0	0
14489	22691	"Hängstli"	46.79417	7.83306	130	"AWI"	130	2020	3139	2521	151	2	125	0	0	0	1	0	49	0	0	0	0	0	63	53	0	126	4	0	0	0	0	1	143	16	0	0	0	43	0	0	0	0	3	0	0	2
14489	22691	"Hängstli"	46.79417	7.83306	140	"AWI"	140	2165	3324	2685	123	2	153	1	0	4	3	0	40	0	0	0	0	0	56	100	0	151	10	0	0	0	0	0	158	25	0	0	0	38	0	0	0	0	0	0	0	3
14489	22691	"Hängstli"	46.79417	7.83306	150	"AWI"	150	2305	3509	2851	122	1	132	0	0	3	3	0	43	0	0	0	0	0	91	193	0	95	11	0	0	0	0	0	229	10	0	0	0	53	0	0	2	2	0	0	2	10
14489	22691	"Hängstli"	46.79417	7.83306	160	"AWI"	160	2427	3679	3020	158	0	203	0	0	1	8	0	62	2	0	0	0	0	76	122	0	168	3	0	0	0	0	0	254	15	0	0	0	76	0	0	2	2	0	0	0	2
14489	22691	"Hängstli"	46.79417	7.83306	170	"AWI"	170	2574	3854	3189	109	1	207	0	0	5	11	0	52	0	3	0	0	0	83	94	0	115	6	0	0	0	0	0	201	20	0	0	0	76	0	0	1	0	0	0	2	9
14489	22691	"Hängstli"	46.79417	7.83306	180	"AWI"	180	2730	4024	3354	192	1	216	1	0	4	2	0	51	0	0	0	0	0	95	73	0	107	6	0	0	0	0	0	206	20	0	0	0	44	0	0	0	0	6	1	2	4
14489	22691	"Hängstli"	46.79417	7.83306	190	"AWI"	190	2882	4195	3519	212	0	100	0	0	0	4	0	30	1	0	0	0	0	50	87	6	129	14	0	0	0	2	0	272	21	0	0	0	61	0	0	0	0	2	1	5	1
14489	22691	"Hängstli"	46.79417	7.83306	200	"AWI"	200	3025	4360	3691	233	1	55	0	0	2	0	0	8	0	0	0	0	0	28	52	12	74	1	0	0	0	0	0	208	7	0	0	0	40	0	0	0	0	0	0	4	0
14489	22691	"Hängstli"	46.79417	7.83306	210	"AWI"	210	3190	4517	3865	175	1	50	0	0	0	0	0	15	0	0	0	0	0	26	102	20	60	9	0	3	0	0	0	130	12	0	0	0	31	0	0	0	1	0	0	2	1
14489	22691	"Hängstli"	46.79417	7.83306	220	"AWI"	220	3353	4662	4029	279	2	49	0	0	0	0	0	14	0	0	0	0	0	34	43	0	71	4	0	0	0	0	0	229	4	0	0	0	39	0	0	0	0	0	0	1	5
14489	22691	"Hängstli"	46.79417	7.83306	230	"AWI"	230	3533	4807	4199	162	1	33	0	0	1	0	0	13	0	0	0	0	0	38	40	0	55	4	0	0	0	1	0	168	12	0	0	0	23	0	0	0	0	0	0	3	4
14489	22691	"Hängstli"	46.79417	7.83306	240	"AWI"	240	3696	4954	4360	272	0	87	2	1	2	0	0	45	0	0	0	0	0	91	75	0	60	7	0	0	0	42	0	242	21	0	0	0	56	0	0	0	0	0	0	4	6
14489	22691	"Hängstli"	46.79417	7.83306	250	"AWI"	250	3877	5108	4525	243	2	116	0	0	3	3	0	21	0	1	0	0	0	96	184	0	46	1	0	0	0	0	0	239	14	0	0	0	42	0	0	0	0	0	0	3	5
14489	22691	"Hängstli"	46.79417	7.83306	260	"AWI"	260	4070	5239	4695	399	0	108	0	0	1	1	0	5	0	0	0	0	0	102	73	0	14	4	0	0	0	0	0	251	41	0	0	0	25	0	0	0	0	1	0	2	14
14489	22691	"Hängstli"	46.79417	7.83306	270	"AWI"	270	4271	5365	4865	271	0	104	0	0	3	0	0	7	0	1	0	0	0	101	200	0	31	6	0	0	0	0	0	208	34	0	0	0	42	0	0	0	0	1	0	6	10
14489	22691	"Hängstli"	46.79417	7.83306	280	"AWI"	280	4457	5481	5029	222	0	128	0	0	1	0	0	16	0	1	0	0	0	76	63	0	17	2	0	0	0	0	0	163	33	0	0	0	19	0	0	0	0	1	0	3	5
