"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acanthaceae"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cucurbitaceae"	"Cyperaceae"	"Datiscaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frankeniaceae"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Nerium"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prosopis"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Styrax"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3013	3927	"Beysehir Gölü"	37.54167	31.5	5	"AWI"	5	-97	128	5	0.747663551401869	0	0	0	0	0	0	0.560747663551402	0	0	0	0	0	0	0	0	0	0	12.1495327102804	0	0	0	0.186915887850467	0	11.9626168224299	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560747663551402	0	0	0	0	0	0	0.186915887850467	0	0	0	0	0	60.1869158878505	0	5.23364485981308	6.72897196261682	0	0	0	0	0.747663551401869	0	0	0	0	0.373831775700935	0	0.373831775700935	0	0	0	0	0	0	0	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	20	"AWI"	20	54	383	198	1.42348754448399	0	0	0	0	0	0	0.474495848161329	0	0	0	0	0	0	0	0	0	0	2.72835112692764	0	0	0	0	0	3.6773428232503	0	0	0.237247924080664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.7651245551601	0	2.37247924080664	3.08422301304864	0	0	0	0	0.237247924080664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	40	"AWI"	40	272	682	460	2.05655526992288	0	0	0	0	0	0	0.51413881748072	0	0	0	0	0	0	0	0	0	0	2.82776349614396	0	0	0	0	0	2.05655526992288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12853470437018	0	0	0	0	0	0	0	0	0	0	90.6169665809769	0	0.25706940874036	1.15681233933162	0	0	0	0	0.25706940874036	0	0	0	0	0	0	0.12853470437018	0	0	0	0	0	0	0	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	60	"AWI"	60	501	965	720	1.64359861591695	0	0	0	0	0	0	0.259515570934256	0	0	0	0	0	0	0	0	0	0	4.93079584775086	0	0	0	0	0	3.28719723183391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.5813148788927	0	0.259515570934256	0.69204152249135	0	0	0	0	0.0865051903114187	0	0	0	0	0	0	0.173010380622837	0	0	0	0	0	0	0	0	0.0865051903114187	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	80	"AWI"	80	735	1245	979	0.649350649350649	0	0	0	0	0	0	0.487012987012987	0	0	0	0	0	0	0	0	0	0	3.57142857142857	0	0	0	0	0	20.7792207792208	0	0	0	0	0	0	0	0	0	0	0	0	0.324675324675325	0	0	0	0	0	0	0	0	0	0	0	0	0	72.0779220779221	0	0.649350649350649	0	0	0	0	0	1.2987012987013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162337662337662	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	100	"AWI"	100	975	1516	1239	1.83066361556064	0	0	0	0.22883295194508	0	0	0.91533180778032	0	0	0	0	0	0	0	0	0	0	2.51716247139588	0	0.22883295194508	0	0	0	32.4942791762014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.5812356979405	0	0.22883295194508	1.83066361556064	0	0	0	0	1.1441647597254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	110	"AWI"	110	1098	1649	1370	1.27388535031847	0	0	0	0	0	0	12.4203821656051	0	0	0	0	0	0	0	0	0	0	1.91082802547771	0	0	0.318471337579618	0	0	24.203821656051	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59235668789809	0	0	0.318471337579618	0	0.318471337579618	0	0	0	0	0	0	0	49.3630573248408	0	0	1.59235668789809	0	0	0	0	6.05095541401274	0.318471337579618	0	0	0	0.318471337579618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	125	"AWI"	125	1292	1846	1564	1.65289256198347	0	0	0	0	0	0	3.85674931129477	0	0.275482093663912	0	0	0	0	0	0	0	0	3.30578512396694	0.275482093663912	0	0	0	0	18.732782369146	0	0	0	0	0	0	0	0	0	0	0.275482093663912	0	0	1.37741046831956	0	0	0	0	0	0	0	0	0	0.550964187327824	0	0	59.7796143250689	0	0.826446280991736	5.78512396694215	0	0	0	0	1.92837465564738	0.550964187327824	0	0	0	0.275482093663912	0	0	0	0	0	0	0	0	0.550964187327824	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	140	"AWI"	140	1481	2038	1759	2.0460358056266	0	0	0	0	0	0	1.79028132992327	0	0	0	0	0	0	0	0	0	0	3.83631713554987	0	0	0	0	0	24.5524296675192	0	0	0	0	0	0	0	0	0	0	0	0	0.767263427109974	0.51150895140665	0	0	0	0	0.255754475703325	0	0	0	0	0	0	0	64.1943734015345	0	0.255754475703325	0	0	0	0.255754475703325	0	0.255754475703325	0	0	0	0	0.51150895140665	0	0.51150895140665	0	0	0	0	0	0	0.255754475703325	0	0	0	0	0
3013	3927	"Beysehir Gölü"	37.54167	31.5	160	"AWI"	160	1737	2292	2016	0.72463768115942	0	0.289855072463768	0	0.434782608695652	0	0	4.34782608695652	0	0.289855072463768	0	0	0	0	0	0	0	0	4.34782608695652	0	0.144927536231884	0.144927536231884	0	0	23.768115942029	0	0	0	0	0	0	0	0	0	0	0	0	0.289855072463768	0.434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	55.0724637681159	0	1.30434782608696	5.21739130434783	0	0	0	0	0.289855072463768	0	0	0	0	0.579710144927536	0.144927536231884	0.144927536231884	0	0	0	0	0	0	2.02898550724638	0	0	0	0	0
