"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Diapensiaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26219	45725	"Dalane"	58.244044	8.004356	516	"AWI"	516	-140	23	-55	2	88	1	0	0	0	0	98	0	0	0	0	0	0	0	0	20	1	15	0	0	0	0	0	6	4	0	0	0	19	1	7	0	0	0	0	0	0	5	80	0	0	0	4	1	0	43	0	0	0	1	5	0	0	0	3	0	0	7	5	3	0
26219	45725	"Dalane"	58.244044	8.004356	523	"AWI"	523	-74	267	57	0	69	0	2	0	0	0	116	0	0	0	0	0	0	0	0	30	1	16	0	0	0	0	0	0	5	0	0	1	17	1	11	0	2	1	0	0	0	9	0	0	0	0	0	0	0	34	0	0	0	0	18	0	0	0	2	0	0	10	2	6	0
26219	45725	"Dalane"	58.244044	8.004356	531	"AWI"	531	9	424	205	0	72	0	0	0	0	0	88	0	0	0	0	0	0	0	0	38	0	9	0	0	0	0	0	1	4	0	0	0	11	0	2	0	2	0	0	0	0	5	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	0	4	2	1	0
26219	45725	"Dalane"	58.244044	8.004356	539	"AWI"	539	122	546	350	0	59	0	0	0	0	0	92	0	0	0	0	0	0	0	0	18	0	27	0	0	0	0	0	0	3	0	0	0	17	1	5	0	8	0	0	0	1	2	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	2	2	3	0
26219	45725	"Dalane"	58.244044	8.004356	547	"AWI"	547	310	633	487	0	68	0	0	0	0	0	90	0	0	1	0	0	0	0	0	34	0	12	0	0	0	0	0	0	2	0	0	0	26	0	9	0	6	0	0	0	0	3	72	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	9	3	0	0
26219	45725	"Dalane"	58.244044	8.004356	555	"AWI"	555	473	726	601	2	73	0	0	0	0	0	98	0	0	0	0	0	0	0	0	23	0	32	0	0	0	0	0	0	2	0	0	0	18	0	28	0	4	0	0	0	1	2	106	0	0	0	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
26219	45725	"Dalane"	58.244044	8.004356	563	"AWI"	563	543	885	695	0	82	1	0	0	0	0	101	0	0	0	0	0	0	0	0	33	0	17	0	0	0	0	1	0	3	0	0	0	16	0	19	0	3	0	0	0	0	0	102	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	1	0	0	6	2	1	0
26219	45725	"Dalane"	58.244044	8.004356	571	"AWI"	571	605	1003	779	0	78	1	0	0	0	0	104	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	5	0	0	0	13	0	13	0	2	0	0	0	0	1	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	2	0	0	12	1	0	0
26219	45725	"Dalane"	58.244044	8.004356	579	"AWI"	579	667	1109	865	1	93	0	0	0	0	0	110	0	0	0	0	0	0	0	0	43	0	16	0	0	0	0	0	0	0	0	0	0	20	0	14	0	5	0	0	0	0	3	82	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	2	1	0	7	4	1	0
26219	45725	"Dalane"	58.244044	8.004356	587	"AWI"	587	738	1181	951	1	100	0	0	0	0	0	123	0	0	0	0	0	0	0	1	55	0	12	0	0	0	0	0	2	7	0	0	0	11	0	2	0	8	0	0	0	0	1	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	6	2	0	8	4	2	0
