"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Caryophyllaceae"	"Cyperaceae"	"Polygonaceae"	"Rubiaceae"	"Rumex"
15969	24624	"La Grange"	46.08972	-0.77528	10	"AWI"	10	295	1077	809	0	97.2222222222222	2.77777777777778	0	0
15969	24624	"La Grange"	46.08972	-0.77528	14	"AWI"	14	998	1364	1144	1.36986301369863	91.7808219178082	2.73972602739726	4.10958904109589	0
15969	24624	"La Grange"	46.08972	-0.77528	18	"AWI"	18	1077	2351	1464	0	95.2941176470588	1.17647058823529	3.52941176470588	0
15969	24624	"La Grange"	46.08972	-0.77528	22	"AWI"	22	1225	2979	1851	0	96.5116279069768	1.16279069767442	2.32558139534884	0
15969	24624	"La Grange"	46.08972	-0.77528	28	"AWI"	28	1389	3677	2496	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	34	"AWI"	34	1758	4358	3038	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	40	"AWI"	40	2061	4978	3578	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	47	"AWI"	47	2900	5232	4205	0	96.969696969697	0	3.03030303030303	0
15969	24624	"La Grange"	46.08972	-0.77528	53	"AWI"	53	3621	5503	4762	0	98.3870967741936	0	1.61290322580645	0
15969	24624	"La Grange"	46.08972	-0.77528	59	"AWI"	59	4398	5647	5354	0	92.8571428571429	0	7.14285714285714	0
15969	24624	"La Grange"	46.08972	-0.77528	65	"AWI"	65	4657	5769	5550	0	97.9452054794521	0	2.05479452054794	0
15969	24624	"La Grange"	46.08972	-0.77528	71	"AWI"	71	4848	5931	5657	0	98.1818181818182	0	1.81818181818182	0
15969	24624	"La Grange"	46.08972	-0.77528	77	"AWI"	77	5016	5999	5728	0	98.6111111111111	0	1.38888888888889	0
15969	24624	"La Grange"	46.08972	-0.77528	83	"AWI"	83	5173	6069	5799	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	90	"AWI"	90	5344	6161	5883	0	96.875	1.04166666666667	2.08333333333333	0
15969	24624	"La Grange"	46.08972	-0.77528	96	"AWI"	96	5523	6202	5963	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	102	"AWI"	102	5692	6265	6039	0	99.0291262135922	0	0.970873786407767	0
15969	24624	"La Grange"	46.08972	-0.77528	108	"AWI"	108	5869	6326	6119	0	99.3464052287582	0	0.65359477124183	0
15969	24624	"La Grange"	46.08972	-0.77528	114	"AWI"	114	6029	6425	6233	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	120	"AWI"	120	6092	6692	6337	0	97.1428571428571	0	2.85714285714286	0
15969	24624	"La Grange"	46.08972	-0.77528	126	"AWI"	126	6224	6884	6517	0	98.9130434782609	0	1.08695652173913	0
15969	24624	"La Grange"	46.08972	-0.77528	132	"AWI"	132	6334	7135	6686	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	139	"AWI"	139	6458	7330	6901	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	145	"AWI"	145	6645	7462	7082	0	93.75	0	6.25	0
15969	24624	"La Grange"	46.08972	-0.77528	151	"AWI"	151	6805	7614	7260	0	98.6301369863014	0	1.36986301369863	0
15969	24624	"La Grange"	46.08972	-0.77528	157	"AWI"	157	7140	7713	7422	0	94.1176470588235	0	5.88235294117647	0
15969	24624	"La Grange"	46.08972	-0.77528	163	"AWI"	163	7521	7991	7709	0	96.078431372549	0	1.96078431372549	1.96078431372549
15969	24624	"La Grange"	46.08972	-0.77528	169	"AWI"	169	7650	8887	8081	0	97.6744186046512	0	2.32558139534884	0
15969	24624	"La Grange"	46.08972	-0.77528	175	"AWI"	175	8009	9313	8629	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	182	"AWI"	182	8483	9870	9234	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	188	"AWI"	188	8984	10224	9687	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	192	"AWI"	192	9163	10612	9928	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	196	"AWI"	196	9299	10993	10109	0	100	0	0	0
15969	24624	"La Grange"	46.08972	-0.77528	200	"AWI"	200	9406	11497	10277	0	100	0	0	0
