"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Tilia"	"Ulmus"
3364	4362	"Punso"	57.68477	27.25948	130	"AWI"	130	-124	346	96	23	1	1	1	47	4	2	2	17	77	5	2	2	0	0	3
3364	4362	"Punso"	57.68477	27.25948	140	"AWI"	140	136	626	407	27	1	0	2	48	4	4	4	29	70	5	1	3	0	0	2
3364	4362	"Punso"	57.68477	27.25948	150	"AWI"	150	564	808	681	25	3	0	1	61	2	5	1	15	62	2	0	3	0	1	2
3364	4362	"Punso"	57.68477	27.25948	160	"AWI"	160	687	959	812	19	0	2	0	57	5	4	2	21	45	3	5	2	0	0	1
3364	4362	"Punso"	57.68477	27.25948	170	"AWI"	170	803	1181	969	24	1	1	1	54	5	5	2	14	43	3	5	2	0	1	3
3364	4362	"Punso"	57.68477	27.25948	180	"AWI"	180	986	1437	1198	31	2	0	0	64	7	6	2	14	57	3	1	3	0	1	3
3364	4362	"Punso"	57.68477	27.25948	190	"AWI"	190	1202	1796	1442	30	1	0	1	60	10	5	1	26	36	3	7	4	0	4	1
3364	4362	"Punso"	57.68477	27.25948	200	"AWI"	200	1405	2180	1750	30	1	1	0	47	12	6	1	36	29	2	6	3	0	5	4
3364	4362	"Punso"	57.68477	27.25948	210	"AWI"	210	1631	2503	2055	41	1	2	1	64	9	5	2	39	34	3	8	1	0	5	5
3364	4362	"Punso"	57.68477	27.25948	220	"AWI"	220	1895	2778	2359	100	4	2	2	120	20	15	4	76	60	14	16	3	3	14	16
3364	4362	"Punso"	57.68477	27.25948	230	"AWI"	230	2207	3035	2661	102	4	3	4	122	52	9	5	82	70	15	20	5	4	22	30
3364	4362	"Punso"	57.68477	27.25948	240	"AWI"	240	2584	3255	2949	96	4	7	5	118	58	15	4	44	46	9	10	7	2	24	36
3364	4362	"Punso"	57.68477	27.25948	250	"AWI"	250	2915	3546	3205	58	4	2	2	64	16	10	3	42	40	7	6	3	2	12	10
3364	4362	"Punso"	57.68477	27.25948	260	"AWI"	260	3100	3862	3453	57	1	1	0	51	24	11	2	19	21	8	8	4	4	11	14
3364	4362	"Punso"	57.68477	27.25948	270	"AWI"	270	3308	4146	3701	89	2	0	4	85	31	13	0	20	54	9	10	4	5	15	14
3364	4362	"Punso"	57.68477	27.25948	280	"AWI"	280	3517	4419	3955	82	2	3	4	89	36	9	2	38	45	8	21	4	3	18	26
3364	4362	"Punso"	57.68477	27.25948	290	"AWI"	290	3747	4660	4200	50	2	2	3	38	35	8	4	27	27	7	10	3	4	7	16
3364	4362	"Punso"	57.68477	27.25948	300	"AWI"	300	3998	4888	4458	53	0	1	5	48	33	11	3	31	24	8	9	5	1	15	21
3364	4362	"Punso"	57.68477	27.25948	310	"AWI"	310	4250	5123	4707	47	0	0	3	45	34	9	0	15	33	13	9	3	3	9	14
3364	4362	"Punso"	57.68477	27.25948	320	"AWI"	320	4506	5335	4949	55	1	0	4	46	40	12	0	17	35	8	10	3	4	12	29
3364	4362	"Punso"	57.68477	27.25948	330	"AWI"	330	4783	5532	5194	74	2	2	5	100	78	17	0	32	58	10	18	6	5	32	32
3364	4362	"Punso"	57.68477	27.25948	340	"AWI"	340	5126	5742	5433	106	5	2	8	94	58	16	6	34	62	13	14	7	7	44	46
3364	4362	"Punso"	57.68477	27.25948	350	"AWI"	350	5441	6185	5718	116	6	4	5	96	72	21	7	14	62	15	14	9	9	12	43
3364	4362	"Punso"	57.68477	27.25948	360	"AWI"	360	5712	6627	6114	46	5	0	4	55	41	15	2	19	40	9	5	3	1	25	28
3364	4362	"Punso"	57.68477	27.25948	370	"AWI"	370	6035	6997	6514	33	1	0	2	43	31	7	1	17	31	5	5	7	2	14	25
3364	4362	"Punso"	57.68477	27.25948	380	"AWI"	380	6407	7298	6912	37	2	0	2	53	28	8	0	19	37	6	2	4	1	15	25
3364	4362	"Punso"	57.68477	27.25948	390	"AWI"	390	6876	7518	7319	35	3	1	3	50	26	4	0	9	46	3	3	3	3	10	21
3364	4362	"Punso"	57.68477	27.25948	400	"AWI"	400	7397	7775	7579	41	1	0	1	47	23	4	0	19	46	2	4	2	1	13	19
3364	4362	"Punso"	57.68477	27.25948	405	"AWI"	405	7490	7891	7679	37	2	0	0	54	21	2	0	20	44	2	1	0	0	12	15
3364	4362	"Punso"	57.68477	27.25948	410	"AWI"	410	7568	7982	7774	63	2	0	0	74	37	4	0	30	68	3	2	3	0	18	14
3364	4362	"Punso"	57.68477	27.25948	415	"AWI"	415	7666	8068	7875	52	6	0	0	86	36	5	0	26	77	5	3	0	0	21	20
3364	4362	"Punso"	57.68477	27.25948	420	"AWI"	420	7779	8137	7974	22	2	0	0	59	8	4	0	14	82	6	1	2	0	5	9
3364	4362	"Punso"	57.68477	27.25948	425	"AWI"	425	7935	8188	8069	18	3	0	0	23	5	3	0	5	49	2	0	0	0	2	3
3364	4362	"Punso"	57.68477	27.25948	430	"AWI"	430	8017	8317	8176	21	3	0	0	41	14	2	0	8	70	2	1	0	0	2	4
3364	4362	"Punso"	57.68477	27.25948	435	"AWI"	435	8149	8393	8283	10	3	0	0	34	13	4	0	3	44	2	0	0	0	3	4
3364	4362	"Punso"	57.68477	27.25948	440	"AWI"	440	8240	8707	8426	12	0	0	1	40	8	5	0	3	51	2	0	0	0	4	2
