"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	2.5	"AWI"	2.5	808	1028	955	0.0273448181569593	15.5045118949959	0.35548263604047	0.164068908941756	0	0.984413453650533	0	0	0.0546896363139185	0	0	0.0273448181569593	0	5.66037735849057	0.929723817336615	0	0	0	0	1.42193054416188	0.0273448181569593	0	0	8.88706590101176	0.0273448181569593	0	0	0	0.0546896363139185	6.5080667213563	28.3292316106098	0.191413727098715	23.2977850697293	0	0	0	4.23844681432869	0.0546896363139185	0.0273448181569593	0	0	1.20317199890621	1.12113754443533	0	0	0	0	0.437517090511348	0.464861908668307	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	7.5	"AWI"	7.5	832.5	1056.5	974	0	16.7669819432502	0.286615075952995	0.0859845227858985	0.0286615075952995	0.888506735454285	0	0	0.0286615075952995	0	0	0	0	4.75781026081972	0.773860705073087	0	0	0	0	2.14961306964746	0.0859845227858985	0	0.0286615075952995	9.45829750644884	0	0	0	0	0.0859845227858985	5.56033247348811	24.4196044711952	0.171969045571797	25.3367727142448	0	0	0	5.44568644310691	0.0286615075952995	0.0286615075952995	0	0.0286615075952995	1.94898251648037	0.687876182287188	0.0286615075952995	0	0	0	0.372599598738894	0.515907136715391	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	12.5	"AWI"	12.5	863	1080	993	0	16.2374020156775	0.475923852183651	0.0559910414333707	0	0.755879059350504	0	0	0	0	0	0	0	4.78723404255319	0.755879059350504	0	0	0	0	1.28779395296753	0.0279955207166853	0	0	13.6898096304591	0.0559910414333707	0	0	0.0279955207166853	0.0559910414333707	3.49944008958567	21.2486002239642	0.167973124300112	28.1354983202688	0	0	0	4.1993281075028	0.083986562150056	0.083986562150056	0	0	2.46360582306831	0.727883538633819	0	0	0	0	0.643896976483763	0.531914893617021	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	17.5	"AWI"	17.5	896.5	1105	1012	0	17.8797098057571	0.304235899836181	0.18722209220688	0	0.936110461034402	0	0	0	0	0	0	0	5.54645448162883	0.725485607301662	0	0	0	0	1.61479054528434	0	0	0	13.9246431078867	0	0	0	0	0	2.22326234495671	18.6285981745846	0.304235899836181	30.5874093142991	0	0	0	3.65083079803417	0.0702082845775802	0.0468055230517201	0	0	1.91902644512052	0.444652468991341	0	0	0	0	0.772291130353382	0.2340276152586	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	22.5	"AWI"	22.5	932.5	1123	1032	0	17.0742358078603	0.305676855895196	0.305676855895196	0	0.895196506550218	0	0	0	0	0	0	0	5.69868995633188	0.393013100436681	0	0	0	0	1.5938864628821	0	0	0	15.8951965065502	0	0	0	0	0.0218340611353712	1.76855895196507	15.938864628821	0.218340611353712	32.2489082969432	0	0	0	3.42794759825328	0.0218340611353712	0.0218340611353712	0	0.0436681222707424	2.55458515283843	0.611353711790393	0	0	0	0	0.829694323144105	0.131004366812227	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	27.5	"AWI"	27.5	962.5	1150.5	1053	0	19.2471769134253	0.27603513174404	0.250941028858218	0	0.577164366373902	0	0	0.0501882057716437	0	0	0	0	7.40276035131744	0.903387703889586	0	4.7176913425345	0	0	2.00752823086575	0	0	0	15.5583437892095	0	0	0	0	0.0250941028858218	1.40526976160602	17.038895859473	0.150564617314931	21.8820577164366	0	0	0	4.5922208281054	0	0.0752823086574655	0	0	2.23337515683814	0.351317440401506	0	0	0	0	1.10414052697616	0.125470514429109	0.0250941028858218
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	32.5	"AWI"	32.5	982.5	1170.5	1075	0	20.2730551262236	0.515198351365276	0.20607934054611	0	0.978876867594024	0	0	0.0257599175682638	0	0	0	0	6.10510046367852	0.566718186501803	0	0	0	0	4.22462648119526	0.0257599175682638	0	0	16.6409067490984	0	0	0	0	0.0772797527047913	1.26223596084493	16.0226687274601	0.128799587841319	24.6007212776919	0	0	0	4.97166409067491	0	0.0772797527047913	0	0	1.82895414734673	0.437918598660484	0.0257599175682638	0	0	0	0.824317362184441	0.180319422977846	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	37.5	"AWI"	37.5	997	1196.5	1097.5	0	14.8616600790514	0.395256916996047	0.0790513833992095	0	1.02766798418972	0	0	0.0263504611330698	0	0	0	0	6.53491436100132	1.23847167325428	0	0	0	0	4.50592885375494	0	0	0.0527009222661397	17.6284584980237	0	0	0	0	0.131752305665349	1.47562582345191	19.2885375494071	0.184453227931489	22.9249011857708	0	0	0	6.48221343873518	0.0263504611330698	0.0527009222661397	0	0	1.89723320158103	0.500658761528327	0	0	0	0	0.632411067193676	0.0527009222661397	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	42.5	"AWI"	42.5	1018.5	1212	1120.5	0	15.2514427040396	0.412201154163232	0.164880461665293	0	1.26408353943391	0	0	0	0	0	0	0	8.24402308326463	1.23660346248969	0	0	0	0	7.39214069799395	0	0	0.0274800769442154	16.7903270129156	0	0	0	0	0.137400384721077	1.15416323165705	13.904918933773	0.109920307776862	18.7688925528991	0	0	0	12.1461940093432	0.0824402308326463	0.0549601538884309	0	0	1.70376477054136	0.659521846661171	0	0	0	0	0.412201154163232	0.0824402308326463	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	47.5	"AWI"	47.5	1036	1235	1143	0	13.497506234414	0.405236907730673	0.187032418952618	0	1.46508728179551	0	0	0	0	0	0	0	6.23441396508728	1.30922693266833	0	0	0	0	8.69700748129676	0	0	0	8.97755610972569	0	0	0	0	0.249376558603491	2.11970074812968	17.643391521197	0.155860349127182	17.8615960099751	0	0	0	18.4226932668329	0	0.0623441396508728	0	0	1.3715710723192	0.716957605985037	0.0311720698254364	0	0	0	0.3428927680798	0.249376558603491	0
