"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Malus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	0	"AWI"	0	-155	18	-55	0	0	309	12	0	6	0	137	2	0	0	0	0	0	0	8	9	0	0	0	0	28	1	6	0	0	0	5	2	1	0	1	0	0	0	9	5	476	6	144	0	3	0	91	0	0	0	0	24	6	0	0	0	0	0	0	0	1	1	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	5	"AWI"	5	-145	25	-48	0	0	222	5	0	4	0	99	4	0	0	0	0	0	0	2	4	0	5	0	0	18	1	4	0	0	0	1	0	1	0	0	0	0	0	4	1	331	0	116	0	2	0	68	0	0	0	1	13	3	0	0	0	0	0	0	0	1	3	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	15	"AWI"	15	-130	46	-33	0	2	126	4	0	5	0	47	1	0	0	0	0	0	0	3	6	0	0	0	0	17	0	2	0	0	0	3	0	0	0	0	0	0	0	11	1	329	0	0	0	0	0	58	0	0	0	1	5	3	0	0	0	0	1	0	0	0	3	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	25	"AWI"	25	-120	74	-20	0	0	156	2	0	4	0	56	1	0	2	0	0	0	0	3	15	0	0	0	0	14	0	3	0	0	0	4	0	0	0	0	0	0	0	10	2	296	0	0	0	1	0	56	0	0	0	0	6	2	0	0	0	0	0	0	0	0	1	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	40	"AWI"	40	-109	128	0	0	0	122	5	0	2	0	67	0	0	0	0	0	0	0	6	8	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	19	3	296	6	0	0	0	0	58	0	0	0	0	13	2	0	0	0	0	0	0	0	1	1	1
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	50	"AWI"	50	-93	147	14	0	0	89	8	5	3	0	42	1	0	0	0	1	0	0	6	6	0	5	0	0	7	1	0	0	0	0	2	0	1	0	0	1	0	0	4	2	366	0	0	0	0	0	35	0	0	0	0	19	4	0	0	0	0	0	0	0	1	0	1
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	65	"AWI"	65	-75	174	38	0	0	122	1	0	5	0	42	1	0	4	0	0	0	0	5	6	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	6	1	317	5	0	0	2	0	41	0	0	0	1	11	1	2	0	0	0	0	0	0	1	4	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	75	"AWI"	75	-65	201	52	0	0	87	2	0	4	0	38	5	0	0	0	0	0	0	6	16	0	0	0	0	17	0	3	0	1	0	2	0	0	0	0	0	0	0	14	2	328	4	0	0	0	0	45	0	0	0	1	13	0	0	0	0	1	0	0	0	1	2	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	90	"AWI"	90	-48	236	74	0	0	133	3	0	2	0	58	5	0	1	0	0	0	0	6	5	0	0	0	0	8	0	0	1	0	0	5	0	0	0	0	0	0	0	6	1	297	6	0	0	1	0	56	0	0	0	0	15	3	1	0	0	0	0	0	0	3	0	1
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	101	"AWI"	101	-33	252	92	0	0	110	3	0	1	0	37	5	0	0	0	0	0	0	10	7	0	0	0	0	11	0	1	0	0	0	3	0	0	0	0	0	0	1	10	3	301	0	0	0	0	0	42	0	0	0	0	15	2	1	0	0	0	0	0	0	2	2	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	125	"AWI"	125	-10	293	130	0	0	102	3	0	4	0	24	3	0	1	0	0	0	0	4	9	0	0	0	0	15	0	2	0	0	0	2	0	2	0	0	0	0	0	7	2	345	0	0	0	0	0	53	0	0	0	0	24	0	1	0	0	0	0	0	0	0	3	2
13332	19901	"Grosser Treppelsee"	52.142406	14.451838	150	"AWI"	150	24	331	170	0	0	84	2	0	2	0	17	4	0	0	0	0	0	0	4	12	0	2	0	0	10	0	0	0	1	0	3	0	2	0	0	0	0	0	3	3	420	0	0	0	0	0	38	0	0	0	1	11	0	1	0	1	0	0	0	0	0	1	2
