"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Asteraceae"	"Boraginaceae"	"Cyperaceae"	"Indeterminable"	"Juniperus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Rumex"	"Scrophulariaceae"	"Urticaceae"
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	0	"AWI"	0	-107	86	-33	0	0	1	77	0	5	52	2	49	1	4	0	0	4
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	10	"AWI"	10	-22	328	108	14	0	1	88	5	2	41	3	27	0	4	0	0	5
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	20	"AWI"	20	73	509	255	11	0	1	49	5	9	26	4	35	2	2	1	2	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	30	"AWI"	30	188	675	404	9	0	2	56	5	5	47	2	34	1	3	2	3	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	40	"AWI"	40	312	835	558	11	0	0	67	5	6	34	3	23	0	3	0	0	2
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	50	"AWI"	50	450	974	709	34	0	2	44	5	8	37	4	31	0	4	0	2	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	60	"AWI"	60	591	1107	859	56	0	3	33	5	8	37	2	34	0	6	1	2	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	70	"AWI"	70	750	1227	1009	33	0	2	56	4	21	35	2	53	0	5	2	0	4
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	80	"AWI"	80	918	1344	1159	54	0	3	55	4	13	37	0	44	0	4	2	3	5
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	90	"AWI"	90	1111	1446	1305	59	0	2	55	5	11	17	1	26	0	3	4	3	7
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	100	"AWI"	100	1323	1552	1427	45	0	3	41	5	9	17	0	16	0	4	3	2	5
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	110	"AWI"	110	1386	1700	1526	39	0	2	32	6	7	14	0	18	0	6	2	1	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	120	"AWI"	120	1457	1824	1622	11	0	1	43	2	1	0	2	22	0	1	0	1	2
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	130	"AWI"	130	1532	1944	1719	3	0	1	67	2	0	0	1	16	3	11	0	0	0
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	140	"AWI"	140	1612	2054	1818	2	0	0	78	3	3	0	2	26	2	13	0	2	1
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	150	"AWI"	150	1692	2163	1916	4	0	3	121	4	0	0	3	32	5	19	0	0	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	160	"AWI"	160	1775	2271	2015	4	93	5	91	4	4	0	5	49	8	22	0	1	2
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	170	"AWI"	170	1860	2380	2115	1	0	2	59	11	4	0	5	0	0	4	0	3	2
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	180	"AWI"	180	1953	2477	2213	4	0	2	33	5	4	3	3	0	0	11	0	6	12
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	190	"AWI"	190	2043	2580	2315	1	0	1	21	2	2	10	7	34	0	13	0	11	13
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	200	"AWI"	200	2135	2672	2414	2	0	2	33	2	4	6	10	22	0	16	0	9	18
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	210	"AWI"	210	2225	2768	2514	0	0	3	42	3	5	0	9	0	0	21	0	5	13
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	220	"AWI"	220	2318	2865	2612	2	0	1	31	4	7	8	3	0	0	33	0	5	8
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	230	"AWI"	230	2411	2960	2712	2	0	2	21	4	6	8	0	17	0	19	0	5	3
23923	41525	"Almenara de Adaja"	41.19194	-4.66806	240	"AWI"	240	2508	3064	2807	3	0	0	16	6	8	15	1	0	0	28	0	7	6
