"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Lamiaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
14549	22805	"Les Palanques"	42.16222	2.43806	186	"AWI"	186	1493	2293	1903	6.81818181818182	0	11.3636363636364	0	2.27272727272727	0	0	0	0	0	0	4.54545454545455	0	0	2.27272727272727	0	18.1818181818182	0	0	0	31.8181818181818	2.27272727272727	0	0	13.6363636363636	4.54545454545455	0	0	0	0	2.27272727272727
14549	22805	"Les Palanques"	42.16222	2.43806	195	"AWI"	195	1592	2374	1998	5.68181818181818	0	1.13636363636364	0	0	0	2.27272727272727	0	0	0	1.13636363636364	5.68181818181818	3.40909090909091	0	2.27272727272727	0	2.27272727272727	0	0	1.13636363636364	60.2272727272727	1.13636363636364	5.68181818181818	0	5.68181818181818	1.13636363636364	0	0	0	0	1.13636363636364
14549	22805	"Les Palanques"	42.16222	2.43806	204	"AWI"	204	1699	2452	2090	2.40963855421687	0	1.20481927710843	1.20481927710843	0	0	0	0	0	0	0	1.20481927710843	22.8915662650602	0	2.40963855421687	0	0	0	0	0	66.2650602409639	1.20481927710843	0	0	0	1.20481927710843	0	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	213	"AWI"	213	1808	2526	2182	3.17460317460317	0	3.96825396825397	0	0	0	0	0	0	0	0	3.17460317460317	0	0	0.793650793650794	0	0	0	0	0	81.7460317460317	0	0	0	2.38095238095238	3.96825396825397	0.793650793650794	0	0	0	0
14549	22805	"Les Palanques"	42.16222	2.43806	222	"AWI"	222	1927	2598	2275	2.44755244755245	0	4.89510489510489	0	0.699300699300699	0	0	0	0	0	0	1.3986013986014	0	0	2.0979020979021	0	0.34965034965035	0	0	0.34965034965035	83.2167832167832	0	0	0	1.3986013986014	1.74825174825175	0.699300699300699	0	0	0.699300699300699	0
14549	22805	"Les Palanques"	42.16222	2.43806	231	"AWI"	231	2056	2662	2366	0.952380952380952	0	13.3333333333333	0	0	0.952380952380952	0	0	0	0	0	6.66666666666667	0	0	5.71428571428571	0.952380952380952	0	0	1.9047619047619	0	60	0	0	0	6.66666666666667	0.952380952380952	0.952380952380952	0	0	0	0.952380952380952
14549	22805	"Les Palanques"	42.16222	2.43806	240	"AWI"	240	2182	2714	2455	13.3333333333333	0	6.66666666666667	0.740740740740741	0.740740740740741	0	2.96296296296296	1.48148148148148	0	0	0.740740740740741	6.66666666666667	0	0	0.740740740740741	0	6.66666666666667	0	0	0.740740740740741	33.3333333333333	2.22222222222222	0	0	17.037037037037	2.22222222222222	0	0	0	0	3.7037037037037
14549	22805	"Les Palanques"	42.16222	2.43806	249	"AWI"	249	2261	2962	2585	2.95566502463054	0	3.44827586206897	0	0.985221674876847	0	0.985221674876847	0	0	0	0	0	28.5714285714286	0	1.97044334975369	0	1.97044334975369	0	0	0.492610837438424	39.4088669950739	0.492610837438424	0	0	13.7931034482759	1.47783251231527	0	0	0	0.492610837438424	2.95566502463054
14549	22805	"Les Palanques"	42.16222	2.43806	258	"AWI"	258	2351	3151	2713	12.5	0	1.5625	0	0	1.5625	0	0	0	0	0	3.125	20.3125	0	1.5625	0.78125	4.6875	0	0.78125	0	27.34375	0	0	0	10.9375	0.78125	12.5	0	0.78125	0	0.78125
14549	22805	"Les Palanques"	42.16222	2.43806	266	"AWI"	266	2438	3319	2818	7.6555023923445	0.478468899521531	0.956937799043062	2.39234449760766	0	1.91387559808612	3.34928229665072	0.478468899521531	2.39234449760766	0	0	10.5263157894737	6.69856459330144	0	0.956937799043062	0	4.78468899521531	0	0	0	16.7464114832536	3.34928229665072	0	0.956937799043062	27.7511961722488	7.6555023923445	0.956937799043062	0	0	0	0
