"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14628	22938	"Zalavár"	46.78528	17.155	50	"AWI"	50	521	1848	1155	12	0	188	1	0	0	1	0	10	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	1	0	5	0	0	3	2	8	227	0	10	0	0	6	0	0	0	0	0	0	0	0	0	3	3	0	1
14628	22938	"Zalavár"	46.78528	17.155	60	"AWI"	60	765	2030	1395	15	4	446	1	0	0	22	0	6	2	0	0	0	0	0	9	8	0	1	0	23	0	0	0	0	0	0	2	0	3	1	7	7	347	0	46	0	0	28	5	0	0	3	0	2	1	0	0	10	16	0	0
14628	22938	"Zalavár"	46.78528	17.155	65	"AWI"	65	878	2132	1506	69	0	361	0	0	0	4	0	5	0	0	0	0	0	0	11	0	0	1	0	6	2	0	0	0	0	0	0	0	0	1	7	15	266	0	14	0	0	8	0	0	0	1	0	0	0	0	1	2	6	2	0
14628	22938	"Zalavár"	46.78528	17.155	70	"AWI"	70	1003	2205	1626	19	1	275	0	7	1	6	0	12	3	1	0	0	0	0	14	46	0	0	0	62	1	0	0	0	0	0	0	0	0	0	20	5	41	0	16	0	0	53	2	0	0	4	0	1	0	0	1	4	7	0	0
14628	22938	"Zalavár"	46.78528	17.155	80	"AWI"	80	1250	2390	1869	5	0	488	1	0	0	41	0	15	7	7	0	0	0	1	17	81	0	2	0	26	1	3	0	0	0	0	0	0	1	3	28	1	45	0	219	0	0	56	11	0	0	7	0	15	1	0	0	0	8	0	2
14628	22938	"Zalavár"	46.78528	17.155	85	"AWI"	85	1373	2472	2001	82	0	65	0	0	0	3	0	4	0	1	0	0	0	0	16	22	0	0	0	6	0	0	0	0	1	1	0	0	0	1	9	19	142	0	52	0	0	11	3	0	0	1	0	0	0	0	2	12	9	0	0
14628	22938	"Zalavár"	46.78528	17.155	90	"AWI"	90	1490	2581	2119	28	0	38	4	0	0	0	0	0	0	0	0	0	0	0	4	5	24	2	0	0	0	0	0	0	0	4	0	0	0	0	0	17	93	0	14	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0
14628	22938	"Zalavár"	46.78528	17.155	95	"AWI"	95	1666	2645	2232	40	0	50	2	0	0	12	0	5	0	0	0	0	0	1	10	6	1	1	0	2	0	0	0	0	0	3	0	0	1	0	4	23	57	0	138	0	0	11	10	0	0	6	0	0	0	0	2	12	11	0	0
14628	22938	"Zalavár"	46.78528	17.155	100	"AWI"	100	1775	2742	2347	23	0	60	4	0	2	27	0	5	2	0	0	0	0	0	37	6	0	0	0	17	1	0	1	0	0	0	5	1	0	2	18	10	38	0	80	0	0	56	11	0	0	3	0	1	1	0	1	18	11	0	0
14628	22938	"Zalavár"	46.78528	17.155	107	"AWI"	107	2162	2854	2505	39	0	33	2	0	0	9	0	0	1	0	0	0	0	1	21	7	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	5	16	0	191	0	0	34	16	0	0	1	0	0	0	0	1	6	7	0	0
14628	22938	"Zalavár"	46.78528	17.155	112	"AWI"	112	2369	2948	2636	22	0	38	2	0	4	9	0	6	1	0	0	0	0	0	42	7	1	0	0	8	0	0	0	0	0	2	0	0	0	2	13	37	36	0	169	0	0	36	6	0	0	2	0	0	0	0	1	10	23	0	1
14628	22938	"Zalavár"	46.78528	17.155	115	"AWI"	115	2467	3081	2745	81	0	42	4	0	0	5	0	7	0	0	0	0	0	0	45	26	2	1	0	1	1	0	0	0	0	0	0	0	1	3	3	41	99	0	143	0	0	15	0	0	0	0	0	0	0	0	0	9	15	0	0
14628	22938	"Zalavár"	46.78528	17.155	120	"AWI"	120	2585	3543	3013	32	0	74	2	0	1	16	0	7	3	1	0	0	0	2	18	3	0	0	0	15	0	0	0	0	0	1	1	0	2	1	16	11	22	0	28	0	0	33	0	0	0	6	0	1	0	0	2	9	5	0	2
14628	22938	"Zalavár"	46.78528	17.155	125	"AWI"	125	2657	4137	3277	32	1	32	0	0	0	10	0	3	4	0	0	0	0	0	36	13	0	0	0	21	2	0	0	0	0	0	0	0	0	1	10	19	37	0	59	0	0	50	0	0	0	6	0	1	0	0	0	2	10	0	0
14628	22938	"Zalavár"	46.78528	17.155	130	"AWI"	130	2871	4478	3603	12	0	27	5	0	0	9	0	16	14	2	0	0	0	0	45	17	0	0	0	38	8	0	0	0	0	2	1	0	2	0	10	9	17	0	137	0	0	78	3	0	0	3	0	5	1	0	0	3	3	0	3
14628	22938	"Zalavár"	46.78528	17.155	135	"AWI"	135	3043	4687	3974	15	3	32	1	0	0	6	0	11	2	0	0	0	0	0	49	8	0	0	0	77	18	0	0	0	0	3	6	0	0	0	13	10	10	0	198	0	0	122	5	0	0	3	0	2	1	0	2	3	15	0	3
