"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Rubiaceae"	"Rumex"	"Scrophulariaceae"	"Urticaceae"	"Viburnum"
14512	22730	"Lanzahíta"	40.22331	-4.93679	0	"AWI"	0	-143	26	-64	8	0	2	6	4	0	7	33	0	0	2	5	33	21	8	3	15	8	3	11	6	1	36	4	297	3	2	45	21	7	0	2	3	0	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	2	"AWI"	2	-88	104	2	9	2	1	7	2	0	5	50	3	2	0	11	46	33	6	2	9	9	3	13	6	0	17	5	164	0	3	66	19	3	3	0	2	1	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	4	"AWI"	4	-61	207	68	11	2	2	8	2	1	8	43	3	2	1	8	56	11	0	2	9	7	2	21	10	1	21	4	175	2	1	54	11	9	3	0	3	0	4
14512	22730	"Lanzahíta"	40.22331	-4.93679	6	"AWI"	6	-39	326	136	13	0	2	5	0	0	5	38	2	3	1	13	39	9	8	3	11	11	7	9	9	0	29	5	324	3	1	39	23	16	0	0	4	0	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	8	"AWI"	8	-23	452	201	15	0	0	4	7	0	13	24	0	0	0	9	67	9	13	0	12	12	5	8	7	1	5	4	181	0	0	72	9	8	0	0	0	0	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	10	"AWI"	10	-8	578	267	15	2	0	0	5	1	0	11	1	1	1	11	14	33	16	2	23	11	2	8	5	3	0	14	512	3	1	27	36	15	0	0	1	1	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	12	"AWI"	12	106	600	331	25	0	0	3	11	0	0	6	0	1	2	13	22	21	23	4	18	9	5	19	11	4	0	11	538	4	0	31	28	21	2	0	2	5	2
14512	22730	"Lanzahíta"	40.22331	-4.93679	14	"AWI"	14	211	624	399	15	5	5	2	4	3	8	69	1	3	2	6	77	7	23	2	11	11	7	9	4	1	0	3	234	0	13	66	7	8	1	0	1	13	1
14512	22730	"Lanzahíta"	40.22331	-4.93679	16	"AWI"	16	301	655	469	11	8	5	2	3	4	9	96	3	5	0	8	65	8	37	0	21	9	8	11	4	1	0	3	235	0	18	59	11	5	0	0	0	16	0
14512	22730	"Lanzahíta"	40.22331	-4.93679	18	"AWI"	18	377	691	541	23	2	2	5	7	0	0	10	2	2	1	6	23	33	15	2	13	5	2	11	6	2	0	9	411	4	0	44	23	13	0	0	1	3	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	20	"AWI"	20	432	753	612	18	3	2	5	13	1	0	0	1	3	3	7	19	41	25	1	22	15	2	23	7	1	0	12	457	4	1	38	15	24	2	0	2	3	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	22	"AWI"	22	525	770	653	23	0	0	4	9	0	2	10	2	0	2	5	44	23	0	0	18	11	3	17	12	0	0	11	376	0	1	25	28	27	1	0	3	0	4
14512	22730	"Lanzahíta"	40.22331	-4.93679	24	"AWI"	24	610	791	695	11	3	2	6	11	1	7	7	2	1	3	7	93	21	43	4	9	13	1	11	9	3	0	4	177	1	1	78	19	23	2	5	5	3	1
14512	22730	"Lanzahíta"	40.22331	-4.93679	26	"AWI"	26	662	832	739	21	0	0	5	7	0	0	6	0	0	0	4	11	21	27	3	11	7	0	9	4	3	0	9	498	2	0	39	21	25	5	0	2	0	2
14512	22730	"Lanzahíta"	40.22331	-4.93679	28	"AWI"	28	692	902	784	19	2	1	5	8	0	0	0	3	5	1	0	9	19	15	3	13	11	4	13	8	3	0	9	528	0	1	42	33	32	3	2	0	0	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	30	"AWI"	30	709	998	827	11	1	0	6	5	0	0	9	0	1	0	9	13	23	21	0	8	6	0	19	6	5	0	15	458	4	0	45	15	19	0	3	3	1	2
14512	22730	"Lanzahíta"	40.22331	-4.93679	32	"AWI"	32	779	1016	873	15	3	2	1	9	1	0	10	1	2	1	5	19	15	11	1	9	11	3	11	12	1	0	13	476	2	0	41	18	23	1	0	2	1	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	34	"AWI"	34	825	1041	920	17	0	0	5	8	0	0	0	2	3	2	4	32	23	13	2	7	8	4	9	8	0	0	11	506	0	0	32	23	11	0	0	3	0	4
14512	22730	"Lanzahíta"	40.22331	-4.93679	36	"AWI"	36	858	1088	968	23	0	2	6	6	0	1	0	3	4	3	5	28	32	11	3	11	9	3	11	8	3	0	23	464	2	1	29	27	21	1	0	0	0	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	38	"AWI"	38	884	1146	1018	19	3	1	5	7	1	0	0	1	3	1	16	41	14	0	2	21	7	5	9	12	3	0	11	406	4	2	42	19	33	3	2	4	2	8
14512	22730	"Lanzahíta"	40.22331	-4.93679	40	"AWI"	40	910	1217	1068	18	0	0	7	8	0	1	10	0	5	4	7	33	15	23	1	9	11	4	8	9	0	0	14	440	7	0	32	21	26	3	0	4	2	0
14512	22730	"Lanzahíta"	40.22331	-4.93679	42	"AWI"	42	1028	1247	1137	26	2	0	8	11	0	0	0	1	5	3	8	69	23	16	3	9	12	3	13	13	4	0	7	518	0	0	15	13	27	2	0	0	0	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	44	"AWI"	44	1114	1290	1203	17	0	0	11	9	0	0	0	2	2	2	11	57	19	0	2	12	9	4	12	16	0	0	9	339	2	0	37	23	19	4	0	0	0	4
14512	22730	"Lanzahíta"	40.22331	-4.93679	46	"AWI"	46	1162	1377	1276	13	3	3	7	3	2	5	42	2	3	2	21	10	11	26	1	6	8	5	3	7	1	33	1	311	0	0	103	32	7	0	0	2	2	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	48	"AWI"	48	1196	1502	1346	11	3	1	8	3	2	12	64	3	3	2	19	9	7	36	1	7	12	5	6	7	0	49	0	286	2	2	78	21	8	2	0	3	3	0
14512	22730	"Lanzahíta"	40.22331	-4.93679	50	"AWI"	50	1222	1633	1414	9	5	1	5	4	0	9	77	0	4	1	13	11	8	24	0	8	7	4	7	9	3	65	4	178	0	0	93	18	9	0	6	7	4	1
14512	22730	"Lanzahíta"	40.22331	-4.93679	52	"AWI"	52	1291	1659	1463	8	3	4	3	5	3	13	71	0	3	2	5	17	4	18	2	11	9	2	8	10	3	43	1	261	0	2	77	16	13	2	0	2	1	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	54	"AWI"	54	1342	1690	1513	11	0	5	5	4	2	11	81	2	3	3	23	13	4	18	4	9	9	3	11	11	3	51	0	203	2	0	89	27	8	0	5	2	3	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	56	"AWI"	56	1389	1739	1564	6	3	3	3	3	2	9	57	0	2	3	11	8	11	20	3	9	8	5	6	13	2	39	2	200	1	1	67	15	9	3	6	0	2	2
14512	22730	"Lanzahíta"	40.22331	-4.93679	58	"AWI"	58	1415	1798	1611	7	2	5	4	6	3	9	62	3	4	0	14	16	13	28	2	3	7	7	5	12	2	44	0	262	0	1	56	18	13	2	4	3	2	4
14512	22730	"Lanzahíta"	40.22331	-4.93679	60	"AWI"	60	1433	1879	1657	5	2	5	3	7	2	21	49	3	2	3	18	69	15	24	1	4	11	0	5	15	3	27	2	197	0	2	79	13	11	2	4	5	3	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	62	"AWI"	62	1574	1909	1736	8	0	7	5	3	1	17	66	0	3	4	7	54	6	16	1	13	12	0	4	14	1	38	0	272	0	0	69	23	8	2	0	0	1	2
14512	22730	"Lanzahíta"	40.22331	-4.93679	64	"AWI"	64	1697	1957	1813	4	2	4	2	7	2	7	58	3	2	0	8	26	7	19	0	9	13	2	7	6	2	0	6	413	6	1	47	27	19	1	0	1	2	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	66	"AWI"	66	1775	2024	1895	5	2	0	3	5	0	3	40	2	1	2	7	23	9	0	2	11	9	2	6	8	0	0	8	400	7	0	53	33	23	2	0	2	2	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	68	"AWI"	68	1812	2117	1977	6	5	0	3	5	1	0	9	3	2	3	6	6	13	28	2	9	9	0	9	7	2	0	8	374	7	1	29	29	16	3	0	3	2	6
14512	22730	"Lanzahíta"	40.22331	-4.93679	70	"AWI"	70	1844	2238	2058	13	3	1	4	6	0	0	10	3	3	1	11	7	15	34	3	18	11	3	11	9	4	0	9	420	8	1	33	42	27	0	3	2	1	7
14512	22730	"Lanzahíta"	40.22331	-4.93679	72	"AWI"	72	1910	2262	2101	18	0	0	5	7	2	0	14	0	2	0	9	8	21	0	1	5	13	3	6	11	3	0	11	417	6	1	21	35	18	0	0	0	0	8
14512	22730	"Lanzahíta"	40.22331	-4.93679	74	"AWI"	74	1967	2296	2144	9	3	0	0	3	1	0	14	3	3	3	9	3	23	37	0	6	8	4	8	9	0	0	13	420	5	0	32	29	23	3	0	1	3	5
14512	22730	"Lanzahíta"	40.22331	-4.93679	76	"AWI"	76	2006	2339	2189	9	2	0	3	8	0	0	17	2	2	4	3	4	13	33	3	10	8	0	9	8	0	0	17	391	7	0	18	31	33	0	0	1	0	7
14512	22730	"Lanzahíta"	40.22331	-4.93679	78	"AWI"	78	2030	2396	2229	8	0	1	3	4	1	1	8	1	7	2	4	4	21	35	2	7	9	3	7	10	3	0	21	410	4	2	39	44	31	3	0	2	0	7
14512	22730	"Lanzahíta"	40.22331	-4.93679	80	"AWI"	80	2051	2473	2267	8	2	1	3	5	4	0	18	2	6	1	7	3	15	45	3	7	9	3	6	13	3	0	16	384	4	1	60	37	19	4	2	2	2	7
14512	22730	"Lanzahíta"	40.22331	-4.93679	82	"AWI"	82	2089	2491	2289	11	1	0	6	11	0	0	13	0	5	0	7	7	8	50	4	6	13	2	8	13	2	0	13	405	3	3	37	25	21	0	0	0	0	6
14512	22730	"Lanzahíta"	40.22331	-4.93679	84	"AWI"	84	2119	2511	2310	13	2	2	6	7	2	0	17	0	3	3	8	7	23	39	2	5	11	0	11	10	3	0	18	378	5	1	43	54	26	3	2	3	2	3
14512	22730	"Lanzahíta"	40.22331	-4.93679	86	"AWI"	86	2142	2542	2333	9	0	1	0	8	1	0	13	1	2	2	11	6	31	27	5	9	7	3	9	6	0	0	23	426	3	0	51	43	33	2	0	0	0	2
