"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16355	25402	"Fontaine Henry"	49.2775	-0.45333	35	"AWI"	35	83	558	282	1	1	0	0	3	6	1	3	0	2	107	0	4	0	0	0	1	0	0	0	0	33	0	13	0	0	2	0	3	4	0	2	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	45	"AWI"	45	150	657	375	3	0	1	0	0	8	0	3	0	3	70	0	2	0	0	1	0	0	0	5	4	0	0	15	0	0	0	0	0	0	0	0	1
16355	25402	"Fontaine Henry"	49.2775	-0.45333	65	"AWI"	65	302	855	566	2	0	1	0	0	0	2	6	0	0	156	0	0	0	0	0	0	0	0	1	3	39	0	5	8	0	0	0	3	1	1	1	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	75	"AWI"	75	384	947	661	0	0	3	0	1	0	0	2	0	0	137	0	1	5	0	0	0	0	0	0	2	41	0	3	4	1	1	0	0	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	85	"AWI"	85	473	1029	757	4	0	6	0	0	0	1	23	0	0	157	0	0	0	0	0	0	0	0	3	7	69	0	5	12	1	10	1	1	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	95	"AWI"	95	560	1107	853	1	0	62	0	0	0	0	46	1	0	40	3	0	3	1	0	0	0	0	0	10	72	0	10	3	4	3	2	1	0	1	0	7
16355	25402	"Fontaine Henry"	49.2775	-0.45333	105	"AWI"	105	654	1179	949	2	4	0	0	1	4	1	7	1	8	72	0	2	0	0	0	0	0	2	0	1	0	0	10	0	1	0	0	0	0	0	1	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	110	"AWI"	110	692	1224	1000	3	0	0	0	0	0	0	7	0	9	79	0	4	0	0	0	0	0	1	0	3	35	0	9	0	4	1	0	2	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	120	"AWI"	120	805	1288	1094	1	0	0	0	0	15	0	4	1	5	64	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	1	0	3	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	130	"AWI"	130	918	1344	1192	3	0	1	0	0	0	0	9	1	3	77	0	1	0	0	0	0	0	0	1	7	36	0	10	1	2	1	0	3	0	0	0	0
16355	25402	"Fontaine Henry"	49.2775	-0.45333	175	"AWI"	175	1256	1640	1478	6	0	0	1	0	0	0	2	0	18	47	0	0	0	0	0	0	0	0	0	3	39	0	11	1	1	0	0	1	0	1	1	0
