"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Ericales"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
26568	46462	"Novoalex peatland"	55.11806	41.03972	5	"AWI"	5	-68	206	37	10	7	2	6	5	175	0	3	51	16	245	1	0	0	2	2	1	0	0	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	10	"AWI"	10	-12	322	127	2	3	0	11	0	234	0	1	5	29	238	0	0	0	1	0	0	1	0	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	15	"AWI"	15	52	424	216	8	11	0	17	0	190	1	0	16	9	301	0	0	0	0	0	0	0	0	0	1
26568	46462	"Novoalex peatland"	55.11806	41.03972	20	"AWI"	20	131	515	308	5	6	1	15	0	81	0	1	18	17	350	0	4	1	6	0	0	0	0	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	25	"AWI"	25	240	604	400	7	4	0	26	0	161	0	33	66	17	204	3	25	0	0	0	0	0	0	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	30	"AWI"	30	380	803	544	15	10	0	45	0	142	0	3	120	13	150	0	20	1	3	0	7	0	1	1	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	35	"AWI"	35	531	1330	832	42	3	0	7	0	137	0	37	56	17	252	0	5	0	5	0	0	0	7	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	40	"AWI"	40	761	1655	1216	32	4	1	7	0	169	0	11	45	30	227	0	0	0	28	0	0	0	22	8	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	45	"AWI"	45	1168	1853	1554	50	4	1	9	0	181	0	27	12	42	213	0	0	0	38	0	0	0	26	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	50	"AWI"	50	1649	2360	1931	52	3	0	1	0	105	0	27	12	125	200	0	0	0	19	0	0	0	24	13	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	55	"AWI"	55	1854	3049	2347	41	6	0	10	0	187	0	62	14	27	82	0	0	0	54	0	0	0	53	0	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	60	"AWI"	60	2163	3470	2818	38	1	0	6	0	113	1	30	2	29	258	0	0	0	28	0	0	0	32	23	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	65	"AWI"	65	2600	3739	3273	69	2	3	15	0	112	0	44	3	6	177	0	0	1	57	0	0	0	43	15	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	70	"AWI"	70	3281	3961	3672	68	2	1	10	0	136	0	18	13	10	138	0	0	0	71	0	0	0	41	32	0
26568	46462	"Novoalex peatland"	55.11806	41.03972	75	"AWI"	75	3638	4328	3950	60	1	1	13	0	81	0	13	6	12	279	0	0	0	68	0	0	0	38	46	0
