"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23855	41351	"Saham  Mere"	52.58139	0.80639	2364	"AWI"	2364	4547	5154	4815	230	4	0	1	1	0	0	0	0	0	0	0	420	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	3	30	0	48	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	9	0	12	13	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2372	"AWI"	2372	4642	5329	4945	186	0	0	4	0	0	0	0	0	0	0	0	518	0	3	0	0	0	0	12	0	1	0	0	0	0	0	0	5	12	0	0	0	0	0	0	289	0	0	0	0	2	4	0	0	0	0	17	0	12	12	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2380	"AWI"	2380	4744	5492	5078	218	0	0	3	1	0	15	0	0	0	0	0	354	0	1	0	0	0	0	44	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	241	0	0	0	0	1	0	0	0	0	0	70	0	45	28	1	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2388	"AWI"	2388	4857	5658	5211	197	0	0	1	1	0	0	0	0	0	0	0	669	0	2	0	0	0	0	8	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	168	0	0	0	0	2	0	0	0	0	0	47	0	17	3	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2396	"AWI"	2396	4966	5790	5353	197	0	0	3	0	0	0	0	0	0	0	0	601	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	303	0	0	0	0	0	1	0	0	0	0	61	0	28	11	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2406	"AWI"	2406	5118	5932	5526	206	2	0	4	1	0	0	0	0	0	0	0	335	0	5	0	0	0	0	17	0	1	0	0	0	0	0	0	6	23	0	0	0	0	0	0	139	0	0	0	0	0	1	0	0	0	0	13	0	10	15	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2414	"AWI"	2414	5230	6043	5658	160	0	0	2	0	0	0	0	0	0	0	0	526	0	4	0	0	0	0	22	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	23	0	17	31	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2422	"AWI"	2422	5369	6141	5792	190	0	0	2	0	0	0	0	0	0	0	0	512	0	3	0	0	0	0	31	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	63	0	8	12	0	0
23855	41351	"Saham  Mere"	52.58139	0.80639	2430	"AWI"	2430	5517	6244	5928	195	0	0	1	0	0	0	0	0	0	0	0	574	0	4	0	0	0	0	25	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	22	0	6	7	0	1
23855	41351	"Saham  Mere"	52.58139	0.80639	2438	"AWI"	2438	5696	6338	6059	226	0	0	1	0	0	0	0	0	0	0	0	571	0	2	0	0	0	0	14	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	24	0	5	6	0	0
