"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23847	41335	"Hares Down"	50.97806	-3.64389	0	"AWI"	0	-129	32	-48	0	1	18	2	0	0	0	0	9	0	3	0	0	0	0	20	0	32	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	47	1	0	0	0	4	2	0	0	1	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	4	"AWI"	4	-80	150	22	3	0	13	0	0	0	0	0	4	0	3	0	0	0	0	6	0	48	3	0	0	9	30	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	14	2	0	0	0	2	1	0	1	0	0	2
23847	41335	"Hares Down"	50.97806	-3.64389	8	"AWI"	8	-58	316	86	0	2	7	0	1	1	1	0	9	0	0	0	0	0	0	6	0	34	3	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	29	2	0	0	0	1	0	0	1	0	0	3
23847	41335	"Hares Down"	50.97806	-3.64389	12	"AWI"	12	-8	421	158	0	0	4	1	0	0	0	0	3	0	0	0	0	0	2	7	0	16	0	0	0	13	11	0	0	0	0	0	0	0	0	1	1	0	15	0	0	0	0	0	15	1	0	0	6	1	0	0	0	0	1	0
23847	41335	"Hares Down"	50.97806	-3.64389	16	"AWI"	16	40	472	242	0	0	3	1	0	0	0	0	5	0	2	0	0	0	0	7	0	35	8	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	2	2
23847	41335	"Hares Down"	50.97806	-3.64389	20	"AWI"	20	67	566	323	0	0	7	0	0	1	0	0	4	0	1	0	0	0	0	6	1	65	53	0	0	9	1	0	0	0	1	0	0	0	0	0	0	0	13	0	280	0	0	0	15	4	0	2	0	2	1	0	0	0	1	0
23847	41335	"Hares Down"	50.97806	-3.64389	24	"AWI"	24	190	593	400	0	0	11	0	0	1	0	0	1	1	0	0	0	0	0	7	0	140	96	0	0	3	0	0	0	1	1	0	0	0	0	2	1	2	9	0	162	1	0	0	22	5	0	0	0	1	1	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	28	"AWI"	28	278	632	479	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	1	0	51	0	0	0	8	2	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	15	7	0	1	0	1	0	0	0	0	2	0
23847	41335	"Hares Down"	50.97806	-3.64389	32	"AWI"	32	345	698	551	0	0	8	2	0	1	2	0	2	0	0	0	0	0	0	12	0	192	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	6	0	0	173	0	0	0	13	9	0	1	0	0	1	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	36	"AWI"	36	387	793	619	0	0	3	4	1	0	0	0	0	0	4	0	0	0	8	5	0	125	0	0	0	9	0	1	1	0	0	0	0	0	0	0	1	1	5	0	159	0	0	0	22	8	0	0	0	0	0	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	40	"AWI"	40	421	925	684	0	0	2	2	1	0	0	0	4	0	1	0	0	0	3	24	0	137	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	1	0	223	0	0	0	31	7	0	1	0	0	0	0	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	44	"AWI"	44	524	960	757	0	0	3	0	0	0	0	22	3	0	0	0	0	0	3	21	0	112	0	1	0	3	2	0	0	1	0	0	0	0	0	0	1	2	1	0	228	0	0	0	46	5	0	1	0	0	0	0	0	1	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	48	"AWI"	48	588	1020	833	0	0	5	0	0	3	0	18	3	0	0	0	0	0	1	20	0	96	29	0	0	6	4	1	0	1	0	0	1	0	0	1	1	0	0	0	232	0	0	0	60	5	0	0	0	1	0	0	0	0	0	1
23847	41335	"Hares Down"	50.97806	-3.64389	52	"AWI"	52	710	1097	907	0	0	3	0	2	0	0	0	7	1	1	0	0	0	2	15	0	135	21	5	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	194	0	0	0	48	9	0	1	0	0	0	1	0	0	0	0
23847	41335	"Hares Down"	50.97806	-3.64389	56	"AWI"	56	833	1167	989	0	0	6	1	1	0	0	21	2	0	0	0	0	0	0	10	0	140	0	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	2	0	190	0	0	0	77	9	0	1	0	1	0	0	0	0	0	1
