"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15955	24595	"Les Noës"	47.95167	-0.42028	145	"AWI"	145	192	1101	574	0	0	27	2	16	0	1	34	0	0	1	0	0	3	0	1	0	0	0	19	0	79	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	2	3	0	74	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	150	"AWI"	150	253	1176	715	2	0	15	14	8	0	2	0	2	0	3	0	0	1	0	2	0	0	0	12	0	70	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	2	3	0	74	9	0	0	0	6	3	0	0	1	0	20	0	0	1	0	0	2	0	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	155	"AWI"	155	303	1301	849	1	0	29	17	4	1	2	0	0	0	2	0	0	1	0	4	0	0	0	18	0	56	0	0	0	2	0	0	0	0	1	1	18	0	0	0	1	0	1	1	3	0	47	0	0	0	0	13	0	0	0	0	0	9	0	0	0	0	0	0	1	0	1	0
15955	24595	"Les Noës"	47.95167	-0.42028	160	"AWI"	160	462	1405	964	0	0	33	4	9	0	1	0	1	1	1	0	0	1	0	1	0	0	0	13	0	77	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	2	4	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	1	1	0	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	165	"AWI"	165	679	1447	1074	0	0	39	8	8	0	0	0	2	0	2	0	0	0	0	0	0	0	0	13	0	78	1	0	0	0	0	0	0	0	0	1	11	1	0	0	0	0	0	0	2	0	69	5	0	2	0	4	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	170	"AWI"	170	857	1502	1196	0	1	33	4	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	21	0	124	0	0	1	1	0	0	0	0	0	0	9	0	0	1	0	0	0	2	5	0	43	4	0	0	0	4	0	0	0	0	0	4	0	0	0	1	0	4	0	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	175	"AWI"	175	959	1597	1324	0	0	27	7	3	0	0	0	2	2	3	0	0	0	0	2	0	0	0	8	0	178	0	0	0	1	0	1	0	0	2	1	10	0	0	1	1	0	0	2	3	0	0	6	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	2	0
15955	24595	"Les Noës"	47.95167	-0.42028	180	"AWI"	180	1255	1678	1460	1	0	8	5	6	2	2	0	0	0	2	0	0	2	0	2	0	0	0	2	0	214	0	0	2	2	0	1	0	0	0	0	5	0	0	1	0	0	0	1	3	0	29	0	0	2	0	4	4	0	0	2	3	3	0	0	2	0	1	2	1	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	185	"AWI"	185	1441	1829	1621	0	0	20	13	10	1	2	0	2	0	3	0	0	0	0	3	0	0	0	5	0	131	0	0	1	2	0	1	0	0	0	1	7	1	1	1	1	0	0	1	2	0	43	0	0	0	0	3	2	0	0	0	5	16	0	0	0	0	0	2	0	0	0	0
15955	24595	"Les Noës"	47.95167	-0.42028	190	"AWI"	190	1500	2141	1774	2	0	8	3	3	1	1	0	1	0	2	0	0	1	0	2	0	0	0	2	0	184	1	0	0	2	0	1	0	0	0	1	6	1	0	1	2	0	1	2	5	0	40	0	1	0	0	4	0	0	0	0	7	12	0	0	1	0	0	0	1	0	1	0
