"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	30	"AWI"	30	10	443	200	4	0	15	2	0	2	0	0	3	0	0	0	0	2	0	2	1	0	0	3	0	15	0	0	0	0	3	3	0	0	1	0	0	2	11	2	0	2	1	0	2	1	3	0	163	0	0	6	0	13	0	30	0	0	3	0	8	0	0	2	0	0	1	0	0	0	0	0
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	35	"AWI"	35	52	490	246	6	0	12	2	0	1	0	0	2	0	0	0	0	3	0	4	1	0	0	8	0	24	0	0	0	0	3	1	0	0	1	0	0	2	23	15	0	0	3	0	3	2	3	0	0	0	0	4	0	30	0	18	0	0	2	0	13	0	0	0	0	0	0	2	0	0	0	0
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	40	"AWI"	40	79	544	292	2	0	3	2	0	0	0	0	2	0	2	0	0	2	0	4	0	0	0	11	0	12	5	0	0	0	4	0	0	0	0	0	0	0	9	11	0	1	5	0	0	1	21	0	194	0	0	0	0	5	0	10	2	0	1	0	3	0	0	1	0	0	0	2	0	0	0	0
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	45	"AWI"	45	121	581	336	2	0	37	2	0	2	3	9	4	0	0	0	2	3	0	1	1	0	0	17	0	32	43	0	0	3	4	0	0	0	0	0	0	3	4	2	0	0	59	0	2	2	2	0	0	0	0	3	2	28	0	2	6	0	0	0	25	0	0	2	0	0	0	2	0	0	0	1
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	50	"AWI"	50	152	642	383	0	0	103	2	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	7	0	24	8	0	0	0	3	0	0	0	0	0	0	3	1	1	0	2	12	0	0	0	3	0	0	0	0	0	0	19	0	0	21	0	0	0	86	0	0	0	0	1	0	2	0	2	0	2
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	55	"AWI"	55	200	682	429	1	0	78	1	0	0	2	0	5	0	0	1	0	3	0	0	1	0	0	6	0	60	5	0	0	0	5	0	0	0	0	0	0	0	1	1	0	1	24	0	0	0	7	0	20	0	0	0	0	27	0	3	13	0	1	0	68	0	0	2	1	0	0	2	0	0	0	0
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	60	"AWI"	60	234	738	477	0	0	51	3	0	0	0	0	10	0	0	0	0	4	0	1	0	0	0	35	0	9	5	0	0	0	3	0	0	0	0	0	0	0	2	0	0	2	18	0	0	0	8	0	0	0	0	0	0	18	0	0	13	0	0	0	12	0	0	0	0	0	0	0	0	2	0	2
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	65	"AWI"	65	281	769	524	0	0	31	2	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	12	0	21	4	0	0	0	3	0	0	0	0	0	0	3	1	1	0	1	90	0	1	0	3	0	0	0	1	0	0	23	0	2	13	0	0	0	11	0	0	0	0	0	0	1	0	1	0	3
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	70	"AWI"	70	309	811	573	2	0	36	1	0	0	0	0	5	1	0	0	0	5	0	0	2	0	0	5	0	62	0	0	0	0	3	0	0	0	0	0	0	1	2	1	0	1	20	0	0	1	5	0	0	0	0	0	0	11	0	0	5	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
16103	24867	"Marais de la Poupinière"	47.40278	-1.50278	75	"AWI"	75	374	839	618	0	0	75	2	0	0	2	0	5	0	0	0	0	3	0	0	0	0	0	22	0	14	10	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	18	0	1	1	8	0	0	0	0	0	0	18	0	0	4	0	0	0	25	0	0	2	0	0	1	2	0	0	0	3
