"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Paeoniaceae"	"Phillyrea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thymelaeaceae"	"Urticaceae"	"Viburnum"
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	2	"AWI"	2	-140	2	-63	0	0	2	0	0	0	0	55	0	0	0	0	0	0	15	110	28	127	0	1	0	9	0	1	1	3	1	0	5	5	56	0	2	88	0	1	1	0	0	0	0	1	1	1	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	4	"AWI"	4	-106	16	-41	2	0	2	0	0	0	0	48	0	0	0	0	0	1	14	129	30	152	0	0	0	9	0	0	1	6	0	0	0	0	0	0	6	72	4	2	1	0	0	0	1	0	2	1	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	6	"AWI"	6	-79	39	-20	1	0	4	0	0	0	0	17	0	0	0	1	2	0	16	121	11	272	6	1	0	10	0	1	0	2	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	8	"AWI"	8	-54	62	0	0	0	0	0	2	0	0	22	0	0	0	1	0	0	17	138	11	222	6	0	0	9	0	0	0	3	0	0	0	0	0	0	1	44	0	0	1	0	0	0	2	0	0	1	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	10	"AWI"	10	-36	90	20	0	0	0	1	0	0	0	19	1	2	0	0	1	0	13	137	40	146	0	0	3	10	0	0	2	3	0	0	0	0	81	0	1	52	0	2	3	0	0	0	2	0	1	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	12	"AWI"	12	-22	122	39	0	1	0	0	1	0	0	40	0	0	0	7	1	0	0	147	33	116	0	2	0	8	0	0	2	6	0	0	0	0	64	0	0	74	0	0	1	0	0	0	1	0	2	1	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	14	"AWI"	14	-7	131	54	1	0	1	0	0	0	0	52	0	1	0	1	0	0	11	162	32	111	7	1	0	9	0	0	0	6	0	1	0	8	88	0	0	36	0	2	1	0	2	0	1	0	0	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	16	"AWI"	16	13	148	76	0	0	1	0	2	0	0	41	0	0	0	0	1	1	12	143	31	151	0	6	0	10	0	0	0	5	0	1	0	0	0	0	0	57	0	3	0	0	0	0	1	0	0	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	18	"AWI"	18	34	172	103	0	0	5	0	0	0	7	43	0	1	0	0	2	0	22	138	33	139	3	1	0	10	0	0	0	7	0	1	0	6	0	0	0	78	0	3	1	0	0	0	2	0	0	3	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	20	"AWI"	20	47	200	127	1	1	1	0	0	0	0	41	0	2	0	0	0	0	0	123	23	164	0	0	0	7	0	1	0	3	0	2	0	4	0	0	0	82	0	1	0	0	0	0	0	0	0	3	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	22	"AWI"	22	54	232	145	1	1	1	0	1	0	0	32	0	0	0	0	0	1	0	153	26	130	0	0	0	7	0	0	0	8	0	0	0	0	0	0	0	93	0	3	1	0	0	0	0	0	1	2	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	24	"AWI"	24	77	239	169	1	0	2	0	1	0	0	33	0	1	0	1	1	0	0	162	19	120	0	0	0	5	0	0	1	6	0	2	0	0	0	0	0	82	0	1	1	0	0	0	0	1	0	1	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	26	"AWI"	26	92	249	195	1	2	0	0	0	0	0	25	0	1	0	0	2	2	15	178	25	172	2	1	0	5	0	0	2	4	0	0	0	0	0	0	0	57	0	1	1	0	2	0	0	0	2	2	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	28	"AWI"	28	105	262	220	2	1	0	0	0	2	0	31	0	0	0	1	0	1	0	232	19	148	7	0	1	7	0	0	0	2	0	0	0	0	0	0	0	43	0	3	0	0	0	0	0	2	2	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	30	"AWI"	30	116	285	244	0	0	3	0	2	0	0	70	0	1	1	0	0	1	8	180	43	124	0	0	0	8	1	1	2	0	0	0	0	0	0	0	0	30	0	1	2	0	2	0	1	2	0	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	32	"AWI"	32	124	323	266	1	0	4	0	2	0	0	53	0	1	0	1	0	0	4	170	68	155	14	0	0	6	0	2	0	2	0	2	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	5	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	34	"AWI"	34	225	388	335	0	0	4	0	0	0	0	123	0	0	0	0	0	0	13	118	37	157	0	1	0	5	0	0	0	2	0	0	0	4	0	0	0	30	0	0	0	0	0	0	0	0	3	2	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	36	"AWI"	36	324	464	401	0	0	3	0	2	0	0	101	1	7	0	1	2	0	0	120	48	153	0	0	0	9	0	0	5	0	0	0	7	0	0	0	0	30	0	0	0	0	0	0	5	1	3	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	38	"AWI"	38	418	543	468	0	0	4	0	0	0	0	119	0	4	0	1	0	0	7	132	71	176	0	2	0	13	0	0	0	1	0	0	0	0	17	0	0	24	0	0	0	0	1	0	1	1	1	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	40	"AWI"	40	494	630	535	0	0	1	0	0	0	0	57	0	0	0	2	0	1	0	88	81	246	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	3	2	1	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	42	"AWI"	42	549	731	606	0	0	5	0	1	0	0	73	0	3	0	0	0	0	0	69	79	233	0	1	0	7	0	0	4	0	0	0	6	0	45	0	0	27	0	0	0	0	0	0	0	2	2	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	44	"AWI"	44	1249	1412	1314	1	0	1	0	1	0	0	74	0	2	0	0	0	0	0	45	89	271	0	0	0	11	0	1	3	0	0	0	5	0	0	0	0	16	0	2	0	0	0	0	4	3	1	0	1
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	46	"AWI"	46	1928	2119	2022	1	1	4	0	1	0	0	44	0	0	0	0	0	2	7	68	142	231	0	1	1	7	0	1	2	1	1	1	0	0	0	0	0	35	0	0	0	0	2	0	0	0	1	0	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	48	"AWI"	48	2595	2845	2723	0	0	0	0	0	0	0	36	0	1	0	0	0	0	13	26	90	329	0	0	0	12	0	1	2	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	2	4	3	0
23968	41669	"Valdeyernos bog"	39.44111	-4.09639	50	"AWI"	50	3251	3584	3425	1	0	3	1	0	0	0	34	2	0	0	0	0	1	93	20	86	280	8	0	0	11	0	2	4	0	1	1	0	0	0	0	0	19	0	1	0	0	0	0	0	3	2	2	0
