"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
26028	45115	"Clonearl Bog"	53.31667	-7.3	0.5	"AWI"	0.5	1828	2041.5	1947	33	0	0	2	0	0	1	0	0	0	297	6	0	0	0	7	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	2	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	2.5	"AWI"	2.5	1850.5	2052	1959.5	39	0	0	0	0	0	12	1	0	0	242	12	0	0	0	10	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	3	2
26028	45115	"Clonearl Bog"	53.31667	-7.3	4.5	"AWI"	4.5	1870.5	2067	1975.5	36	0	0	5	0	0	8	0	0	0	325	5	0	0	0	5	0	0	0	0	0	0	0	0	0	17	1	0	0	0	4	0	0	0	4	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	6.5	"AWI"	6.5	1888.5	2078.5	1990	22	0	0	1	0	0	8	0	0	0	228	102	0	0	0	5	0	0	0	0	0	0	0	0	0	22	0	2	0	0	5	0	0	0	1	2
26028	45115	"Clonearl Bog"	53.31667	-7.3	8.5	"AWI"	8.5	1904	2090.5	2003.5	52	0	0	0	0	0	5	0	0	0	308	15	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	1	0	0	0	2	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	10.5	"AWI"	10.5	1917	2103	2016	43	0	0	1	0	0	12	0	0	0	276	30	0	0	0	4	0	0	0	0	1	0	0	0	0	12	0	0	0	0	2	0	0	0	3	1
26028	45115	"Clonearl Bog"	53.31667	-7.3	12.5	"AWI"	12.5	1934.5	2112	2028	25	1	3	0	0	0	8	0	0	0	196	4	0	0	0	3	0	0	0	0	0	0	0	1	0	13	0	0	0	0	1	0	0	0	2	1
26028	45115	"Clonearl Bog"	53.31667	-7.3	14.5	"AWI"	14.5	1949	2122	2041	38	0	0	1	0	0	6	0	0	0	172	70	0	0	0	6	0	0	0	0	1	0	0	0	0	18	0	0	0	0	4	0	0	1	1	2
26028	45115	"Clonearl Bog"	53.31667	-7.3	16.5	"AWI"	16.5	1966	2131.5	2054.5	25	0	0	0	0	0	7	0	0	0	218	7	0	0	0	2	0	0	0	0	3	0	0	0	0	17	1	0	0	0	5	0	0	0	0	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	18.5	"AWI"	18.5	1981.5	2141	2068.5	26	0	0	1	0	0	3	0	0	0	132	9	0	0	0	1	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	1	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	20.5	"AWI"	20.5	1995	2154.5	2081.5	42	0	0	0	0	0	2	0	0	0	211	14	0	0	0	4	0	0	1	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	3	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	22.5	"AWI"	22.5	2006	2174.5	2098	32	0	0	0	0	0	5	0	0	0	232	11	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	2	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	24.5	"AWI"	24.5	2015.5	2204	2112	59	0	0	0	0	0	4	0	0	0	250	12	0	0	0	1	0	0	0	0	1	0	0	0	0	24	1	0	0	0	0	0	0	1	1	2
26028	45115	"Clonearl Bog"	53.31667	-7.3	26.5	"AWI"	26.5	2028.5	2221.5	2128	22	0	0	0	0	0	4	0	0	1	264	13	0	0	1	3	0	0	0	0	4	0	0	0	0	27	0	0	0	0	2	0	0	0	1	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	28.5	"AWI"	28.5	2040	2237.5	2144	33	1	0	1	1	0	11	0	0	0	220	19	57	0	0	5	1	4	0	0	3	0	0	0	0	49	1	2	0	0	3	0	0	0	7	3
26028	45115	"Clonearl Bog"	53.31667	-7.3	30.5	"AWI"	30.5	2051	2255	2160	34	0	0	0	0	0	9	0	1	0	183	19	63	0	0	16	1	0	0	0	2	0	0	0	0	79	1	0	0	0	1	0	0	0	3	3
26028	45115	"Clonearl Bog"	53.31667	-7.3	32.5	"AWI"	32.5	2066	2264.5	2178.5	48	0	0	0	1	0	7	0	0	1	195	52	0	0	0	13	0	2	0	0	3	0	0	0	0	64	0	2	0	0	4	0	0	0	7	9
26028	45115	"Clonearl Bog"	53.31667	-7.3	34.5	"AWI"	34.5	2078	2278	2195	50	0	0	1	1	0	11	0	0	0	186	44	0	0	0	24	0	0	0	0	1	0	0	0	0	70	0	0	0	0	4	0	0	1	0	3
26028	45115	"Clonearl Bog"	53.31667	-7.3	36.5	"AWI"	36.5	2099	2288	2210	26	0	0	0	0	0	4	0	0	0	215	29	0	0	0	15	0	7	0	0	1	0	0	0	0	52	0	0	0	0	2	0	0	1	2	8
26028	45115	"Clonearl Bog"	53.31667	-7.3	38.5	"AWI"	38.5	2119.5	2299.5	2226	41	0	0	0	0	0	8	0	0	0	290	20	0	0	1	6	0	0	1	0	0	0	0	0	0	35	0	0	0	0	1	0	0	0	4	1
26028	45115	"Clonearl Bog"	53.31667	-7.3	40.5	"AWI"	40.5	2141.5	2315	2242	40	0	0	2	0	0	3	0	0	0	348	6	0	0	0	14	0	0	0	0	0	0	0	0	0	21	0	0	0	0	4	0	0	0	2	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	42.5	"AWI"	42.5	2168	2323.5	2257.5	44	0	0	0	0	0	4	0	0	1	360	10	0	0	0	7	1	0	0	0	0	0	0	0	0	22	1	0	0	0	2	0	0	0	4	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	44.5	"AWI"	44.5	2184.5	2334	2279.5	53	0	0	0	0	0	2	0	0	0	332	9	0	0	0	15	0	0	0	0	0	0	0	0	0	41	0	0	0	0	4	0	0	0	23	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	46.5	"AWI"	46.5	2224.5	2343.5	2300	52	0	0	0	0	0	3	0	0	0	299	3	0	0	0	24	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	68	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	48.5	"AWI"	48.5	2261.5	2355.5	2322	39	0	0	0	0	0	6	0	0	0	277	26	0	0	0	21	0	0	0	0	1	0	0	0	1	36	1	0	0	0	2	0	0	0	33	0
